Epoch,epoch,eval/Actions Max,eval/Actions Mean,eval/Actions Min,eval/Actions Std,eval/Average Returns,eval/Num Paths,eval/Returns Max,eval/Returns Mean,eval/Returns Min,eval/Returns Std,eval/Rewards Max,eval/Rewards Mean,eval/Rewards Min,eval/Rewards Std,eval/env_infos/final/reward_dist Max,eval/env_infos/final/reward_dist Mean,eval/env_infos/final/reward_dist Min,eval/env_infos/final/reward_dist Std,eval/env_infos/initial/reward_dist Max,eval/env_infos/initial/reward_dist Mean,eval/env_infos/initial/reward_dist Min,eval/env_infos/initial/reward_dist Std,eval/env_infos/reward_dist Max,eval/env_infos/reward_dist Mean,eval/env_infos/reward_dist Min,eval/env_infos/reward_dist Std,eval/num paths total,eval/num steps total,eval/path length Max,eval/path length Mean,eval/path length Min,eval/path length Std,expl/Actions Max,expl/Actions Mean,expl/Actions Min,expl/Actions Std,expl/Average Returns,expl/Num Paths,expl/Returns Max,expl/Returns Mean,expl/Returns Min,expl/Returns Std,expl/Rewards Max,expl/Rewards Mean,expl/Rewards Min,expl/Rewards Std,expl/env_infos/final/reward_dist Max,expl/env_infos/final/reward_dist Mean,expl/env_infos/final/reward_dist Min,expl/env_infos/final/reward_dist Std,expl/env_infos/initial/reward_dist Max,expl/env_infos/initial/reward_dist Mean,expl/env_infos/initial/reward_dist Min,expl/env_infos/initial/reward_dist Std,expl/env_infos/reward_dist Max,expl/env_infos/reward_dist Mean,expl/env_infos/reward_dist Min,expl/env_infos/reward_dist Std,expl/num paths total,expl/num steps total,expl/path length Max,expl/path length Mean,expl/path length Min,expl/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,0,0.0026681738,-4.9034923e-05,-0.0025697174,0.0005297972,-73.37214588396255,5,-51.68119134580194,-73.37214588396255,-97.56246469759584,17.28756974132569,-2.3310067687753877,-3.6686072941981274,-5.7407369657765415,0.945990768898551,-2.819530809780185,-4.006677292669046,-4.96094518134449,0.9417000389030569,-2.9456051117751385,-3.4357191788647112,-4.3646690694111046,0.5099346776341215,-2.3310067687753877,-3.6686072941981274,-5.7407369657765415,0.945990768898551,5,100,20,20.0,20,0.0,0.99915004,-0.004867857,-0.99863124,0.62746656,-82.15708186150736,25,-72.1651516052031,-82.15708186150736,-96.15089645673366,7.720513564728722,-2.109865907523908,-4.1078540930753675,-7.534069586855976,1.06864605373864,-2.2947741683488423,-4.461191207297032,-6.00441715841864,1.0235884698675775,-2.109865907523908,-3.5021157919266392,-5.538922072619553,1.0168179787671656,-2.109865907523908,-4.1078540930753675,-7.534069586855976,1.06864605373864,525,10500,20,20.0,20,0.0,10500,0.001518290002422873,108.39827526304725,97.9075942250056,4.586499381999602,0.0017573500008438714,5.894359811041795,0.006513022999570239,112.42114961309562,3.31819974235259e-05,1.0,-0.0,-5.0230217,-8.031063,-10.401567,0.74587375,-8.031406,8.848788,3.6221242,-1.353159,1.3544409,0.009371153,0.00073378393,-0.004590224,0.0012990865,0.0060137897,0.001039757,-0.0051004356,0.0011156682,14.949295,14.946913,1000,0.0038846368,-6.20087e-05,-0.004306013,0.0007113803,0.0031734365,-7.832e-05,-0.004316214,0.0009990329,1.0031785,0.9999221,0.9956931,0.00099886
1,1,0.14193498,-0.08754642,-0.49478918,0.16061652,-55.36167994634877,5,-7.685152170366868,-55.36167994634877,-73.33871121729865,24.676466608988854,-0.2629555889575546,-2.7680839973174387,-4.559002357923078,1.3323756111048584,-0.2629556547819657,-3.188216413751197,-4.469701251800201,1.5556589635701557,-2.106620748703616,-2.8406219085279116,-3.6451410975373064,0.5626075245926465,-0.2629555889575546,-2.7680839973174387,-4.559002357923078,1.3323756111048584,10,200,20,20.0,20,0.0,0.99905974,-0.0562657,-0.9951677,0.58695203,-64.878431854971,25,-10.402687674926053,-64.878431854971,-86.16380712387611,19.73761645098483,-0.27215967299591726,-3.2439215927485496,-6.252654691989058,1.3849662596602652,-0.272160089997945,-2.9912096753616684,-5.661936762459296,1.4922990019830682,-2.0889703556801837,-3.315661591571573,-4.898857857642365,0.7676043221381827,-0.27215967299591726,-3.2439215927485496,-6.252654691989058,1.3849662596602652,550,11000,20,20.0,20,0.0,11000,0.0014929060052963905,11.832693219956127,0.8153651100001298,5.381295606995991,0.0018368529999861494,5.6305314529527095,0.002148685001884587,125.00170783390058,2.2606000129599124e-05,0.3689239025115967,-19.906734466552734,-4.9352713,-7.963333,-11.85319,0.8134582,-3.1280448,4.8036337,-0.2809512,-4.921535,1.4859483,3.8944156,0.38370195,0.0070510167,0.49470532,3.2611947,0.0580736,-1.0265455,0.6616105,2.0323281,1.5159783,2000,0.17659143,-0.063629985,-0.55795217,0.1553648,-0.070370875,-0.13019435,-0.20180096,0.014756982,0.9320481,0.87802035,0.8172576,0.012951194
2,2,0.7656573,-0.078030534,-0.9163006,0.28554186,-73.23084114427976,5,-70.05818290459877,-73.23084114427976,-75.73033635153989,2.0222897888471616,-2.2734850382500165,-3.6615420572139885,-4.675516894286846,0.5725158076548538,-3.5568753274358875,-3.9329791551204254,-4.582476113996056,0.401145066645098,-2.459738052811604,-2.92854501872418,-3.3415328443199597,0.2940433950485678,-2.2734850382500165,-3.6615420572139885,-4.675516894286846,0.5725158076548538,15,300,20,20.0,20,0.0,0.99586964,-0.054923005,-0.99859834,0.5985479,-72.29293509776139,25,-16.44098309192976,-72.29293509776139,-82.42612146645553,11.941263849582095,-0.288865769768687,-3.61464675488807,-6.077019617429697,0.9746159265060553,-0.28886729253115084,-3.58048987760959,-5.458441360096447,1.05619931336969,-2.1552885620583426,-2.92091757353617,-3.828783737057503,0.46279787157449676,-0.288865769768687,-3.61464675488807,-6.077019617429697,0.9746159265060553,575,11500,20,20.0,20,0.0,11500,0.0015062069942359813,12.39477630615147,1.195987488994433,5.106452418003755,0.0017294719946221448,6.086949591168377,0.0021275529943522997,138.14649444202223,2.3576001694891602e-05,0.1446392983198166,-32.73564147949219,2.2808695,-4.930663,-13.431662,2.582202,4.9570894,0.016210616,-6.950064,-14.628954,2.0946026,-0.7882812,-4.5929627,-12.504571,2.0985887,2.5239737,-6.8720493,-10.997086,1.6795099,11.50508,1.9232996,3000,0.8320248,-0.08079675,-0.93353754,0.43145508,0.10188837,-0.2396553,-0.6992571,0.13064608,1.1072599,0.7932029,0.49695438,0.09379035
3,3,0.9976037,-0.075191475,-0.9551157,0.5741326,-104.3332613509089,5,-101.68555401379554,-104.3332613509089,-110.89965839916677,3.3989823562266324,-2.1570632339631683,-5.216663067545445,-8.64092159335165,1.7021783902014735,-2.39658221565846,-3.845170540924605,-5.727674176991003,1.2127051533346607,-2.1570632339631683,-2.930906479043005,-3.804940341680758,0.6438890501809814,-2.1570632339631683,-5.216663067545445,-8.64092159335165,1.7021783902014735,20,400,20,20.0,20,0.0,0.9984983,-0.096691206,-0.9961579,0.61139834,-83.83882268696885,25,-58.26616074636012,-83.83882268696885,-127.87415569344162,20.752208256264684,-2.169890321715296,-4.1919411343484425,-8.949366376377226,1.6353393902812194,-2.4696701314644933,-5.211514077096054,-8.587831781264512,1.9947929870365326,-2.177397721295058,-3.0696144706131387,-4.7636274113101305,0.6028509397068452,-2.169890321715296,-4.1919411343484425,-8.949366376377226,1.6353393902812194,600,12000,20,20.0,20,0.0,12000,0.0015259720021276735,11.165113720009685,0.9184924319997663,4.774131967998983,0.0017420689982827753,5.467075882006611,0.0021223959993221797,150.03860667190747,2.3001004592515528e-05,0.060770079493522644,-35.58939743041992,10.303118,-0.70751417,-12.60066,2.8613045,12.427826,-4.626292,-14.308599,-21.527166,2.4077625,-5.63907,-13.999099,-20.972288,2.141505,-5.374362,-14.188753,-20.782686,2.0828047,3.8660316,2.6594062,4000,0.9981551,-0.1092768,-0.9703499,0.5627094,-0.22509198,-0.5027554,-3.3654387,0.1657826,0.7984428,0.6119162,0.03454686,0.08190989
4,4,0.95768493,0.07803931,-0.96809626,0.49698797,-47.38751003534948,5,-29.881158215953377,-47.38751003534948,-57.379348773983246,9.223461788185974,-0.8943201157423722,-2.3693755017674736,-3.4846987840381263,0.6051042379266397,-1.5966482885736368,-2.444360817300621,-3.250337058975767,0.5290224779074351,-2.8831468713983104,-3.205533632790928,-3.4846987840381263,0.19750310498403048,-0.8943201157423722,-2.3693755017674736,-3.4846987840381263,0.6051042379266397,25,500,20,20.0,20,0.0,0.99546015,0.06149142,-0.99764436,0.53447735,-51.725327740533864,25,-24.03805121337341,-51.725327740533864,-61.67191578829736,11.092294694255283,-0.427561045130835,-2.5862663870266935,-4.931081832117633,0.7732134027942998,-0.6630684220340309,-2.6770569376555677,-3.883812596363417,0.7975707361006661,-2.2791991380168897,-3.323381824677769,-4.931081832117633,0.765403804107484,-0.427561045130835,-2.5862663870266935,-4.931081832117633,0.7732134027942998,625,12500,20,20.0,20,0.0,12500,0.0014963590001570992,13.630040878975706,1.2848512359996676,5.997365231000003,0.002003066001634579,6.341569761978462,0.0027209300023969263,164.43147104995296,3.4294993383809924e-05,0.029242947697639465,-28.77975845336914,14.609785,3.8519802,-12.04099,3.2961879,19.485306,-9.502428,-20.807545,-32.894478,2.7174153,-9.936758,-20.715559,-29.354284,2.4682307,-10.684654,-20.816992,-32.086704,2.3299367,4.396272,2.063345,5000,0.9863542,0.044461984,-0.9825924,0.6398298,0.6023532,-0.8679822,-2.4849298,0.25732762,1.8264117,0.43204418,0.0833314,0.093399666
5,5,0.95837986,-0.035152256,-0.99208087,0.49857748,-50.930774153102924,5,-37.656890594016495,-50.930774153102924,-57.6088237467963,7.72807763860067,-1.3730611634258016,-2.546538707655147,-3.776356342376406,0.559231707074862,-1.5630864332598993,-2.8114853937884954,-3.4570951405662904,0.6543151140769184,-2.7969768653279563,-3.2463388283675343,-3.776356342376406,0.3963346580238669,-1.3730611634258016,-2.546538707655147,-3.776356342376406,0.559231707074862,30,600,20,20.0,20,0.0,0.9847881,-0.015604713,-0.9978562,0.50925696,-40.00922657874424,25,-17.51534277282424,-40.00922657874424,-59.17380834721839,13.391041846328825,-0.32713660493462826,-2.0004613289372117,-4.311818424981081,0.8661932880937846,-0.5705159817921087,-1.8425447397119918,-3.454782047521772,0.7481179662176324,-2.3449829950707475,-3.2268148300955515,-4.16116924664616,0.5606621445835667,-0.32713660493462826,-2.0004613289372117,-4.311818424981081,0.8661932880937846,650,13000,20,20.0,20,0.0,13000,0.0015110640015336685,14.312988788944494,1.2209709800008568,7.246375313996396,0.001730329000565689,5.840214733943867,0.002165204001357779,179.52906138307299,2.1163999917916954e-05,0.017187705263495445,-14.582077026367188,21.379946,8.411503,-8.237909,3.6556783,24.288445,-8.261391,-25.792538,-37.85174,3.280834,-9.256096,-25.768597,-35.71308,3.1483862,-6.9532566,-25.795425,-36.66408,2.9616103,4.645163,1.7569592,6000,0.99390787,-0.04741086,-0.99511015,0.62171763,0.36579996,-1.2691152,-2.9383335,0.39053246,1.4416668,0.3029388,0.052953906,0.11821119
6,6,0.9370139,-0.07432696,-0.9949314,0.49687594,-32.4849631367032,5,-9.929975407650119,-32.4849631367032,-52.21346534760478,16.56349637519266,-0.29253321105520713,-1.62424815683516,-3.504453618775428,0.9719696337348689,-0.2926711693429062,-1.6517044403465964,-3.023720202222966,1.124080631687256,-2.1256886416216436,-2.4186208027505836,-2.6810495448949427,0.23470287288080927,-0.29253321105520713,-1.62424815683516,-3.504453618775428,0.9719696337348689,35,700,20,20.0,20,0.0,0.9898924,-0.062298127,-0.9993812,0.52455354,-28.591276015205057,25,-11.729093651772974,-28.591276015205057,-53.0891097111986,13.531902617731363,-0.26547178301181923,-1.429563800760253,-3.3611920074759905,0.859082627933231,-0.26547178301181923,-1.453247337722228,-3.0716485089616943,0.7785579843276352,-2.268120196077479,-2.6361816865352097,-3.3611920074759905,0.2862540455692473,-0.26547178301181923,-1.429563800760253,-3.3611920074759905,0.859082627933231,675,13500,20,20.0,20,0.0,13500,0.0014800959979766048,14.365071226973669,1.3566227629999048,7.3624764240012155,0.0017340209960821085,5.6406220799763105,0.0021148149971850216,194.66813472504145,2.102800499415025e-05,0.013946427032351494,-1.07272469997406,23.694145,11.748925,-3.5292253,4.100119,25.931622,-10.159193,-27.95034,-40.839436,3.677143,-7.136923,-27.923542,-40.010593,3.474247,-4.9493003,-27.95985,-40.24002,3.481827,3.5812683,1.7667218,7000,0.9980178,-0.028067067,-0.9981515,0.62680215,0.18999696,-1.4844894,-3.2204466,0.48658714,1.2092459,0.2550886,0.03993722,0.12864445
7,7,0.99729884,-0.0045263846,-0.99079967,0.5938207,-39.65488436514998,5,-21.55992233660534,-39.65488436514998,-52.58151284431934,12.027551487053087,-0.3432621248651127,-1.9827442182574984,-3.370503609246274,0.6951408681867722,-0.5160865327279284,-1.8019902278701836,-2.58684963055073,0.7248652854301749,-2.2231216103006926,-2.488385429488296,-2.8930193669065036,0.2355272800694673,-0.3432621248651127,-1.9827442182574984,-3.370503609246274,0.6951408681867722,40,800,20,20.0,20,0.0,0.99898344,-0.0031986071,-0.9995982,0.635564,-31.91951907842035,25,-8.28167263201274,-31.91951907842035,-54.09067780561111,12.849330075649537,-0.28391010924834975,-1.5959759539210174,-3.7829192208355704,0.8289131590409929,-0.2839250680773647,-1.4513188778632733,-3.063630913746048,0.753019114447338,-2.1037477600022716,-2.479983179272553,-2.9074302208159124,0.24239615932687408,-0.28391010924834975,-1.5959759539210174,-3.7829192208355704,0.8289131590409929,700,14000,20,20.0,20,0.0,14000,0.0015651319990865886,14.095519647104084,1.3619665340011124,7.111210948998632,0.0016970229989965446,5.616941870102892,0.002114636001351755,209.52431458910723,2.35030020121485e-05,0.01576731726527214,2.0496394634246826,26.14442,12.493911,-5.504994,4.1763964,25.701334,-8.409299,-28.013107,-40.310337,3.8468287,-2.9103448,-27.957935,-39.184307,3.614036,-2.7621422,-27.989452,-40.095768,3.617759,2.3312743,1.6768749,8000,0.9979878,0.01749879,-0.99887353,0.6657973,0.14943685,-1.4076375,-3.1755545,0.5214779,1.1611801,0.27909407,0.041770935,0.14224349
8,8,0.9981151,-0.060397636,-0.9916572,0.67353153,-31.51264343350431,5,-6.800410132979257,-31.51264343350431,-52.73607011347674,16.505627293018566,-0.260811199171239,-1.5756321716752155,-3.400771760350284,0.9748770144549991,-0.260811199171239,-1.2061750094224633,-2.4500758791714032,0.714925927228646,-1.8445388598295427,-2.368946808355169,-3.014175279648626,0.4246551666092763,-0.260811199171239,-1.5756321716752155,-3.400771760350284,0.9748770144549991,45,900,20,20.0,20,0.0,0.9998216,-0.060056448,-0.9996538,0.69384855,-26.76041974569885,25,-5.98137338353462,-26.76041974569885,-52.30919182189901,13.393908666910688,-0.2747252279461824,-1.3380209872849425,-3.9671411193329518,0.819573391070207,-0.2748940338094075,-1.3265216045874582,-3.3715593009376343,0.8086669504484397,-0.7599375516167716,-2.258087469290082,-3.496517399935494,0.5735661178984232,-0.2747252279461824,-1.3380209872849425,-3.9671411193329518,0.819573391070207,725,14500,20,20.0,20,0.0,14500,0.0015144729986786842,13.8584504950486,1.3251250399989658,6.847910849995969,0.0016925010058912449,5.680045494045771,0.0021383700004662387,224.16409873032535,2.376700285822153e-05,0.016408922150731087,0.7609919905662537,27.597551,12.18516,-5.8706303,4.297574,25.98409,-4.2460737,-28.198751,-39.25512,4.494721,-0.51762164,-28.141697,-38.620358,4.3123746,-1.5127879,-28.221088,-39.052677,4.3217473,2.1239088,1.7689688,9000,0.999572,-0.014903718,-0.99998623,0.6867349,0.30835405,-1.3178334,-3.0467398,0.50765276,1.3611828,0.30303895,0.047513578,0.14996013
9,9,0.9946745,-0.0015842031,-0.993136,0.7025103,-31.271274385896003,5,-24.790105848193445,-31.271274385896003,-47.85796338514801,8.456683699531547,-0.38988951952926254,-1.5635637192948002,-3.004480439953839,0.6496257856324417,-0.6822419167766044,-1.4768719163014836,-2.6685792092934957,0.6528406956138297,-2.1937899887685752,-2.5422280942202873,-2.834552552191933,0.21795083409011862,-0.38988951952926254,-1.5635637192948002,-3.004480439953839,0.6496257856324417,50,1000,20,20.0,20,0.0,0.9992316,-0.0043832697,-0.99981743,0.7029893,-35.473124823965684,25,-19.88790482276012,-35.473124823965684,-49.7222041731277,9.729676433478584,-0.2821586732325975,-1.7736562411982844,-3.443170691181288,0.7296301272217953,-0.2821586732325975,-1.491074039527669,-3.193843006556646,0.6955660611584796,-2.01329829095518,-2.6319703877201284,-3.4122067689480997,0.32824099520474787,-0.2821586732325975,-1.7736562411982844,-3.443170691181288,0.7296301272217953,750,15000,20,20.0,20,0.0,15000,0.0014976090023992583,14.22786417511088,1.508180832999642,6.957734735995473,0.0017108809988712892,5.756574073115189,0.0021452110013342462,239.15296513252542,2.0831997971981764e-05,0.022724177688360214,1.0906176567077637,31.688147,12.288193,-6.718625,5.0895624,24.825342,-2.9430065,-27.382784,-39.72204,4.8593216,1.137422,-27.281668,-38.6993,4.6518025,-0.16890557,-27.291416,-38.702152,4.627773,2.4949284,2.1530938,10000,0.99929005,-0.0013199461,-0.9999917,0.7380498,0.16031134,-1.1140501,-2.9719343,0.44943833,1.1738763,0.35911497,0.05120417,0.14139828
