Epoch,epoch,eval/Actions Max,eval/Actions Mean,eval/Actions Min,eval/Actions Std,eval/Average Returns,eval/Num Paths,eval/Returns Max,eval/Returns Mean,eval/Returns Min,eval/Returns Std,eval/Rewards Max,eval/Rewards Mean,eval/Rewards Min,eval/Rewards Std,eval/env_infos/final/reward_dist Max,eval/env_infos/final/reward_dist Mean,eval/env_infos/final/reward_dist Min,eval/env_infos/final/reward_dist Std,eval/env_infos/initial/reward_dist Max,eval/env_infos/initial/reward_dist Mean,eval/env_infos/initial/reward_dist Min,eval/env_infos/initial/reward_dist Std,eval/env_infos/reward_dist Max,eval/env_infos/reward_dist Mean,eval/env_infos/reward_dist Min,eval/env_infos/reward_dist Std,eval/num paths total,eval/num steps total,eval/path length Max,eval/path length Mean,eval/path length Min,eval/path length Std,expl/Actions Max,expl/Actions Mean,expl/Actions Min,expl/Actions Std,expl/Average Returns,expl/Num Paths,expl/Returns Max,expl/Returns Mean,expl/Returns Min,expl/Returns Std,expl/Rewards Max,expl/Rewards Mean,expl/Rewards Min,expl/Rewards Std,expl/env_infos/final/reward_dist Max,expl/env_infos/final/reward_dist Mean,expl/env_infos/final/reward_dist Min,expl/env_infos/final/reward_dist Std,expl/env_infos/initial/reward_dist Max,expl/env_infos/initial/reward_dist Mean,expl/env_infos/initial/reward_dist Min,expl/env_infos/initial/reward_dist Std,expl/env_infos/reward_dist Max,expl/env_infos/reward_dist Mean,expl/env_infos/reward_dist Min,expl/env_infos/reward_dist Std,expl/num paths total,expl/num steps total,expl/path length Max,expl/path length Mean,expl/path length Min,expl/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,0,0.0019753908,3.8293438e-05,-0.0011925793,0.00045003367,0.1662288460767777,5,0.6140557337553713,0.1662288460767777,0.009623170058973273,0.22527568360095226,0.049459394497267876,0.008311442303838885,0.00012138510321360717,0.013013842077792439,0.017391275618032807,0.007304462861582306,0.0008375547804299573,0.007009776488169316,0.011644820846066115,0.00436441660758614,0.00012138510321360717,0.004372348488303852,0.049459394497267876,0.008311442303838885,0.00012138510321360717,0.013013842077792439,5,100,20,20.0,20,0.0,0.99837047,0.00037335523,-0.9986676,0.62800246,0.21555648440634234,25,1.5759371624277736,0.21555648440634234,0.03516031957519213,0.3384282950241898,0.7498878033335281,0.010777824220317117,4.151902533072035e-06,0.052328013623474987,0.08882774499232503,0.010575290823526302,1.5385998784484707e-05,0.0238664236542724,0.7498878033335281,0.03606780044323837,1.362368960733904e-05,0.14613930046106285,0.7498878033335281,0.010777824220317117,4.151902533072035e-06,0.052328013623474987,525,10500,20,20.0,20,0.0,10500,0.001592957999491773,120.1295092350183,107.24251817899949,5.5499881180003285,0.002309366999725171,7.326328444019055,0.0067395269998087315,124.75061541900959,3.2642000405758154e-05,1.0,-0.0,-5.211689,-8.023014,-10.135626,0.75926924,-8.021425,17.805895,7.648035,5.130945,0.7566049,0.00078224327,-0.0009480415,-0.004621571,0.0007569056,0.0020148144,-0.0012468288,-0.0038741692,0.0008219806,59.079407,59.083916,1000,0.003048377,6.592067e-05,-0.003108465,0.0005575925,0.004064514,0.00047802957,-0.0028602816,0.0008456578,1.0040728,1.0004784,0.9971438,0.00084618956
1,1,0.66395557,0.08518163,-0.29611763,0.23524533,0.015914361189426664,5,0.05246392133456314,0.015914361189426664,0.0023242168925303435,0.01863309495930021,0.03853473442317809,0.0007957180594713333,4.087432096309015e-06,0.004067395623235248,0.00012827482304144004,7.162980822586482e-05,3.3712140656592187e-05,3.164093305505476e-05,0.03853473442317809,0.009603643146712058,6.35898796695552e-05,0.014731959122301396,0.03853473442317809,0.0007957180594713333,4.087432096309015e-06,0.004067395623235248,10,200,20,20.0,20,0.0,0.9991465,0.05425739,-0.99934506,0.61953175,0.09492573151182628,25,1.2454722984237203,0.09492573151182628,0.0071201091448615215,0.23815133656225415,0.8657742237546705,0.004746286575591313,2.547393479310198e-08,0.04041152144139917,0.8657742237546705,0.03594100370787005,2.2578944295331954e-06,0.16942329630673916,0.033363720108233304,0.005878705323056423,1.6977865984285637e-05,0.009505240096287457,0.8657742237546705,0.004746286575591313,2.547393479310198e-08,0.04041152144139917,550,11000,20,20.0,20,0.0,11000,0.0015568030003123567,13.447441305997927,1.2649195439998948,5.095766772000388,0.002295463999871572,7.080157011997471,0.0027144160003444995,139.23485968500245,3.129499964416027e-05,0.36992526054382324,-19.46213150024414,-3.2093506,-7.5706625,-11.774897,1.217547,-16.232277,18.596231,13.27013,9.313657,0.98086476,17.718012,13.186043,8.022281,1.2448231,17.859287,13.184122,7.5296254,1.2702854,1.2566764,1.2925658,2000,0.6917727,0.0849778,-0.43077767,0.23157926,0.016936313,-0.052100573,-0.22145145,0.03463287,1.0170805,0.9497912,0.8013548,0.031901732
2,2,0.9243525,0.030274391,-0.9008788,0.50323325,0.01213602986550254,5,0.024171550538931778,0.01213602986550254,0.0009864602972536488,0.008667553485074277,0.01947434207890819,0.0006068014932751269,1.334967484875739e-07,0.002359836616232657,0.0009348853232317141,0.00026145794408401305,2.497407606332763e-06,0.0003589903950903982,0.01947434207890819,0.005833395594944474,9.987991371579631e-05,0.007126747087009766,0.01947434207890819,0.0006068014932751269,1.334967484875739e-07,0.002359836616232657,15,300,20,20.0,20,0.0,0.9995454,0.0540178,-0.99980736,0.7173535,0.026144143371745702,25,0.0739036677651543,0.026144143371745702,0.0024841983458883657,0.02030770557679698,0.05203755394797219,0.001307207168587285,8.9610344176806e-09,0.005131967086304487,0.016944070766792912,0.0016088694618329499,1.0280927358484731e-07,0.004142544747356227,0.037982743845767476,0.006223577538446695,1.8611969916111492e-05,0.01096732298101927,0.05203755394797219,0.001307207168587285,8.9610344176806e-09,0.005131967086304487,575,11500,20,20.0,20,0.0,11500,0.0015635370000381954,12.662564196000858,0.8362669549997008,4.047752026000126,0.0021258300002955366,7.772186899000189,0.0026349290001235204,153.04810455098868,3.4020000384771265e-05,0.144059419631958,-31.01777458190918,9.299498,-4.00893,-15.283232,2.868777,-18.315178,21.13629,16.82638,7.4497957,0.9403688,21.239063,16.825516,7.9200063,1.1960868,21.3412,16.81923,8.204964,1.2324,1.0365605,1.1021776,3000,0.9362455,0.052018505,-0.93048245,0.48931867,0.48692617,0.11793378,-0.55570316,0.17363892,1.6273065,1.1405702,0.5736687,0.17023495
3,3,0.9678107,0.14521535,-0.95745426,0.826116,0.07181762923045638,5,0.14545277803807674,0.07181762923045638,0.016396741007751507,0.04609233070496076,0.06857100085117761,0.003590881461522818,4.420161597388291e-08,0.008350965351584813,0.007272638901903836,0.0017071760356683684,9.833813775180984e-05,0.0027960254128010344,0.06857100085117761,0.025709785983836442,0.0003731366445733398,0.02523893775478668,0.06857100085117761,0.003590881461522818,4.420161597388291e-08,0.008350965351584813,20,400,20,20.0,20,0.0,0.9998655,0.1739235,-0.9993563,0.8216371,0.03237015277879407,25,0.09012738204548888,0.03237015277879407,0.004545126794668447,0.01982789699927191,0.051257149477738774,0.0016185076389397034,1.5971566187180566e-07,0.004617586870735168,0.032476315126241925,0.004710269580567474,4.28506920563095e-05,0.007405616023020945,0.028901802612827328,0.005382539355332675,8.506388313142484e-06,0.008134731267380655,0.051257149477738774,0.0016185076389397034,1.5971566187180566e-07,0.004617586870735168,600,12000,20,20.0,20,0.0,12000,0.0015404050000142888,11.46796012699997,0.5809175089998462,3.529882443000133,0.0021069809999971767,7.350758444998974,0.0027223450006204075,165.67572793397358,3.199900038453052e-05,0.07971853017807007,-10.149557113647461,22.399176,7.987133,-7.3070517,4.639877,-19.416843,24.085457,18.053219,9.923749,0.6391715,22.97972,18.129936,11.864841,0.99869686,22.52689,18.122538,12.809108,1.0112326,0.7372244,0.769223,4000,0.99373144,0.20329934,-0.98409677,0.8378949,0.6669016,-0.27896854,-0.94603324,0.25438395,1.9481916,0.78382796,0.3882782,0.22936141
4,4,0.99888587,-0.12544997,-0.9999204,0.8429647,0.01107276835786288,5,0.028732536860376776,0.01107276835786288,0.0023494505625318916,0.00957929798188607,0.011982037472264008,0.0005536384178931441,2.0326221161473582e-13,0.0019953860861361803,1.973227282137289e-10,5.834385323406679e-11,2.0326221161473582e-13,7.537916251959707e-11,0.011982037472264008,0.004756550654047827,0.00025616755059491164,0.00541854358686815,0.011982037472264008,0.0005536384178931441,2.0326221161473582e-13,0.0019953860861361803,25,500,20,20.0,20,0.0,1.0,-0.089439005,-1.0,0.8493184,0.015359648627657438,25,0.06298523801729694,0.015359648627657438,0.0019115219547047697,0.016810272279774115,0.041436488249930244,0.0007679824313828719,3.550359948659784e-14,0.003199029370918763,9.852928376561326e-08,7.165831783286544e-09,3.550359948659784e-14,2.085146248086777e-08,0.041436488249930244,0.004595137001957556,4.883953037764865e-06,0.008563132378628716,0.041436488249930244,0.0007679824313828719,3.550359948659784e-14,0.003199029370918763,625,12500,20,20.0,20,0.0,12500,0.0015858850001677638,11.981227970011787,0.7774832250006511,4.116826697999386,0.00203925400001026,7.080550793011753,0.0027102960002594045,178.72576749399013,3.181899955961853e-05,0.0548468716442585,-9.927438735961914,58.36911,8.580531,-12.878441,5.240158,-19.625668,26.84675,18.681854,15.12727,0.5329088,22.183828,18.753506,16.803045,0.5489701,24.876621,18.787731,16.946783,0.66189283,0.45493954,0.70818484,5000,0.99841434,0.044741426,-0.99984974,0.8596081,1.9257654,-0.2536614,-3.1613965,0.30097494,6.8603973,0.81601524,0.042366534,0.30846557
5,5,0.970496,0.266569,-0.9620575,0.8388237,0.06891808796711718,5,0.11306726937864113,0.06891808796711718,0.023574468313603422,0.031947293679751756,0.04052580696906708,0.0034459043983558597,9.051894501119056e-06,0.006743502756703426,0.027843587693395292,0.0066710614033412986,0.0002172548562778688,0.010703094971075694,0.016272914654550375,0.008906105804735122,0.003785444133426668,0.005845747497286962,0.04052580696906708,0.0034459043983558597,9.051894501119056e-06,0.006743502756703426,30,600,20,20.0,20,0.0,0.99967545,0.21523534,-0.999372,0.8230303,0.09843004563958344,25,0.34799817211549766,0.09843004563958344,0.013567945451491656,0.07597259777612782,0.2617817223716919,0.004921502281979173,3.4569688746181617e-06,0.016773405482649544,0.12622807924398127,0.01237543122548171,1.6884805681915985e-05,0.028721896892303894,0.05125670755866409,0.007735013324455488,0.00012719921211901762,0.011557087746714014,0.2617817223716919,0.004921502281979173,3.4569688746181617e-06,0.016773405482649544,650,13000,20,20.0,20,0.0,13000,0.0015445829994860105,13.363297925008737,0.7663138880006954,4.573201489999519,0.003107097999418329,8.015340421009569,0.003755812000235892,193.17547972000557,3.463299981376622e-05,0.03263294696807861,-10.978440284729004,24.547455,8.792212,-9.620619,4.7063007,-17.604069,26.464243,17.126572,15.96818,0.3159931,19.823423,17.159607,16.39273,0.38382894,19.66814,17.156677,16.382158,0.3500332,0.10611658,0.08899361,6000,0.99824727,0.25807405,-0.9828425,0.8190257,0.91819304,-0.28850293,-1.0126317,0.26745793,2.5047603,0.7795066,0.36326176,0.24269675
6,6,0.9777321,-0.37218907,-0.983257,0.76743275,0.02730495533405349,5,0.06323974452197549,0.02730495533405349,0.008209558704848092,0.019178979623487215,0.04462426827697215,0.0013652477667026746,7.509574983839655e-06,0.004842065866105024,0.0009479166603242168,0.0003702924987518381,9.646784019310893e-06,0.000362323410807463,0.04462426827697215,0.013072724629144189,0.0006868422758634816,0.017039124916792398,0.04462426827697215,0.0013652477667026746,7.509574983839655e-06,0.004842065866105024,35,700,20,20.0,20,0.0,0.99998254,-0.34870964,-0.9995597,0.78020746,0.0352534981984547,25,0.0842519454643229,0.0352534981984547,0.008747748403356452,0.021693109771092768,0.04591170871575069,0.0017626749099227351,2.5083112797595646e-06,0.004927275688035057,0.03603145888539968,0.003039503059913859,1.4701936759888498e-05,0.007297602948621437,0.03834564336895892,0.006126089242647711,3.0481683805183367e-05,0.009712049933275287,0.04591170871575069,0.0017626749099227351,2.5083112797595646e-06,0.004927275688035057,675,13500,20,20.0,20,0.0,13500,0.0015715110002929578,13.54552151099233,1.2805538370002978,4.662410173000353,0.0022821840002507088,7.595936124990658,0.0027382389998820145,207.9243608169836,2.9442000595736317e-05,0.02052442543208599,-5.624468803405762,37.30224,10.552685,-9.432201,4.881272,-16.104149,25.89043,15.59182,14.943678,0.5537124,19.105026,15.621691,14.951039,0.49241048,19.21078,15.621498,15.036243,0.48607942,0.15932818,0.1554868,7000,0.9999153,-0.31692,-0.9964586,0.8146798,1.0313737,-0.34833887,-0.8381716,0.253022,2.8049164,0.7313037,0.4325006,0.21769947
7,7,0.9869827,0.110111974,-0.9933091,0.89651,13.280853596450797,5,64.87794102832206,13.280853596450797,0.17738029688091184,25.798943871438613,10.0,0.66404267982254,9.262803172504596e-08,2.3963366784768128,10.0,2.0147010467387654,9.262803172504596e-08,3.9927410026198538,0.04419434872411692,0.013853029275760875,0.00026031726372403814,0.017282254004767766,10.0,0.66404267982254,9.262803172504596e-08,2.3963366784768128,40,800,20,20.0,20,0.0,0.99983335,0.0965005,-0.9993292,0.8872743,0.30753476353676296,25,1.109778831449847,0.30753476353676296,0.061040763286530283,0.22865321953482015,0.986902831689065,0.015376738176838147,3.6103262331561114e-08,0.05712480234439591,0.36535959542000657,0.03766017465989737,3.9472198007970724e-07,0.08454479872202035,0.04189854375506545,0.011823318245838838,0.00013247328716527618,0.010621490254132082,0.986902831689065,0.015376738176838147,3.6103262331561114e-08,0.05712480234439591,700,14000,20,20.0,20,0.0,14000,0.0016183199995793984,13.692218001986475,1.0440010980000807,4.796627904000161,0.0017148229999293108,7.846074343987311,0.002159515000130341,222.8088104079552,2.1997999283485115e-05,0.01718057692050934,-1.1168590784072876,29.12763,11.725182,-11.674243,6.110084,-14.756942,25.100197,14.294884,13.636162,0.6166566,20.159025,14.330952,13.662256,0.6187654,19.975002,14.332651,13.711857,0.62246305,0.08162223,0.08330929,8000,0.99679434,0.048616033,-0.9921407,0.8772326,0.6871025,-0.41285053,-0.89214313,0.21903843,1.9879471,0.67940456,0.4097766,0.17244105
8,8,0.99959207,-0.09048208,-0.99996555,0.85790145,0.07084425118716804,5,0.20447160741919812,0.07084425118716804,0.025524668120801876,0.06770383272844571,0.09904302994456317,0.0035422125593584015,3.677417430693264e-11,0.011290534369462419,6.980315946158593e-08,2.306604880663943e-08,3.677417430693264e-11,2.598730946522739e-08,0.03703619949486441,0.013929538484984114,0.0013925769774005478,0.013409848568064512,0.09904302994456317,0.0035422125593584015,3.677417430693264e-11,0.011290534369462419,45,900,20,20.0,20,0.0,0.99999994,-0.07215504,-0.99995893,0.85183644,0.040901378696966806,25,0.12902815252425476,0.040901378696966806,0.007151926100903976,0.02886660416205207,0.04866652513947328,0.0020450689348483404,4.1406425978783387e-11,0.005439288488029971,3.127782347546992e-05,2.0937875240121903e-06,4.273055184449125e-11,6.518711164711747e-06,0.04554079165997514,0.009333733814666489,1.69730057042666e-05,0.012789736910258682,0.04866652513947328,0.0020450689348483404,4.1406425978783387e-11,0.005439288488029971,725,14500,20,20.0,20,0.0,14500,0.002151484000023629,13.028582935002305,0.9478636999992887,5.29047349099983,0.002041015999566298,6.7833354460026385,0.0026855430005525704,236.89595203998033,3.225500040571205e-05,0.009277401491999626,-0.08199559152126312,37.796387,11.982481,-11.960693,5.687737,-12.805184,23.098785,12.543518,12.005375,0.8037333,20.548613,12.561124,11.811742,0.8224536,20.260616,12.551933,11.89164,0.79973394,0.07503934,0.07380931,9000,0.999737,-0.0047151595,-0.99989206,0.8679042,0.748922,-0.40619245,-1.1638446,0.21430865,2.1147192,0.68295455,0.31228328,0.16689976
9,9,0.98468053,0.08942283,-0.98553306,0.8894032,0.052912746998261054,5,0.07753190862954326,0.052912746998261054,0.026428264256686776,0.01828872691316358,0.03249138505267115,0.002645637349913053,3.6313728810171836e-06,0.005363981447356256,0.03249138505267115,0.006771404413232714,6.207142991384898e-06,0.012862556467707967,0.013040172873284616,0.004506594204574684,0.0012728887075534525,0.004349848688868223,0.03249138505267115,0.002645637349913053,3.6313728810171836e-06,0.005363981447356256,50,1000,20,20.0,20,0.0,0.99906296,0.08376371,-0.99963564,0.8705592,0.08193163095196819,25,0.6698819284295019,0.08193163095196819,0.009251141658598883,0.1368589063951454,0.33999805279327927,0.0040965815475984095,4.161777757490916e-06,0.02128521866918838,0.005410629124049227,0.0009339723891062899,7.814276382585899e-06,0.0015013393104748155,0.04923772626876226,0.01182849770555112,1.4445273928167745e-05,0.016473269089352822,0.33999805279327927,0.0040965815475984095,4.161777757490916e-06,0.02128521866918838,750,15000,20,20.0,20,0.0,15000,0.0015458339994438575,12.336649961001967,0.8009008909994009,4.765926446999401,0.0022812179995526094,6.753861884003527,0.012105247999897983,250.17820690399458,2.8439000743674114e-05,0.010470988228917122,1.6292791366577148,29.388191,12.357365,-7.546647,7.2598124,-11.500284,22.24255,11.202614,10.542831,0.8111991,16.024603,11.200677,10.570159,0.69151485,16.04079,11.201502,10.553087,0.69333434,0.16185737,0.16677946,10000,0.9932882,0.07848396,-0.99883705,0.8520617,0.3705555,-0.49491683,-2.2470956,0.22202334,1.448539,0.62396026,0.10570579,0.1331973
