Epoch,epoch,eval/Actions Max,eval/Actions Mean,eval/Actions Min,eval/Actions Std,eval/Average Returns,eval/Num Paths,eval/Returns Max,eval/Returns Mean,eval/Returns Min,eval/Returns Std,eval/Rewards Max,eval/Rewards Mean,eval/Rewards Min,eval/Rewards Std,eval/env_infos/final/reward_dist Max,eval/env_infos/final/reward_dist Mean,eval/env_infos/final/reward_dist Min,eval/env_infos/final/reward_dist Std,eval/env_infos/initial/reward_dist Max,eval/env_infos/initial/reward_dist Mean,eval/env_infos/initial/reward_dist Min,eval/env_infos/initial/reward_dist Std,eval/env_infos/reward_dist Max,eval/env_infos/reward_dist Mean,eval/env_infos/reward_dist Min,eval/env_infos/reward_dist Std,eval/num paths total,eval/num steps total,eval/path length Max,eval/path length Mean,eval/path length Min,eval/path length Std,expl/Actions Max,expl/Actions Mean,expl/Actions Min,expl/Actions Std,expl/Average Returns,expl/Num Paths,expl/Returns Max,expl/Returns Mean,expl/Returns Min,expl/Returns Std,expl/Rewards Max,expl/Rewards Mean,expl/Rewards Min,expl/Rewards Std,expl/env_infos/final/reward_dist Max,expl/env_infos/final/reward_dist Mean,expl/env_infos/final/reward_dist Min,expl/env_infos/final/reward_dist Std,expl/env_infos/initial/reward_dist Max,expl/env_infos/initial/reward_dist Mean,expl/env_infos/initial/reward_dist Min,expl/env_infos/initial/reward_dist Std,expl/env_infos/reward_dist Max,expl/env_infos/reward_dist Mean,expl/env_infos/reward_dist Min,expl/env_infos/reward_dist Std,expl/num paths total,expl/num steps total,expl/path length Max,expl/path length Mean,expl/path length Min,expl/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,0,0.0014673541,-3.9538387e-05,-0.0016114203,0.00070421223,0.23439388085422103,5,0.4842035328028194,0.23439388085422103,0.050613985359638486,0.18585607267975796,0.02421017664014098,0.011719694042711058,0.0024722939805401118,0.009293040112379539,0.02421017664014098,0.01170801298522269,0.0024722939805401118,0.009304376363879669,0.02421017664014098,0.011827160252256653,0.0030680303157099194,0.009188437432375879,0.02421017664014098,0.011719694042711058,0.0024722939805401118,0.009293040112379539,5,100,20,20.0,20,0.0,0.9988845,0.00054025033,-0.99909383,0.63517004,5.645519804179532,25,137.5702844452809,5.645519804179532,0.020285302032961736,26.929328843110305,10.0,0.2822759902089767,3.9895057356477724e-07,1.5948150652745443,10.0,0.4074779565618449,1.3582595504204855e-05,1.9581182546398306,0.04789471654206445,0.010612748634315543,4.956981436969772e-05,0.014266709755993362,10.0,0.2822759902089767,3.9895057356477724e-07,1.5948150652745443,525,10500,20,20.0,20,0.0,10500,0.0029613369997605332,147.91085809299238,134.71863023800006,6.149543665999772,0.0023663019997002266,7.021691239993288,0.01563688899977933,155.5761670779857,2.8421000024536625e-05,1.0,-0.0,-5.5106163,-8.030222,-11.176882,0.7608627,-8.026533,19.01055,7.7969303,4.6236415,1.3159573,0.00082457694,-0.003680985,-0.012637313,0.002016075,0.0036938502,-0.00051658385,-0.0054312483,0.0010471231,62.580658,62.531837,1000,0.0035259293,1.4473245e-05,-0.0036524893,0.00046900075,0.002762908,-0.00028497787,-0.0030745396,0.00073000713,1.0027667,0.99971527,0.9969302,0.0007298567
1,1,0.59970987,0.088346586,-0.31007364,0.22854273,0.009247598597336837,5,0.014106610143943417,0.009247598597336837,0.0028120477789816472,0.004412418265352278,0.010658823501896718,0.00046237992986684185,2.187709273251639e-06,0.001372414767980973,0.0003003453035734849,7.463133236817747e-05,5.975863399121051e-06,0.00011361814688548688,0.010658823501896718,0.004668255880287643,8.173978455071092e-06,0.004090206971709568,0.010658823501896718,0.00046237992986684185,2.187709273251639e-06,0.001372414767980973,10,200,20,20.0,20,0.0,0.99912584,0.053953253,-0.99801874,0.6348674,6.787445066959324,25,138.6121382733253,6.787445066959324,0.002927205129226263,27.52024388715036,10.0,0.33937225334796617,3.9646827008234555e-07,1.6886781834966178,10.0,0.4024593958817572,4.288667250843215e-06,1.9590950454984444,0.08466740720913163,0.010239977050316474,5.180204949314998e-05,0.020219675504175166,10.0,0.33937225334796617,3.9646827008234555e-07,1.6886781834966178,550,11000,20,20.0,20,0.0,11000,0.0016016749996197177,13.315450757002509,1.3116232830002446,5.168903670999953,0.002265076999719895,6.828387911002665,0.0026420260001032148,176.14123969198772,2.7114000204164768e-05,0.37009018659591675,-19.458824157714844,-2.7092648,-7.5761127,-11.322905,1.2621313,-16.25657,21.57095,13.372775,9.023856,1.162846,20.294752,13.260452,7.4011602,1.3619996,19.764454,13.266257,7.4191957,1.363862,2.4920325,2.48392,2000,0.68645483,0.095914684,-0.3781889,0.22380249,0.051721547,-0.018065462,-0.20095624,0.03317185,1.0530825,0.9826284,0.8179482,0.031816147
2,2,0.9502796,0.3419675,-0.97396886,0.69610715,0.003724131831899344,5,0.006726933812996339,0.003724131831899344,0.0008617250119309023,0.0022344729837043,0.005529277204130099,0.00018620659159496715,5.275236574062301e-10,0.0007121005237575701,3.262333826086027e-05,1.2372343496611495e-05,5.275236574062301e-10,1.2801359886230061e-05,0.00443103985580864,0.0013789117242772753,4.3439488380781104e-05,0.0016026429302811644,0.005529277204130099,0.00018620659159496715,5.275236574062301e-10,0.0007121005237575701,15,300,20,20.0,20,0.0,0.9999275,0.27458185,-0.9996495,0.74594873,0.014042117860182633,25,0.04582578880275449,0.014042117860182633,0.001610384053953608,0.01381644369843574,0.03695714785902536,0.0007021058930091317,6.2012478402293976e-12,0.002729150853732853,0.003491926610587659,0.0002998458807085045,1.11023173058897e-11,0.0006989593430466488,0.03695714785902536,0.005030667907324283,1.1830066363536982e-05,0.009506162452422378,0.03695714785902536,0.0007021058930091317,6.2012478402293976e-12,0.002729150853732853,575,11500,20,20.0,20,0.0,11500,0.0015934719999677327,12.146237491002012,0.823900617000163,4.035414088999914,0.001990637999824685,7.280578350002088,0.0027270569999018335,200.6542667019853,3.326800015202025e-05,0.1541777104139328,-16.456134796142578,17.389095,3.1982782,-12.498874,4.643881,-19.913197,26.872766,17.936102,14.377646,1.0434734,26.666006,17.977238,12.984585,1.3355031,26.943346,17.976776,12.89465,1.335357,2.2166748,2.2206888,3000,0.9735856,0.28163403,-0.97480565,0.734633,0.67772025,-0.08851532,-0.87599635,0.2673667,1.9693829,0.94922334,0.4164469,0.26204666
3,3,0.996713,-0.115077525,-0.98709184,0.8547898,0.09471981500948326,5,0.281797014179251,0.09471981500948326,0.018668297243780965,0.09475936828330589,0.0900411512642588,0.0047359907504741635,1.2929552525590495e-12,0.013823516611536912,0.0015428192893925537,0.0003134963871382819,1.2929552525590495e-12,0.0006147184279569332,0.026305841437676364,0.011894185433150382,0.004149904409838453,0.008850792493305844,0.0900411512642588,0.0047359907504741635,1.2929552525590495e-12,0.013823516611536912,20,400,20,20.0,20,0.0,0.9999944,-0.10404199,-0.99998266,0.85291636,0.07006380717319,25,0.45978131356635504,0.07006380717319,0.001684052445573846,0.09410050303672325,0.15862263013320152,0.0035031903586595003,6.426764560577648e-15,0.01240367623707514,0.0025207778371384745,0.00012688398351502894,6.426764560577648e-15,0.000494093215312293,0.059030087546592544,0.012077561628345224,9.382532265916175e-06,0.017014937666172413,0.15862263013320152,0.0035031903586595003,6.426764560577648e-15,0.01240367623707514,600,12000,20,20.0,20,0.0,12000,0.0021744969999417663,14.570479930010606,0.9150480369999059,4.804212870999891,0.0022339660004035977,8.8440983430105,0.0026816059998964192,231.49710897599243,3.061000006709946e-05,0.11429066210985184,-3.659557819366455,31.58953,10.3127985,-10.482237,4.949386,-25.468328,37.694023,23.335817,20.984552,1.6732644,47.581913,23.382664,20.154211,1.5854241,46.09734,23.397514,20.03124,1.5540454,2.7327938,2.660131,4000,0.9991794,-0.13013913,-0.9998897,0.85284835,1.1349951,-0.23578508,-2.007219,0.3426502,3.1111584,0.84361696,0.1343618,0.34476072
4,4,1.0,0.035011217,-0.9999994,0.89039737,0.023565586354214303,5,0.03914999345514521,0.023565586354214303,0.014496244096125177,0.008585365881956126,0.013940011345241891,0.0011782793177107153,1.6039219745159336e-11,0.0026142208235948646,1.4611630540350585e-09,7.073942717952202e-10,1.6039219745159336e-11,5.857448887802699e-10,0.013109301121460082,0.003494990516257319,4.263552727383579e-05,0.004890157148488535,0.013940011345241891,0.0011782793177107153,1.6039219745159336e-11,0.0026142208235948646,25,500,20,20.0,20,0.0,1.0,0.016088244,-0.9999998,0.8729491,0.044120804113523066,25,0.15309911251612474,0.044120804113523066,0.011990861189962083,0.03288028445080155,0.08140189682585355,0.0022060402056761534,3.918431468641682e-12,0.0065447113538669305,0.005280272585487068,0.00021461911261011482,3.918431468641682e-12,0.0010341059465580993,0.045604889772267454,0.009584807846547699,0.00010114466289292785,0.013061317222134612,0.08140189682585355,0.0022060402056761534,3.918431468641682e-12,0.0065447113538669305,625,12500,20,20.0,20,0.0,12500,0.001683121000041865,14.673560588001237,0.9833634049996363,4.710072271000172,0.0033376520000274468,8.971015913001338,0.004053536999890639,261.87636648200305,3.468900013103848e-05,0.09086669981479645,-4.3792219161987305,81.9259,10.174078,-9.282605,5.8713684,-30.017248,64.42733,27.803074,23.57277,4.0051794,87.32571,28.033089,23.723066,5.0950565,84.12883,28.031116,23.172853,4.8900466,4.610442,3.89954,5000,1.0,-0.04661703,-0.999999,0.87248343,0.7233953,-0.35398528,-3.1035452,0.26008156,2.0614204,0.7281714,0.044889778,0.22148733
5,5,0.9881856,-0.25771794,-0.9990286,0.86064214,0.048150954863432,5,0.07019905859000015,0.048150954863432,0.013467898597602009,0.020574805062751222,0.051065464659627954,0.0024075477431715997,5.887310663315881e-06,0.006273795127492407,0.01375089336752377,0.004364624815442618,1.1884077356014472e-05,0.0051652257234688324,0.051065464659627954,0.012978749738588072,0.0006123111838882744,0.01924044514225162,0.051065464659627954,0.0024075477431715997,5.887310663315881e-06,0.006273795127492407,30,600,20,20.0,20,0.0,0.9994873,-0.2575609,-0.9999336,0.8297355,0.4945047900304295,25,2.736200136781773,0.4945047900304295,0.01772573754685306,0.8523667206012525,0.9047255176075923,0.024725239501521473,8.39403729898098e-06,0.08737324154744248,0.6051144094114925,0.0499771336925615,4.089165270162825e-05,0.131815880875688,0.07584380727685569,0.008660457043180185,0.00010746577110011563,0.016559677209630596,0.9047255176075923,0.024725239501521473,8.39403729898098e-06,0.08737324154744248,650,13000,20,20.0,20,0.0,13000,0.0021704640003008535,16.34450459600248,1.2434229800001049,6.659300179000184,0.0022458660000665986,8.43457688000126,0.002756490000138001,306.97406044100626,3.173700042680139e-05,0.06980304419994354,0.5308648347854614,31.010815,12.199417,-6.5980167,4.7489805,-35.191353,81.443504,32.29933,25.951784,5.731147,82.34171,32.49987,26.123281,5.6899204,82.54391,32.492332,26.27452,5.6673737,3.1729958,2.9245753,6000,0.9910087,-0.40978515,-0.9953136,0.79130685,0.74516755,-0.42053834,-1.2400026,0.1982594,2.1067944,0.6706477,0.28938347,0.14879769
6,6,0.9961952,0.13725236,-0.9964654,0.881652,0.26394168307387866,5,0.381359600530668,0.26394168307387866,0.005351606559426324,0.1378122089380746,0.1618117314988626,0.013197084153693937,2.4333868074689345e-09,0.02238716567030281,0.04813637735662681,0.019305776373153033,2.4333868074689345e-09,0.022732362211504886,0.00973170399390797,0.002695379139237258,2.4797888874486368e-05,0.003726940746534855,0.1618117314988626,0.013197084153693937,2.4333868074689345e-09,0.02238716567030281,35,700,20,20.0,20,0.0,0.999521,0.10904465,-0.9995412,0.8875769,0.3015590967633285,25,0.7015145053676318,0.3015590967633285,0.015130215088282899,0.19277919410739838,0.22641192620045542,0.015077954838166423,1.3391048725248185e-09,0.0260233222285411,0.22641192620045542,0.028060625350381105,1.3391048725248185e-09,0.055783287781977546,0.030625227847105824,0.007328575644364632,2.0463782648106836e-05,0.010118862148887155,0.22641192620045542,0.015077954838166423,1.3391048725248185e-09,0.0260233222285411,675,13500,20,20.0,20,0.0,13500,0.0016456649996143824,16.190298860999064,1.515961567999966,6.720358383000075,0.00231112600022243,7.947218775999318,0.002772975999960181,346.37736761100723,3.036699990843772e-05,0.06299833953380585,1.1719824075698853,36.96077,12.423918,-9.770268,6.865273,-43.26422,104.12954,39.50315,32.60399,7.140472,115.99011,39.660797,32.95722,7.0358133,113.01346,39.686447,33.255424,7.0029087,5.287961,4.6811852,7000,0.9972725,-0.12455972,-0.99913204,0.8486158,0.6393693,-0.40596917,-1.1374637,0.2474787,1.8952851,0.688098,0.3206312,0.18396372
7,7,0.9999968,-0.40752798,-0.9998122,0.78844917,0.13360277887039268,5,0.5974762768095755,0.13360277887039268,0.006975578341552507,0.23209478001792566,0.03085532994610707,0.0066801389435196335,1.1753424613179527e-10,0.011898138106334359,0.029822155098077285,0.005964432081803514,1.1753424613179527e-10,0.01192886150813691,0.03085532994610707,0.010588088476987006,0.0001391571732045839,0.01221543291102877,0.03085532994610707,0.0066801389435196335,1.1753424613179527e-10,0.011898138106334359,40,800,20,20.0,20,0.0,1.0,-0.32062176,-0.9999992,0.8359174,0.025043650540994573,25,0.08178974122406892,0.025043650540994573,0.0014725685612332054,0.022960374186623108,0.036645150548661354,0.0012521825270497286,2.3919053222456615e-13,0.004278826801812449,2.415811231626225e-07,1.2543217788811421e-08,2.3919053222456615e-13,4.722006339438862e-08,0.036645150548661354,0.0075885049866128386,1.9030925600256816e-05,0.01051104163480781,0.036645150548661354,0.0012521825270497286,2.3919053222456615e-13,0.004278826801812449,700,14000,20,20.0,20,0.0,14000,0.0016361610000785731,14.149365665003188,1.0370015460002833,4.661147373999938,0.0019574650000322436,8.444792441003301,0.0027976669998679426,387.4575906090113,3.3010999686666764e-05,0.05916953459382057,2.2366466522216797,60.350487,12.791076,-7.442851,6.894246,-49.929462,144.30774,46.45679,38.484825,14.16919,157.58858,46.78891,38.968872,15.064062,155.61954,46.77633,38.74068,15.0292425,10.4596615,9.141224,8000,1.0,-0.22107674,-0.99999887,0.82753056,0.5932074,-0.42439702,-1.8340673,0.21866027,1.8097838,0.67057806,0.15976243,0.15629223
8,8,0.99579716,-0.2198379,-0.9983602,0.8783052,0.018274239507097043,5,0.05174183773120281,0.018274239507097043,0.006304201991823954,0.017028543248621446,0.028910599149900407,0.0009137119753548522,3.4107038996427063e-10,0.0031990878466911263,2.7393831315766285e-08,1.1635431121615665e-08,3.4107038996427063e-10,1.1735505283550777e-08,0.008907835299051092,0.002860534863015924,8.03673647553551e-05,0.0032163040438653945,0.028910599149900407,0.0009137119753548522,3.4107038996427063e-10,0.0031990878466911263,45,900,20,20.0,20,0.0,0.99999475,-0.2265704,-0.99969226,0.86406046,0.024614619512483463,25,0.10809011623407283,0.024614619512483463,0.0021524711840625876,0.025888574622575915,0.0638433166502608,0.0012307309756241728,5.7625648117884004e-11,0.005296575433307842,0.0015715980198758369,6.60340679142048e-05,5.7625648117884004e-11,0.0003074498574043384,0.023142376477409042,0.004922550322960633,0.00014626672516383893,0.005679890266135345,0.0638433166502608,0.0012307309756241728,5.7625648117884004e-11,0.005296575433307842,725,14500,20,20.0,20,0.0,14500,0.0021721639996030717,14.618271141997866,1.1670489269999962,5.673698238999805,0.0022137129999464378,7.770493186998465,0.0026191319998360996,424.4096311690123,2.5780000214581378e-05,0.07556384801864624,2.4696695804595947,37.579166,12.956207,-6.341385,6.720825,-59.55098,151.5183,55.07354,43.757874,17.269005,160.2801,55.23575,42.308327,17.502628,157.85712,55.232487,43.887516,17.492968,15.720942,14.461712,9000,0.99995536,-0.15387242,-0.99900025,0.83790755,0.47155195,-0.44222665,-1.5129206,0.20548694,1.6024792,0.6569679,0.22026572,0.14617868
9,9,0.9992116,-0.18987237,-0.9994681,0.8784584,0.01741878042407051,5,0.038031342560877895,0.01741878042407051,0.003207798488540891,0.012755560116931346,0.032752000986562786,0.0008709390212035255,4.017981451726426e-09,0.003966829503382927,5.093011646347539e-05,1.1272599953048723e-05,4.017981451726426e-09,1.989401894043449e-05,0.012357447735171022,0.0032773774313943913,0.00046891333956169127,0.00454865945519241,0.032752000986562786,0.0008709390212035255,4.017981451726426e-09,0.003966829503382927,50,1000,20,20.0,20,0.0,0.99966043,-0.18485938,-0.9998955,0.86121666,0.7718189111285182,25,18.204556220696283,0.7718189111285182,0.0010545238229234402,3.5588441828473574,2.1400207707653816,0.038590945556425914,5.463802393860309e-10,0.20140964929961822,0.501835678185085,0.020308097744208786,1.355479856195054e-09,0.09829790312102941,0.0781548775069698,0.011268217983970652,3.57632287094431e-05,0.016984129733327115,2.1400207707653816,0.038590945556425914,5.463802393860309e-10,0.20140964929961822,750,15000,20,20.0,20,0.0,15000,0.0021936909997748444,14.176014580001265,0.9630985389999296,5.5420312290002585,0.002244908999728068,7.663714580001852,0.0027036149999730696,464.02564358401105,2.8016999749524985e-05,0.0834096148610115,0.1462443470954895,43.417606,12.058874,-7.4861126,7.266375,-69.84417,169.3491,65.020004,49.92224,19.214052,173.29396,65.2939,50.46632,19.186283,171.36674,65.21649,51.176746,19.148624,20.54274,18.467281,10000,0.9999937,-0.086881995,-0.99995697,0.84002197,0.7565097,-0.4423132,-1.864885,0.20413819,2.130826,0.6561306,0.15491404,0.13670269
