Epoch,epoch,eval/Actions Max,eval/Actions Mean,eval/Actions Min,eval/Actions Std,eval/Average Returns,eval/Num Paths,eval/Returns Max,eval/Returns Mean,eval/Returns Min,eval/Returns Std,eval/Rewards Max,eval/Rewards Mean,eval/Rewards Min,eval/Rewards Std,eval/env_infos/final/reward_dist Max,eval/env_infos/final/reward_dist Mean,eval/env_infos/final/reward_dist Min,eval/env_infos/final/reward_dist Std,eval/env_infos/initial/reward_dist Max,eval/env_infos/initial/reward_dist Mean,eval/env_infos/initial/reward_dist Min,eval/env_infos/initial/reward_dist Std,eval/env_infos/reward_dist Max,eval/env_infos/reward_dist Mean,eval/env_infos/reward_dist Min,eval/env_infos/reward_dist Std,eval/num paths total,eval/num steps total,eval/path length Max,eval/path length Mean,eval/path length Min,eval/path length Std,expl/Actions Max,expl/Actions Mean,expl/Actions Min,expl/Actions Std,expl/Average Returns,expl/Num Paths,expl/Returns Max,expl/Returns Mean,expl/Returns Min,expl/Returns Std,expl/Rewards Max,expl/Rewards Mean,expl/Rewards Min,expl/Rewards Std,expl/env_infos/final/reward_dist Max,expl/env_infos/final/reward_dist Mean,expl/env_infos/final/reward_dist Min,expl/env_infos/final/reward_dist Std,expl/env_infos/initial/reward_dist Max,expl/env_infos/initial/reward_dist Mean,expl/env_infos/initial/reward_dist Min,expl/env_infos/initial/reward_dist Std,expl/env_infos/reward_dist Max,expl/env_infos/reward_dist Mean,expl/env_infos/reward_dist Min,expl/env_infos/reward_dist Std,expl/num paths total,expl/num steps total,expl/path length Max,expl/path length Mean,expl/path length Min,expl/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,0,0.0027278906,1.5328185e-05,-0.0018618171,0.00052273594,0.3088757894756053,5,0.6813846118721553,0.3088757894756053,0.013869733937935466,0.23383094400065088,0.07114258311714455,0.015443789473780264,9.705703945144195e-05,0.017539959318851727,0.028253625789888867,0.009772055527805879,0.00026832944658540287,0.010892502965554966,0.042074538876203854,0.018358020432893092,0.0016300641388032676,0.01620409411464373,0.07114258311714455,0.015443789473780264,9.705703945144195e-05,0.017539959318851727,5,100,20,20.0,20,0.0,0.99804926,0.0071886773,-0.9978788,0.6302348,5.689062116900624,25,70.73975763111049,5.689062116900624,0.06190620190251686,15.176541196301061,10.0,0.28445310584503125,7.386725742702639e-06,1.2769809426301924,10.0,0.473730611940644,3.166738849093367e-05,1.9534254139847003,0.12742748561188905,0.01590209983476161,2.0219990289256282e-05,0.02773892248842369,10.0,0.28445310584503125,7.386725742702639e-06,1.2769809426301924,525,10500,20,20.0,20,0.0,10500,0.001880754716694355,177.80186451040208,163.00990171730518,8.093915197066963,0.0019348468631505966,6.687291885726154,0.006902242079377174,181.72301543783396,3.786664456129074e-05,1.0,-0.0,-4.9883003,-8.034024,-10.755701,0.75212735,-8.033396,18.658691,7.9032764,5.301455,1.4377108,0.0028269247,-0.00011911885,-0.005172736,0.0009288227,0.00662059,-0.00029076196,-0.0033898074,0.00092472526,64.5307,64.5333,1000,0.0033803524,3.629674e-05,-0.0030886317,0.00056351663,0.003449682,-0.00018865334,-0.0038849977,0.0007370249,1.0034556,0.99981165,0.99612254,0.00073685555
1,1,0.6375633,-0.02673675,-0.57118416,0.22173592,0.02797481167858227,5,0.041058763509513166,0.02797481167858227,0.017852118890869986,0.007500682906163455,0.012769390933956919,0.0013987405839291133,1.496405868293693e-05,0.0026724411551416376,0.0028464089700364517,0.0006832857669502923,4.83805452560356e-05,0.0010860606914583158,0.01144757804017907,0.0026304749842129675,0.0001455166257297999,0.00442827855905194,0.012769390933956919,0.0013987405839291133,1.496405868293693e-05,0.0026724411551416376,10,200,20,20.0,20,0.0,0.99986,-0.0027337652,-0.99915284,0.64526767,0.39191460048083343,25,7.155505634562418,0.39191460048083343,0.026802994496386366,1.3816313448377384,2.512739803973295,0.019595730024041674,1.9895596037831197e-06,0.15946147273689817,2.512739803973295,0.10877873974034438,2.4593858568085133e-05,0.49095944512167056,0.03758513459681049,0.006091125122037449,1.101830344160306e-05,0.00969211704612808,2.512739803973295,0.019595730024041674,1.9895596037831197e-06,0.15946147273689817,550,11000,20,20.0,20,0.0,11000,0.0018190136179327965,15.56838556472212,1.5651013404130936,7.3820667546242476,0.0019539864733815193,6.614801246672869,0.0026204539462924004,197.9151985393837,2.276897430419922e-05,0.36949989199638367,-19.521879196166992,-2.6852646,-7.6080594,-11.62438,1.242141,-16.079294,21.201729,13.325124,9.560288,1.2974536,19.318918,13.191269,8.139295,1.4747602,20.339205,13.1809225,7.448547,1.5138481,2.8019404,2.903818,2000,0.6734449,0.0045944727,-0.64452124,0.18784684,0.1417887,0.04582989,-0.14237882,0.031980846,1.1523331,1.0474263,0.86729264,0.03300691
2,2,0.97450763,-0.032755475,-0.97771394,0.7751381,0.36116505542925476,5,1.7082106339971992,0.36116505542925476,0.009823637552981592,0.6735690364071137,0.8698937942865909,0.018058252771462734,3.0625266002920828e-15,0.10221745260663849,0.013527557412182437,0.003608754394220834,3.0625266002920828e-15,0.005025557235948831,0.011965029962005137,0.0028194859033001127,0.00013309233953665958,0.004608184438650513,0.8698937942865909,0.018058252771462734,3.0625266002920828e-15,0.10221745260663849,15,300,20,20.0,20,0.0,0.9999007,-0.042629413,-0.99991447,0.81233025,0.16300289290671832,25,1.146538731886338,0.16300289290671832,0.008276639163522812,0.28354797949705846,0.9434090490513365,0.008150144645335913,1.2120884535912302e-20,0.04776210646379355,0.24419830306276796,0.013849188020197628,1.2120884535912302e-20,0.04784355587407227,0.040951434969268,0.005246308329755534,6.6346120676026095e-06,0.008713419938676368,0.9434090490513365,0.008150144645335913,1.2120884535912302e-20,0.04776210646379355,575,11500,20,20.0,20,0.0,11500,0.0018749739974737167,13.09260035958141,1.1160313449800014,5.44847393874079,0.0019519003108143806,6.5216246992349625,0.0026052799075841904,211.63217002805322,3.8222409784793854e-05,0.16103824973106384,-12.641683578491211,21.996778,5.0772734,-12.854888,5.669193,-21.615246,28.270767,19.147839,16.452044,1.2005272,31.675608,19.243484,15.593499,1.4550816,31.831488,19.244013,15.493854,1.4606524,2.8175936,2.8459287,3000,0.99679005,-0.08035437,-0.9880415,0.7845515,0.80037475,-0.033717163,-1.3464195,0.361308,2.226375,1.0316737,0.26017016,0.36991903
3,3,0.9846896,0.45525777,-0.99532354,0.7382328,0.88008581358605,5,2.6969759558618165,0.88008581358605,0.106675260952081,0.9259808112233502,0.9091398074338125,0.04400429067930249,1.4457828125846287e-09,0.11034575672108154,0.028454364847703032,0.009942711289393709,1.4457828125846287e-09,0.011677103318278351,0.9091398074338125,0.19252239028343446,0.00018603318131910242,0.3588299770646951,0.9091398074338125,0.04400429067930249,1.4457828125846287e-09,0.11034575672108154,20,400,20,20.0,20,0.0,0.9999979,0.42453414,-0.9999983,0.73618525,0.44631674197642796,25,2.0896184352078677,0.44631674197642796,0.05921251558138141,0.4883842503919578,2.010572295104371,0.022315837098821397,7.838139339705052e-07,0.11563050180416895,0.26094133399200525,0.052780477503886765,1.5214388486292593e-05,0.08341158743337876,0.050572494188515456,0.005566212284015307,9.910139621497749e-06,0.010707481583782527,2.010572295104371,0.022315837098821397,7.838139339705052e-07,0.11563050180416895,600,12000,20,20.0,20,0.0,12000,0.0018326574936509132,14.379200166091323,1.5232662921771407,6.18046888243407,0.0019285622984170914,6.66913777589798,0.0025435704737901688,226.67053282260895,2.2425316274166107e-05,0.1381404846906662,-5.688044548034668,26.932663,9.126501,-9.567692,4.8115406,-28.466301,38.51629,26.193342,24.143389,1.8147668,36.91281,26.334743,22.469852,1.6502994,36.88093,26.315342,22.410515,1.6515063,2.8763225,2.9827185,4000,0.99118966,0.46703234,-0.99420756,0.7284325,1.6671447,-0.22609346,-1.3125913,0.31514925,5.2970214,0.8435367,0.26912177,0.3202994
4,4,0.9618573,-0.060825653,-0.9651308,0.88591,0.03514480323302319,5,0.05368705110803393,0.03514480323302319,0.011067705066497612,0.01524692248495608,0.03293127611005085,0.001757240161651159,9.397018434838566e-06,0.004159760329595801,0.01070339313545775,0.003892928326459841,0.0002184645100528678,0.00393379707510408,0.012945828183563698,0.003944869419911965,0.000152482845107748,0.004696112405041334,0.03293127611005085,0.001757240161651159,9.397018434838566e-06,0.004159760329595801,25,500,20,20.0,20,0.0,0.9999998,-0.11186504,-0.99996144,0.8465156,0.09461563718455812,25,0.303739186294572,0.09461563718455812,0.024964302937877582,0.06476409348482753,0.2117124776749046,0.004730781859227906,5.70057960432158e-07,0.014065693989472501,0.012155117185073805,0.0028222900326104776,1.7155304290465147e-05,0.00403884172506673,0.05440756229852865,0.012296448944637802,3.425679452496132e-05,0.01478009229637514,0.2117124776749046,0.004730781859227906,5.70057960432158e-07,0.014065693989472501,625,12500,20,20.0,20,0.0,12500,0.001830914057791233,12.523533972911537,0.8580500818789005,5.072858621366322,0.0019028764218091965,6.5863144705072045,0.002545787952840328,239.8381621632725,3.1220726668834686e-05,0.10101134330034256,-5.99041223526001,31.594563,9.386978,-13.684416,4.931009,-31.836308,50.162792,30.368073,25.238613,3.4479246,58.24112,30.47296,25.398703,3.2381072,58.73901,30.478683,25.272194,3.246062,2.3531308,2.3930051,5000,0.9972834,-0.11519888,-0.9995273,0.8737978,0.88299674,-0.32119918,-1.447788,0.23154514,2.4181354,0.7481472,0.23508973,0.2188505
5,5,0.98760784,0.004567964,-0.9614592,0.8720143,0.050653201864753215,5,0.10029889576623541,0.050653201864753215,0.014964180073423677,0.0276442229519686,0.02892989633742343,0.002532660093237661,5.990753907329508e-06,0.005598173447424182,0.004370409895004409,0.001331234613377782,8.630205941359627e-06,0.0017188417289493133,0.027182268356104905,0.008493031634365749,0.0004343033891462896,0.010129034951780825,0.02892989633742343,0.002532660093237661,5.990753907329508e-06,0.005598173447424182,30,600,20,20.0,20,0.0,0.99993336,0.015618255,-0.99973476,0.84756345,0.06689061983547163,25,0.31814435557810383,0.06689061983547163,0.022056215773862367,0.05920353986321401,0.13763236176532279,0.003344530991773582,3.937995459867002e-06,0.01110843122712006,0.03247416482901728,0.003661720717885679,4.581738364784694e-06,0.007155751407886835,0.07467774444555193,0.011816216504637773,8.09321959700071e-05,0.017212616727510725,0.13763236176532279,0.003344530991773582,3.937995459867002e-06,0.01110843122712006,650,13000,20,20.0,20,0.0,13000,0.001849580556154251,13.599302713759243,1.1365077272057533,5.8308501951396465,0.0019313832744956017,6.625506506301463,0.0026243887841701508,254.0881348112598,3.2932497560977936e-05,0.07521237432956696,-1.2742466926574707,23.796574,11.507526,-9.786028,4.8159547,-34.71545,73.93666,32.911568,25.976604,5.9784,73.17751,32.988808,26.466715,5.675364,73.69144,32.994972,26.228025,5.650521,3.7355328,3.7762322,6000,0.99613553,-0.048044458,-0.9924201,0.88514054,0.7137478,-0.4104431,-0.9909264,0.22375944,2.0416286,0.68252426,0.37123263,0.18749525
6,6,0.9949057,-0.25440547,-0.99406266,0.85239035,0.16642651138795614,5,0.4273540373663774,0.16642651138795614,0.019047876737017553,0.1441095297810525,0.12303352398311135,0.008321325569397808,4.211545476866853e-05,0.018247191475779433,0.007143137000367701,0.0015234018435220883,8.229093953675826e-05,0.0028100127351975953,0.02266744174816922,0.0064480979596187775,0.0002186102699945179,0.00833163882032607,0.12303352398311135,0.008321325569397808,4.211545476866853e-05,0.018247191475779433,35,700,20,20.0,20,0.0,0.9997551,-0.23159379,-0.9999639,0.8383055,0.36352234666326505,25,4.1680338397381895,0.36352234666326505,0.013749465931701267,0.79146867737627,3.715413332446589,0.01817611733316325,6.980642111343319e-06,0.16881543091192236,0.1029740134615633,0.00938937453026762,6.980642111343319e-06,0.025362470517656385,0.0649395332139384,0.010968153121257469,2.0723125962350733e-05,0.01949242466759909,3.715413332446589,0.01817611733316325,6.980642111343319e-06,0.16881543091192236,675,13500,20,20.0,20,0.0,13500,0.0017764363437891006,15.963381339795887,1.5758793903514743,7.781322555616498,0.001896461471915245,6.599439422599971,0.0030233338475227356,270.69885957986116,4.373956471681595e-05,0.06317851692438126,1.5840476751327515,29.53767,12.573558,-12.515464,5.417542,-36.928783,104.9241,34.884224,25.319237,10.47217,109.23291,35.101906,24.593811,10.614287,110.23872,35.09627,24.67936,10.624671,7.6953964,7.7792315,7000,0.9987949,-0.14851041,-0.9986869,0.8843372,0.69247013,-0.4161464,-1.2715656,0.19499657,1.9986464,0.6736453,0.28039232,0.1552573
7,7,0.9995352,0.07424067,-0.99956757,0.8814588,0.031179289034702108,5,0.049361053662017845,0.031179289034702108,0.011798626805376106,0.015645101403238014,0.029083334804832942,0.0015589644517351054,3.2978449492241634e-06,0.004310475150660875,0.002233729792670543,0.0006403693874070333,5.628238569550198e-05,0.0008377608318229632,0.02493142606480385,0.005274521451036375,0.0001512050682655527,0.00983007856864508,0.029083334804832942,0.0015589644517351054,3.2978449492241634e-06,0.004310475150660875,40,800,20,20.0,20,0.0,0.9999833,0.044026885,-0.999964,0.8647095,0.06403326413844797,25,0.2408045486163125,0.06403326413844797,0.009117620445359506,0.04828621514701869,0.07210402096272846,0.0032016632069223976,4.122561019816835e-06,0.00794686617582561,0.04891096174357386,0.002914038220110719,1.4785668570014427e-05,0.009493429701122727,0.048080455446219215,0.01155834768656765,2.9753449696661034e-05,0.013722761278644406,0.07210402096272846,0.0032016632069223976,4.122561019816835e-06,0.00794686617582561,700,14000,20,20.0,20,0.0,14000,0.0018286742269992828,15.223556261509657,1.4286870891228318,7.0075267208740115,0.0019909972324967384,6.780877413228154,0.0026106657460331917,286.5901251928881,3.470107913017273e-05,0.05830005928874016,1.0363869667053223,40.15174,12.364649,-6.196987,5.1422224,-40.86802,112.52328,38.914986,26.030186,13.615992,121.99866,38.916138,25.148678,13.644613,122.79016,38.946194,26.22203,13.697428,9.235546,9.560419,8000,0.9997115,0.027352706,-0.99952334,0.87984556,0.60369134,-0.41188315,-1.5758183,0.20577838,1.8288573,0.6776493,0.20683822,0.15693377
8,8,0.9979503,-0.086399004,-0.9957581,0.8613346,7.779491691165916,5,38.75995218332396,7.779491691165916,0.01692758342572476,15.49023392036836,3.6129817422615975,0.38897458455829564,4.787760163298003e-06,0.8733350576648697,1.978968637056892,0.3961756156823767,5.693752971243529e-06,0.7913967094029313,0.020983860339462507,0.009958326775234097,0.002127311014208416,0.007558748570862239,3.6129817422615975,0.38897458455829564,4.787760163298003e-06,0.8733350576648697,45,900,20,20.0,20,0.0,0.9999312,-0.108087406,-0.9999597,0.85359305,8.097396006335103,25,156.52839430845358,8.097396006335103,0.00411739269807275,31.256840636688796,10.0,0.4048698003167552,3.7130359513947405e-07,1.754401304359624,10.0,0.5001565558115111,3.7130359513947405e-07,1.998204695935249,0.042007340486560636,0.008528050547700339,2.7616339404220723e-05,0.012065916581081736,10.0,0.4048698003167552,3.7130359513947405e-07,1.754401304359624,725,14500,20,20.0,20,0.0,14500,0.0018480131402611732,14.619113896973431,1.2697280049324036,6.85646883957088,0.0019312677904963493,6.486565585248172,0.0025398023426532745,301.8716212082654,3.238394856452942e-05,0.06832653284072876,1.0546128749847412,30.20476,12.393005,-6.2213745,5.382487,-46.34297,123.36467,43.868073,30.648426,14.836305,124.88503,43.962364,31.422815,14.505992,124.3086,43.95679,31.626637,14.493772,9.177133,9.48642,9000,0.9994523,0.17796646,-0.9986169,0.8604799,0.7322937,-0.41908216,-1.1244215,0.196707,2.0798457,0.6717569,0.32484034,0.15404536
9,9,0.99721014,0.032416128,-0.98881465,0.85540986,6.27319928689977,5,19.325909745603486,6.27319928689977,0.029095780570168164,7.960816330673605,3.3921780146600784,0.31365996434498855,1.6669946890534537e-05,0.6802304579306856,1.4287113264094946,0.4882910370313948,0.0001977425794793623,0.6107751854187754,0.009121789375314585,0.0033337413420300326,0.00028034494900346595,0.003575149331390851,3.3921780146600784,0.31365996434498855,1.6669946890534537e-05,0.6802304579306856,50,1000,20,20.0,20,0.0,0.99982643,-0.04239448,-0.9994503,0.8420245,0.7887264278463642,25,17.71230547176287,0.7887264278463642,0.018959434734498456,3.4547588342348776,4.289139173965175,0.039436321392318216,1.1445506790093463e-06,0.2984188493948742,1.3624401542091238,0.05596142701797217,1.1445506790093463e-06,0.2666919713002545,0.045808961369472934,0.009182951869918642,3.101673717368395e-05,0.013328524113831524,4.289139173965175,0.039436321392318216,1.1445506790093463e-06,0.2984188493948742,750,15000,20,20.0,20,0.0,15000,0.0018819160759449005,14.208055266179144,1.2832207456231117,6.096279405988753,0.0019280295819044113,6.82216071151197,0.0025461260229349136,316.7695817472413,3.8331374526023865e-05,0.06656382232904434,0.9904178977012634,37.868057,12.365522,-10.323841,5.4024844,-50.141518,151.37296,47.735855,31.516474,14.244912,149.34363,47.86677,34.659515,13.919779,149.25774,47.856743,34.78409,13.895863,10.491757,10.865837,10000,0.9994835,0.20402955,-0.9996912,0.84671444,0.7174767,-0.40227345,-1.7054163,0.22742522,2.0492558,0.68781644,0.18169673,0.17953032
