Epoch,epoch,eval/Actions Max,eval/Actions Mean,eval/Actions Min,eval/Actions Std,eval/Average Returns,eval/Num Paths,eval/Returns Max,eval/Returns Mean,eval/Returns Min,eval/Returns Std,eval/Rewards Max,eval/Rewards Mean,eval/Rewards Min,eval/Rewards Std,eval/env_infos/final/reward_dist Max,eval/env_infos/final/reward_dist Mean,eval/env_infos/final/reward_dist Min,eval/env_infos/final/reward_dist Std,eval/env_infos/initial/reward_dist Max,eval/env_infos/initial/reward_dist Mean,eval/env_infos/initial/reward_dist Min,eval/env_infos/initial/reward_dist Std,eval/env_infos/reward_dist Max,eval/env_infos/reward_dist Mean,eval/env_infos/reward_dist Min,eval/env_infos/reward_dist Std,eval/num paths total,eval/num steps total,eval/path length Max,eval/path length Mean,eval/path length Min,eval/path length Std,expl/Actions Max,expl/Actions Mean,expl/Actions Min,expl/Actions Std,expl/Average Returns,expl/Num Paths,expl/Returns Max,expl/Returns Mean,expl/Returns Min,expl/Returns Std,expl/Rewards Max,expl/Rewards Mean,expl/Rewards Min,expl/Rewards Std,expl/env_infos/final/reward_dist Max,expl/env_infos/final/reward_dist Mean,expl/env_infos/final/reward_dist Min,expl/env_infos/final/reward_dist Std,expl/env_infos/initial/reward_dist Max,expl/env_infos/initial/reward_dist Mean,expl/env_infos/initial/reward_dist Min,expl/env_infos/initial/reward_dist Std,expl/env_infos/reward_dist Max,expl/env_infos/reward_dist Mean,expl/env_infos/reward_dist Min,expl/env_infos/reward_dist Std,expl/num paths total,expl/num steps total,expl/path length Max,expl/path length Mean,expl/path length Min,expl/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,0,0.0026867487,-9.187606e-05,-0.0029648202,0.0010428515,0.07198410928882802,5,0.24039588849136567,0.07198410928882802,0.007266047358583041,0.0882476618827027,0.05993564913509763,0.003599205464441402,2.984373754516611e-06,0.007703107269525576,0.0135044526801259,0.0029955612063832797,8.828065916795027e-06,0.005270477890560258,0.05993564913509763,0.015026551445648406,7.87338279767028e-05,0.02275889225450482,0.05993564913509763,0.003599205464441402,2.984373754516611e-06,0.007703107269525576,5,100,20,20.0,20,0.0,0.99988914,-0.010005197,-0.9987256,0.62702084,0.9553825106413094,25,11.13011870285366,0.9553825106413094,0.012605123273477318,2.3575019093561926,3.890961811881692,0.047769125532065485,7.3612693491263e-07,0.29207209545660423,2.2945356532468253,0.11520155890385758,3.838570793871235e-05,0.45298612502188673,0.08399280497238103,0.01071723109626159,2.737554344809836e-06,0.019952435386407855,3.890961811881692,0.047769125532065485,7.3612693491263e-07,0.29207209545660423,525,10500,20,20.0,20,0.0,10500,0.0018798881210386753,137.82960474304855,124.62858357978985,6.082023100927472,0.007796139921993017,7.091092380229384,0.018206737004220486,141.77026939345524,2.291705459356308e-05,1.0,-0.0,-5.473115,-8.012554,-10.578435,0.76260245,-8.014606,19.232113,7.78388,4.7757726,1.1894815,0.0089906,0.0033728261,-0.002742787,0.0014980476,0.008116838,0.002117906,-0.0020761057,0.0018964635,61.95076,61.970345,1000,0.003528969,-1.8188099e-05,-0.0044103074,0.0009976486,0.0039863894,0.0005367496,-0.0031790547,0.0010076761,1.0039943,1.0005374,0.996826,0.0010079431
1,1,0.23134674,-0.038211666,-0.51687294,0.14292352,0.375356771845667,5,1.7297217107022254,0.375356771845667,0.009739671052457759,0.6777900552559387,0.08648608553511127,0.01876783859228335,1.1040123212859643e-06,0.03390416700979146,0.08648608553511127,0.018927255046664673,0.0005798421524279363,0.033807383404537525,0.08648608553511127,0.018611648539036896,0.00033612271275405484,0.033971975493844286,0.08648608553511127,0.01876783859228335,1.1040123212859643e-06,0.03390416700979146,10,200,20,20.0,20,0.0,0.9972842,-0.016256496,-0.9974057,0.6007858,1.9107420235968204,25,13.506865794768665,1.9107420235968204,0.007747667141758561,3.546531502653349,3.926444636054972,0.09553710117984102,1.1534688367536305e-11,0.4189257101223039,3.021951462695389,0.1655464473190742,1.1534688367536305e-11,0.6014152856170147,0.055888757590726826,0.00936429536157928,1.8613622872654147e-05,0.014287007818140818,3.926444636054972,0.09553710117984102,1.1534688367536305e-11,0.4189257101223039,550,11000,20,20.0,20,0.0,11000,0.0018978919833898544,13.411286503542215,0.4581969282589853,6.1605925457552075,0.0019241590052843094,6.7861403385177255,0.0024985363706946373,155.85519670927897,3.610365092754364e-05,0.3685648441314697,-19.950361251831055,-5.016039,-7.9875655,-11.086609,0.797873,-17.03463,25.97887,14.179386,7.492896,1.6009654,20.466959,14.101976,7.4617968,1.2082322,19.93345,14.094069,7.4650106,1.2065482,3.152751,3.2327192,2000,0.5550523,-0.023419559,-0.5519819,0.15134066,-0.03349939,-0.087005086,-0.19564402,0.019455794,0.9670555,0.9168442,0.8223049,0.017584521
2,2,0.9464573,0.061029077,-0.8705441,0.47870794,0.050946677500067414,5,0.15553446595056747,0.050946677500067414,0.0049710857772513,0.05381759575030284,0.01702976810818711,0.0025473338750033703,2.597688837498712e-11,0.003593875069522286,0.00756774600474793,0.002198103267527074,2.597688837498712e-11,0.0029635978176814452,0.011027203915542318,0.0023052867548061006,8.094564704415794e-06,0.004362172758868169,0.01702976810818711,0.0025473338750033703,2.597688837498712e-11,0.003593875069522286,15,300,20,20.0,20,0.0,0.99987996,0.06656438,-0.9990831,0.6823059,8.500275669482129,25,190.40580007532037,8.500275669482129,0.01613130244952542,37.23798710909421,10.0,0.4250137834741064,9.858069000710261e-13,1.9245428442399173,10.0,0.44890198651672664,9.858069000710261e-13,1.9627299890049785,0.40580007532038953,0.025234978295324385,1.91781191287487e-05,0.07910264349640951,10.0,0.4250137834741064,9.858069000710261e-13,1.9245428442399173,575,11500,20,20.0,20,0.0,11500,0.0018862872384488583,13.470190025866032,0.957239480689168,5.383614454884082,0.001998791005462408,7.122760751284659,0.002640984021127224,170.0274544316344,4.9276743084192276e-05,0.14041028916835785,-33.93012619018555,8.608913,-5.283191,-14.874024,2.5865984,-19.186575,31.911541,17.824043,11.745208,1.9473413,31.676085,17.835037,13.007155,1.6225016,31.569551,17.840591,12.525423,1.6221503,2.978957,3.028367,3000,0.9468396,0.027356774,-0.89233595,0.45673877,0.22014901,-0.005125873,-0.7294847,0.13720857,1.2462624,1.0036114,0.48215738,0.12341562
3,3,0.9926974,-0.17515856,-0.99477553,0.8035813,1.744228765598373,5,8.65353857803829,1.744228765598373,0.0018826128347474956,3.4546694138144076,1.6880335759023528,0.08721143827991863,1.1041391439930095e-18,0.27224221895388934,0.06332718446815466,0.01266547773928868,4.861629977240657e-18,0.02533085336455617,0.12172763043118066,0.030727425147668352,5.2819551983440156e-06,0.046318029693153885,1.6880335759023528,0.08721143827991863,1.1041391439930095e-18,0.27224221895388934,20,400,20,20.0,20,0.0,0.9999291,-0.18837701,-0.9999555,0.7991523,0.04110119334917929,25,0.10838695942365233,0.04110119334917929,0.0008747543756527671,0.031827940444130606,0.0692288978155498,0.002055059667458964,5.391953378258499e-14,0.0064164518981320315,0.0014218580805601163,0.0001271255177974306,5.391953378258499e-14,0.0002791942733465678,0.0692288978155498,0.012836249018846089,2.0139939656147835e-05,0.019120134077244024,0.0692288978155498,0.002055059667458964,5.391953378258499e-14,0.0064164518981320315,600,12000,20,20.0,20,0.0,12000,0.0019461940973997116,12.863992885686457,1.5108081852085888,4.647436725907028,0.002009719144552946,6.6992247751913965,0.0025368230417370796,183.5470700492151,3.0463095754384995e-05,0.07945485413074493,-3.5712666511535645,23.960764,10.589863,-9.498039,5.107469,-23.621845,45.197704,21.283924,16.24317,3.5814586,39.002193,21.408524,15.635733,3.2071764,38.72162,21.412167,15.199327,3.2426789,5.3343043,5.4068155,4000,0.9898342,-0.3338561,-0.9980198,0.804269,0.58721936,-0.34931716,-0.9021326,0.2573742,1.7989792,0.7315838,0.40570354,0.22165573
4,4,0.99117583,0.096830085,-0.99057716,0.9000523,4.574007666758898,5,14.351175954240476,4.574007666758898,0.09464516650361587,5.247589215738586,2.133226846978194,0.22870038333794487,1.8737091209939233e-05,0.37473004213440847,0.4010011856157425,0.1462459870611314,0.0005095415264187072,0.15167776207405165,0.07045645613184737,0.016722641323578133,7.487298159369777e-05,0.02697187414789865,2.133226846978194,0.22870038333794487,1.8737091209939233e-05,0.37473004213440847,25,500,20,20.0,20,0.0,0.99988127,0.075766176,-0.99987817,0.8737479,3.8067566467311535,25,20.684355332834148,3.8067566467311535,0.05395971104683541,6.379360989009881,4.497139452265774,0.1903378323365577,2.5715954981578343e-07,0.5430356888161025,3.5594607748954963,0.34220751827139084,1.325662090267572e-05,0.7423824997207662,0.2477773117820868,0.016493992596908973,7.005804513079298e-05,0.04821010702354234,4.497139452265774,0.1903378323365577,2.5715954981578343e-07,0.5430356888161025,625,12500,20,20.0,20,0.0,12500,0.001911235973238945,13.651240281760693,1.465732915326953,5.415402849204838,0.0019356929697096348,6.763687819242477,0.0025433730334043503,197.87060502637178,2.63960100710392e-05,0.0696200504899025,2.655302047729492,28.900162,12.996471,-13.628281,5.359196,-30.168447,63.108063,27.355675,21.897612,5.850008,58.31008,27.484615,21.442284,5.3670545,58.363083,27.475807,21.685617,5.3574963,8.979177,8.907051,5000,0.99584085,0.071606815,-0.9995067,0.8827835,0.9660311,-0.36296722,-1.0896051,0.28357333,2.6274953,0.727711,0.33634928,0.24750693
5,5,0.9943217,-0.1552359,-0.99996585,0.8496034,0.41598194017867857,5,1.0501681803297038,0.41598194017867857,0.08091919341436203,0.3675040431377271,0.08742070213065443,0.02079909700893392,6.743922368495374e-11,0.02671100202681805,0.06546684587567293,0.022822178554774777,6.743922368495374e-11,0.02845306910770931,0.02740156863273892,0.008438536709787092,9.86841974414347e-05,0.010945067382683813,0.08742070213065443,0.02079909700893392,6.743922368495374e-11,0.02671100202681805,30,600,20,20.0,20,0.0,0.99983895,-0.17648388,-0.9999576,0.8353181,6.8141965758260765,25,28.003310253634062,6.8141965758260765,0.00702559558082454,9.997817692000304,2.267697671516153,0.34070982879130374,2.8270867053564513e-18,0.6503351663492338,2.1996564219069015,0.4561398367078963,2.8270867053564513e-18,0.7092728124360919,0.3665797156513318,0.02405106595670167,3.0674971347957284e-06,0.07151474835484366,2.267697671516153,0.34070982879130374,2.8270867053564513e-18,0.6503351663492338,650,13000,20,20.0,20,0.0,13000,0.0018450021743774414,10.372557001654059,0.7192719271406531,2.952812246978283,0.0019046487286686897,6.69417166756466,0.0025182049721479416,208.9102064394392,3.330409526824951e-05,0.07198946177959442,3.153167247772217,32.226112,13.19836,-8.9292145,5.224277,-36.31315,76.26757,33.49427,26.810648,7.344372,68.347206,33.691467,26.763504,7.126992,68.683365,33.660393,26.54467,7.1085286,7.995628,7.9917374,6000,0.99861526,-0.0852185,-0.9999702,0.8929751,0.9818326,-0.3900709,-0.92671824,0.22978921,2.6693437,0.6969643,0.39585066,0.187171
6,6,0.9997644,0.12646201,-0.9968716,0.88202465,0.702523569802328,5,3.273160275369401,0.702523569802328,0.03563795167974203,1.2854968668010713,0.21272222890354275,0.035126178490116414,9.255967101288481e-07,0.0750556050952445,0.21272222890354275,0.043353404714113974,0.0006900806455127896,0.08468480391470828,0.012607681058030692,0.006854329357273416,0.001293733599788985,0.003651572826599717,0.21272222890354275,0.035126178490116414,9.255967101288481e-07,0.0750556050952445,35,700,20,20.0,20,0.0,0.99998635,0.150773,-0.9998664,0.8465965,0.46215226314785396,25,6.175706714029193,0.46215226314785396,0.02307586477900091,1.2957750649071786,0.5828278706962355,0.0231076131573927,7.650444880477739e-08,0.07772985230781533,0.3528778167599134,0.03252096663455028,8.770768623853645e-08,0.08351160074258024,0.04474106089795393,0.01043898268673068,1.006008421213392e-05,0.013922223309043953,0.5828278706962355,0.0231076131573927,7.650444880477739e-08,0.07772985230781533,675,13500,20,20.0,20,0.0,13500,0.0018604551441967487,11.819412218406796,0.7666364819742739,4.281954635865986,0.001980097033083439,6.7639506054110825,0.002990296110510826,221.42343428591266,3.964686766266823e-05,0.07805858552455902,0.20982913672924042,31.752651,12.082277,-12.590252,4.8159704,-40.604256,82.26273,38.287193,31.887802,7.6052084,77.594894,38.298958,31.507154,7.1182694,77.23982,38.32016,31.487011,7.1188912,7.497218,7.499553,7000,0.9997513,0.18649606,-0.99786735,0.8675285,0.6977792,-0.41080117,-1.1733098,0.21460976,2.0092854,0.68037254,0.30934137,0.17360519
7,7,0.9983083,-0.10420876,-0.9978194,0.8562296,0.29491953606516375,5,1.2842209518947731,0.29491953606516375,0.017696684118436924,0.4954671602835442,0.2545994643814173,0.01474597680325819,1.692975107602082e-06,0.03816348045859681,0.12272700574830375,0.025204096442985695,5.063352361031891e-06,0.04876926836491283,0.06379618979961289,0.017175409825069078,7.939634808805145e-06,0.02456056896673667,0.2545994643814173,0.01474597680325819,1.692975107602082e-06,0.03816348045859681,40,800,20,20.0,20,0.0,0.99989766,-0.07282322,-0.9999344,0.8517305,0.5354724920074649,25,4.4796464485737575,0.5354724920074649,0.011097281732731697,1.1063607543984777,0.9994456284919712,0.026773624600373254,6.018541011738383e-15,0.10643366889674816,0.10397346191079018,0.013967570038853667,6.018541011738383e-15,0.030236081911405987,0.06566458340071085,0.018208620038710377,6.524590732928993e-06,0.0216646149245618,0.9994456284919712,0.026773624600373254,6.018541011738383e-15,0.10643366889674816,700,14000,20,20.0,20,0.0,14000,0.0019264179281890392,12.682444666977972,1.0166484070941806,4.812223720829934,0.0019709342159330845,6.847097381018102,0.002539609093219042,234.81081501441076,3.819679841399193e-05,0.06863872706890106,1.0151219367980957,36.596176,12.378933,-9.930391,5.2768636,-43.74158,91.85843,41.405376,32.59354,8.856193,93.11122,41.5278,32.4822,8.541298,91.289764,41.549553,32.284798,8.529855,8.267073,8.315141,8000,0.9989094,-0.12865828,-0.99973583,0.8676259,0.65631056,-0.39447188,-1.3435755,0.22242512,1.9276671,0.6923594,0.2609111,0.17609116
8,8,0.99866986,0.06304298,-0.9965711,0.85184073,4.532187556792911,5,22.17455736544741,4.532187556792911,0.08300234728342769,8.821252028470191,1.6899798076999957,0.2266093778396456,1.112626913500252e-12,0.5658958176419985,1.6899798076999957,0.338486669695519,1.112626913500252e-12,0.6757472277666124,0.04471084494284099,0.011072320411048463,0.00010827395364872581,0.017054167575265164,1.6899798076999957,0.2266093778396456,1.112626913500252e-12,0.5658958176419985,45,900,20,20.0,20,0.0,0.9998316,0.017922493,-0.9999402,0.85615814,4.751196032686512,25,21.056660148851194,4.751196032686512,0.03196190024808903,5.561061182900702,3.519600713553807,0.23755980163432566,1.9857347248368042e-19,0.6118565917091764,1.363746098899289,0.09266564809424184,1.9857347248368042e-19,0.2738343659822611,0.054884172692892995,0.007817810922874119,1.0610707471135139e-05,0.01273524748996759,3.519600713553807,0.23755980163432566,1.9857347248368042e-19,0.6118565917091764,725,14500,20,20.0,20,0.0,14500,0.0019040070474147797,11.967325311619788,0.7860372005961835,4.221505849156529,0.0020656981505453587,6.953165479004383,0.002623800653964281,247.48511011246592,2.3277010768651962e-05,0.05342720076441765,-0.3810546398162842,42.4138,11.869922,-8.332981,6.1998672,-45.33301,97.25859,43.136215,32.705532,9.754803,99.96799,43.328835,33.42478,9.477084,99.46925,43.354584,32.91431,9.501102,10.367285,10.635811,9000,0.9993685,0.08026021,-0.99991727,0.85822964,0.5557864,-0.3878703,-1.0352992,0.21040721,1.7433113,0.69443804,0.35512012,0.15821828
9,9,0.9993595,-0.052254867,-0.9996984,0.8719309,0.7092396385629774,5,1.61604793333588,0.7092396385629774,0.08121161934132093,0.5477530883296097,0.44060395350111237,0.03546198192814887,2.167658181233879e-05,0.06402652400113842,0.1168637440803197,0.04241846622734745,0.0003655524856822703,0.04381116720030071,0.018611783434041077,0.009165262659843023,0.00013784354652650422,0.007574107329352128,0.44060395350111237,0.03546198192814887,2.167658181233879e-05,0.06402652400113842,50,1000,20,20.0,20,0.0,0.99994373,-0.07230899,-0.99997705,0.8513215,1.0356522847468246,25,7.005955426530672,1.0356522847468246,0.059510348161820964,1.6167830488505288,3.165361736712529,0.051782614237341235,6.545164469141693e-20,0.20958675387734393,2.625579082682398,0.1373691408582144,6.545164469141693e-20,0.5115678129479507,0.06538112446687386,0.011784986681168735,5.094974797017023e-06,0.016567596799219566,3.165361736712529,0.051782614237341235,6.545164469141693e-20,0.20958675387734393,750,15000,20,20.0,20,0.0,15000,0.002099372912198305,12.068150460720062,0.6887014317326248,4.324263763148338,0.001935069914907217,7.04854959435761,0.002574048936367035,260.2856224924326,2.7179718017578125e-05,0.048679038882255554,1.5590790510177612,38.517033,12.515823,-11.218731,6.74708,-47.36065,99.525505,45.28195,33.7022,10.612034,100.1068,45.35789,33.847622,10.280963,102.12552,45.31355,34.63042,10.302021,12.580516,12.995823,10000,0.99991024,-0.045301866,-0.99996346,0.8517546,0.5391447,-0.42479333,-1.2636387,0.18862219,1.7145398,0.6661727,0.28262377,0.1358396
