Epoch,epoch,eval/Actions Max,eval/Actions Mean,eval/Actions Min,eval/Actions Std,eval/Average Returns,eval/Num Paths,eval/Returns Max,eval/Returns Mean,eval/Returns Min,eval/Returns Std,eval/Rewards Max,eval/Rewards Mean,eval/Rewards Min,eval/Rewards Std,eval/env_infos/final/reward_dist Max,eval/env_infos/final/reward_dist Mean,eval/env_infos/final/reward_dist Min,eval/env_infos/final/reward_dist Std,eval/env_infos/initial/reward_dist Max,eval/env_infos/initial/reward_dist Mean,eval/env_infos/initial/reward_dist Min,eval/env_infos/initial/reward_dist Std,eval/env_infos/reward_dist Max,eval/env_infos/reward_dist Mean,eval/env_infos/reward_dist Min,eval/env_infos/reward_dist Std,eval/num paths total,eval/num steps total,eval/path length Max,eval/path length Mean,eval/path length Min,eval/path length Std,expl/Actions Max,expl/Actions Mean,expl/Actions Min,expl/Actions Std,expl/Average Returns,expl/Num Paths,expl/Returns Max,expl/Returns Mean,expl/Returns Min,expl/Returns Std,expl/Rewards Max,expl/Rewards Mean,expl/Rewards Min,expl/Rewards Std,expl/env_infos/final/reward_dist Max,expl/env_infos/final/reward_dist Mean,expl/env_infos/final/reward_dist Min,expl/env_infos/final/reward_dist Std,expl/env_infos/initial/reward_dist Max,expl/env_infos/initial/reward_dist Mean,expl/env_infos/initial/reward_dist Min,expl/env_infos/initial/reward_dist Std,expl/env_infos/reward_dist Max,expl/env_infos/reward_dist Mean,expl/env_infos/reward_dist Min,expl/env_infos/reward_dist Std,expl/num paths total,expl/num steps total,expl/path length Max,expl/path length Mean,expl/path length Min,expl/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,0,0.0022549594,-0.00012778414,-0.003831036,0.0012954992,0.15220952616553693,5,0.5285110345712314,0.15220952616553693,0.027650156831464306,0.19193038555636402,0.1779464836678135,0.0076104763082768465,1.1725647469928011e-05,0.020780322646591836,0.017612945326634828,0.0036459361168766947,3.1834602296175974e-05,0.0069844093546930055,0.07676098413894321,0.01874422352092501,4.002116542400802e-05,0.029185549066876697,0.1779464836678135,0.0076104763082768465,1.1725647469928011e-05,0.020780322646591836,5,100,20,20.0,20,0.0,0.9995191,0.00604533,-0.9968252,0.62449735,1.5942287243511533,25,15.40931254270515,1.5942287243511533,0.02333171559574102,3.638044725983643,4.0050701298975975,0.07971143621755765,1.1841468620284102e-07,0.4285409099930913,0.7265970896171242,0.03701649243559249,1.1025712303927012e-05,0.14195989417952778,0.07612460596214478,0.010469729351589236,9.160175523487945e-06,0.017710887744118383,4.0050701298975975,0.07971143621755765,1.1841468620284102e-07,0.4285409099930913,525,10500,20,20.0,20,0.0,10500,0.0017877118661999702,131.2328020320274,118.18306983401999,5.771049578208476,0.002020849846303463,7.2679760488681495,0.006865912117063999,135.9265761738643,3.209710121154785e-05,1.0,-0.0,-5.257227,-8.025531,-10.172474,0.7472116,-8.024314,18.906786,7.7696953,5.362221,1.322649,0.0044942913,-0.00076547504,-0.007850857,0.0019594608,0.0063283746,0.00030971796,-0.0048825485,0.001411673,62.1298,62.11267,1000,0.0040893755,-0.0001355368,-0.0043712417,0.0011323876,0.0025737514,-0.00036089923,-0.003022047,0.000871926,1.0025771,0.9996396,0.9969825,0.0008716
1,1,0.39981014,-0.046487678,-0.48570505,0.14260468,0.891778275465413,5,4.387726306021536,0.891778275465413,0.010812373803743025,1.7479803809793184,3.7305343545343717,0.04458891377327065,5.040428022310686e-07,0.3723960032134148,0.007568435850184552,0.0018559732328412223,1.2221181005251142e-05,0.002885028399725882,0.026801802191821777,0.008285640272186874,0.0007794756889883574,0.009629450834533598,3.7305343545343717,0.04458891377327065,5.040428022310686e-07,0.3723960032134148,10,200,20,20.0,20,0.0,0.99647033,-0.018536748,-0.9969371,0.6088697,0.5538587296537866,25,5.517170031519602,0.5538587296537866,0.026015558432221274,1.1801989515472988,2.3725165562070556,0.027692936482689324,6.315675857785989e-08,0.18155948783303566,0.09369102166683237,0.009047859869247247,3.32293623852859e-06,0.022288475415249406,0.08711995379254107,0.011994858829961586,2.351378867967281e-05,0.02022606715430104,2.3725165562070556,0.027692936482689324,6.315675857785989e-08,0.18155948783303566,550,11000,20,20.0,20,0.0,11000,0.0018231947906315327,14.51469459105283,1.4155662208795547,5.782964798156172,0.0019956249743700027,7.309382527135313,0.0029302281327545643,151.5980698238127,3.199698403477669e-05,0.36864104866981506,-19.925922393798828,-4.7324066,-7.967217,-11.173945,0.8287739,-16.851814,23.713863,14.02198,10.028081,1.296169,17.893389,13.923483,8.622698,1.1057382,18.335974,13.924961,8.470786,1.1137682,2.8728652,2.9207156,2000,0.40262046,-0.030195668,-0.54567397,0.14954685,-0.034464262,-0.07179049,-0.17451969,0.017777145,0.96612287,0.93087196,0.8398603,0.016381133
2,2,0.9914019,-0.021566294,-0.98564744,0.59088504,2.3937907190823493,5,11.945583070387421,2.3937907190823493,0.0008415264940794707,4.775897309342557,3.441570976118601,0.11968953595411742,5.016009540533752e-22,0.556382934357145,3.359041156406694,0.6719270575413563,5.016009540533752e-22,1.3435570560507901,0.005362264648291427,0.002462754934106984,0.0002787594684596163,0.002031756431537623,3.441570976118601,0.11968953595411742,5.016009540533752e-22,0.556382934357145,15,300,20,20.0,20,0.0,0.9993188,0.0018540147,-0.99905396,0.693185,14.345068786076911,25,190.07294502186264,14.345068786076911,0.00185395816763629,47.60638914231838,10.0,0.7172534393038454,2.7100681582048495e-07,2.5531693619753875,10.0,0.8047754141939483,7.377233864286584e-06,2.7115447158142754,0.07294502186262818,0.00994511377050495,2.477092006752756e-05,0.01720739700752029,10.0,0.7172534393038454,2.7100681582048495e-07,2.5531693619753875,575,11500,20,20.0,20,0.0,11500,0.001812926959246397,14.30771507602185,1.097206509206444,5.535785920917988,0.0019874898716807365,7.668139365967363,0.002750665880739689,167.24255829770118,3.2197218388319016e-05,0.1408109813928604,-32.72875213623047,5.2643337,-4.6954737,-15.624649,2.8422303,-18.500046,26.97419,17.291164,11.732935,1.432581,22.282112,17.213825,13.19315,1.09423,22.369038,17.224337,13.165757,1.1030114,2.8886256,2.9034142,3000,0.9254311,-0.009458945,-0.9198601,0.5194569,0.28814074,0.03264198,-0.56451213,0.12725489,1.333945,1.0411912,0.5686375,0.12381974
3,3,0.96824247,-0.14641896,-0.96589935,0.91609,0.3776538132942654,5,1.1923756293424257,0.3776538132942654,0.0021239022404255306,0.48517032600304294,0.06155794821179851,0.018882690664713268,1.975358619670219e-05,0.024466616665879345,0.06155794821179851,0.01914520173691901,0.00010535208032566764,0.024849293859818395,0.040580921631344004,0.014410009242484052,1.975358619670219e-05,0.017548955958347434,0.06155794821179851,0.018882690664713268,1.975358619670219e-05,0.024466616665879345,20,400,20,20.0,20,0.0,0.9999644,-0.123279706,-0.9999007,0.8689865,0.6637475658291856,25,11.899707819293884,0.6637475658291856,0.00042950010819442096,2.312363442811451,1.4238171921669396,0.03318737829145928,2.723386588543086e-07,0.13900734468965673,1.4238171921669396,0.06499232630281955,8.574904220399842e-06,0.27766184903852037,0.04938664246111285,0.011475790191403733,2.6039733393501117e-05,0.01546334273689242,1.4238171921669396,0.03318737829145928,2.723386588543086e-07,0.13900734468965673,600,12000,20,20.0,20,0.0,12000,0.0019526551477611065,9.715144948102534,0.16282828385010362,2.1134140798822045,0.001916525885462761,7.432055380195379,0.002945160958915949,178.3020653836429,3.286218270659447e-05,0.08490052819252014,-2.6529855728149414,24.694557,10.9242935,-9.114029,4.795658,-22.33613,34.792435,20.230377,15.452145,1.997612,29.131733,20.346264,16.608366,1.6615382,29.131353,20.320732,16.814426,1.6376399,3.6704588,3.6386282,4000,0.9997789,-0.18218398,-0.989213,0.8700903,0.84748983,-0.38614067,-1.1313305,0.21701492,2.3337812,0.69789547,0.32260373,0.18184051
4,4,0.9845137,-0.20809907,-0.98220253,0.8851573,2.786717133077844,5,13.663208548819838,2.786717133077844,0.001423744766752497,5.438907344533024,0.6904532997207671,0.13933585665389223,3.0428183269883344e-13,0.27252696955586747,0.6904532997207671,0.13837753739007014,3.0428183269883344e-13,0.27603825071673777,0.5445958541252645,0.11165957763055716,5.817589994269975e-05,0.2164976266273815,0.6904532997207671,0.13933585665389223,3.0428183269883344e-13,0.27252696955586747,25,500,20,20.0,20,0.0,0.9998877,-0.23719972,-0.99974537,0.8446259,4.634630951994413,25,112.63988234749198,4.634630951994413,0.004975835589286807,22.04689813710299,10.0,0.23173154759972062,7.194713545238682e-22,1.4657153483373204,10.0,0.40274138958813793,7.194713545238682e-22,1.9590428504518658,0.052131417569670414,0.011412741249154687,4.125300311115192e-05,0.014056378169697011,10.0,0.23173154759972062,7.194713545238682e-22,1.4657153483373204,625,12500,20,20.0,20,0.0,12500,0.001771656796336174,11.699023386463523,0.3799794977530837,3.5174433370120823,0.002009497955441475,7.795169162098318,0.0026228679344058037,191.26791561208665,2.7366913855075836e-05,0.0712650790810585,0.03959440067410469,28.481647,12.01499,-10.536594,5.0112906,-24.858238,40.369484,23.089622,19.771399,2.2531374,34.628735,23.187635,20.029213,1.864728,34.419407,23.186138,19.826582,1.8850443,2.883318,2.998981,5000,0.99257237,-0.29590857,-0.9933159,0.8418786,1.0971154,-0.35684738,-1.380084,0.2609958,2.9955127,0.72696596,0.2515574,0.22533393
5,5,0.9879358,0.07398001,-0.9766435,0.86798966,2.9810202296428274,5,14.083809951472004,2.9810202296428274,0.09684871200362671,5.552762844506315,0.7913426923019773,0.14905101148214134,6.7934307435461764e-06,0.2965111079374397,0.7913426923019773,0.1646994389496825,6.7934307435461764e-06,0.31343506228333434,0.033933521133447546,0.016925930848333198,0.000608561830778274,0.013720620558498129,0.7913426923019773,0.14905101148214134,6.7934307435461764e-06,0.2965111079374397,30,600,20,20.0,20,0.0,0.99975914,0.1402412,-0.9998877,0.86223143,0.9990809917619622,25,7.736606666990856,0.9990809917619622,0.02147767385366837,2.2242585027739468,1.3821803393657015,0.0499540495880981,3.7984536570489073e-06,0.20888561785518767,0.07517128986480848,0.004793266490168298,6.150471329321663e-06,0.014960888844498733,0.0880085211836418,0.01439843064338154,0.0002453223729317799,0.020242720230789865,1.3821803393657015,0.0499540495880981,3.7984536570489073e-06,0.20888561785518767,650,13000,20,20.0,20,0.0,13000,0.0017669307999312878,12.65676915179938,0.5147372731007636,4.581046361010522,0.0019718599505722523,7.554636645596474,0.0025826022028923035,205.26956431614235,2.7479138225317e-05,0.06680893898010254,0.7455699443817139,26.726498,12.275534,-8.171535,4.8761034,-28.033752,49.334442,26.243668,22.810589,3.1202953,50.994846,26.317844,22.851593,2.6325238,50.152477,26.31017,22.907032,2.6041007,4.595104,4.6071424,6000,0.9959713,0.10586647,-0.99543446,0.8878189,0.6102076,-0.38426578,-1.0691123,0.23034008,1.8408135,0.70127696,0.34331313,0.18992905
6,6,0.9959695,-0.028750025,-0.99549675,0.8776888,1.31390723617967,5,2.699873814177374,1.31390723617967,0.054172466426771995,0.8569188732333296,0.28299825353270863,0.06569536180898349,6.683520923726662e-06,0.08533970243963496,0.28299825353270863,0.13815953966505423,0.00438536764736458,0.11167991917100716,0.023914037326608645,0.007686482453352223,1.7714789681277827e-05,0.00847003877770066,0.28299825353270863,0.06569536180898349,6.683520923726662e-06,0.08533970243963496,35,700,20,20.0,20,0.0,0.9997967,-0.058646534,-0.9994531,0.85541415,1.8345877411554636,25,25.649616444006405,1.8345877411554636,0.005266481627343411,5.117163365313285,3.9878253748130845,0.0917293870577732,3.471299304117675e-10,0.3655211916389493,2.5020693364768634,0.16713478614834326,3.471299304117675e-10,0.4937406558523779,0.04580697060425309,0.006683829816816909,9.731439006030442e-06,0.01166776352340136,3.9878253748130845,0.0917293870577732,3.471299304117675e-10,0.3655211916389493,675,13500,20,20.0,20,0.0,13500,0.0017956336960196495,13.754276628606021,0.5600693877786398,3.6823033508844674,0.0019841035827994347,9.505071129649878,0.003020775970071554,220.3457845961675,3.2247044146060944e-05,0.05484718456864357,0.5283233523368835,31.903173,12.181979,-10.63278,5.418915,-29.227787,52.834755,27.58874,21.663685,3.7623315,52.435997,27.661762,22.241318,3.224485,52.968674,27.669014,21.17447,3.2514777,4.088633,3.9939444,7000,0.9993753,-0.0072815567,-0.99766386,0.8857871,0.7977022,-0.37084743,-1.3166374,0.23516785,2.220433,0.7114174,0.26803508,0.19491985
7,7,0.9928549,-0.004927553,-0.99654585,0.88291997,0.43931360319575175,5,1.4056680025222208,0.43931360319575175,0.11185462906572598,0.49279293438869887,0.1735908660886846,0.02196568015978758,2.1654761802624246e-06,0.032823991109779585,0.07307219217885527,0.017710906669741004,0.0002823331970334886,0.028089467956730726,0.026849448300193642,0.010472585910664411,0.0006744974358095691,0.01013720514963434,0.1735908660886846,0.02196568015978758,2.1654761802624246e-06,0.032823991109779585,40,800,20,20.0,20,0.0,0.99994797,-0.01401313,-0.99976367,0.84935135,0.7646312454512868,25,6.263489221561931,0.7646312454512868,0.014626384997804488,1.547950340214875,0.6072373766281927,0.03823156227256433,8.707535756565717e-09,0.08895156273525706,0.3707346920720205,0.0669943588965574,3.472041489106246e-08,0.11705299917691066,0.3131744610780965,0.022161435682879184,1.5174596502516856e-05,0.06145243911720705,0.6072373766281927,0.03823156227256433,8.707535756565717e-09,0.08895156273525706,700,14000,20,20.0,20,0.0,14000,0.0017987280152738094,12.402617119718343,0.6194703667424619,4.233164461795241,0.0020116469822824,7.543269146233797,0.0028706849552690983,234.1678858953528,3.208499401807785e-05,0.04547196254134178,0.6508839130401611,33.738968,12.210596,-8.910342,6.470247,-29.28246,55.9507,27.92249,20.258366,4.354784,58.93624,27.979221,20.506826,3.8314626,59.991512,27.95121,20.108732,3.8376884,4.9520955,4.929178,8000,0.9996346,0.00021998021,-0.99965274,0.8667461,0.960155,-0.3479186,-1.3408005,0.24453625,2.6121013,0.7290955,0.26163614,0.19978474
8,8,0.99263597,-0.114983544,-0.99356455,0.79288024,7.913026600000938,5,21.055600533018747,7.913026600000938,0.15001985358918277,7.57730594546988,1.1674040855322172,0.39565133000004693,6.80933294154692e-11,0.44370231325004716,1.1674040855322172,0.47103434598723626,2.193730160368305e-10,0.4350525361196601,0.04903987381757242,0.019984684250451322,0.0005122566193519033,0.017521933888530565,1.1674040855322172,0.39565133000004693,6.80933294154692e-11,0.44370231325004716,45,900,20,20.0,20,0.0,0.9998565,-0.10517597,-0.9999577,0.840013,16.70970960779996,25,177.17889847534653,16.70970960779996,0.035566595698727554,43.93320479353214,10.0,0.8354854803899979,3.886640022712131e-15,2.4500335935911384,10.0,0.9101088837971456,5.07840986360891e-15,2.6934041445466264,0.09007465358972222,0.028883621308492553,0.00013890591781620676,0.0267166479401959,10.0,0.8354854803899979,3.886640022712131e-15,2.4500335935911384,725,14500,20,20.0,20,0.0,14500,0.0018093776889145374,12.05813608597964,0.5042235301807523,3.9226429131813347,0.001935889944434166,7.624558353796601,0.0029336977750062943,247.61191666964442,3.232341259717941e-05,0.040622446686029434,-0.05039750039577484,40.621628,11.984267,-10.329469,6.837826,-29.607494,62.49224,28.3724,16.577095,5.4617047,61.396736,28.384367,17.786232,4.930566,62.742172,28.3715,16.905205,4.9250474,5.8611336,5.7604685,9000,0.9996857,-0.077235125,-0.99978626,0.8571021,0.70791024,-0.39786163,-1.2662978,0.20762356,2.029745,0.68709993,0.28187323,0.1545804
9,9,0.99887043,-0.037815444,-0.99741673,0.8653469,42.62911225097356,5,190.05057583726858,42.62911225097356,0.5244023090336247,73.81086086944448,10.0,2.131455612548678,1.4757466900622283e-05,3.8269622567584083,10.0,2.6320178265753658,6.587138698222021e-05,3.74332365459571,0.050575837268572274,0.0239842935739195,0.0028161267724817075,0.0177977304004071,10.0,2.131455612548678,1.4757466900622283e-05,3.8269622567584083,50,1000,20,20.0,20,0.0,0.9999019,0.05499348,-0.9999716,0.8378994,4.844620389398269,25,48.8009879804777,4.844620389398269,0.13405519970291516,10.223192169742658,3.1475449377687057,0.2422310194699134,2.2506561692212404e-06,0.6114957626473871,3.0608906585791495,0.24997937285648594,1.7524770086775815e-05,0.636474917341311,0.0663939139465552,0.020256242839817327,9.038013059257794e-05,0.017361221513346677,3.1475449377687057,0.2422310194699134,2.2506561692212404e-06,0.6114957626473871,750,15000,20,20.0,20,0.0,15000,0.0018141861073672771,11.783121142536402,0.9018109790049493,3.429460883140564,0.0019423188641667366,7.445054937154055,0.0030047972686588764,260.78469416871667,3.304099664092064e-05,0.03954317420721054,0.47961971163749695,35.611073,12.148473,-8.888323,6.8538384,-29.700115,66.5343,28.40257,12.864722,5.951769,60.28044,28.389599,13.734287,5.367883,60.671375,28.406929,11.415606,5.3658876,7.5887175,7.5918226,10000,0.9996778,-0.013468817,-0.9998059,0.8550213,0.46745336,-0.4201641,-1.2571493,0.18137828,1.5959247,0.668261,0.2844638,0.12936671
