Epoch,epoch,eval/Actions Max,eval/Actions Mean,eval/Actions Min,eval/Actions Std,eval/Average Returns,eval/Num Paths,eval/Returns Max,eval/Returns Mean,eval/Returns Min,eval/Returns Std,eval/Rewards Max,eval/Rewards Mean,eval/Rewards Min,eval/Rewards Std,eval/env_infos/final/reward_dist Max,eval/env_infos/final/reward_dist Mean,eval/env_infos/final/reward_dist Min,eval/env_infos/final/reward_dist Std,eval/env_infos/initial/reward_dist Max,eval/env_infos/initial/reward_dist Mean,eval/env_infos/initial/reward_dist Min,eval/env_infos/initial/reward_dist Std,eval/env_infos/reward_dist Max,eval/env_infos/reward_dist Mean,eval/env_infos/reward_dist Min,eval/env_infos/reward_dist Std,eval/num paths total,eval/num steps total,eval/path length Max,eval/path length Mean,eval/path length Min,eval/path length Std,expl/Actions Max,expl/Actions Mean,expl/Actions Min,expl/Actions Std,expl/Average Returns,expl/Num Paths,expl/Returns Max,expl/Returns Mean,expl/Returns Min,expl/Returns Std,expl/Rewards Max,expl/Rewards Mean,expl/Rewards Min,expl/Rewards Std,expl/env_infos/final/reward_dist Max,expl/env_infos/final/reward_dist Mean,expl/env_infos/final/reward_dist Min,expl/env_infos/final/reward_dist Std,expl/env_infos/initial/reward_dist Max,expl/env_infos/initial/reward_dist Mean,expl/env_infos/initial/reward_dist Min,expl/env_infos/initial/reward_dist Std,expl/env_infos/reward_dist Max,expl/env_infos/reward_dist Mean,expl/env_infos/reward_dist Min,expl/env_infos/reward_dist Std,expl/num paths total,expl/num steps total,expl/path length Max,expl/path length Mean,expl/path length Min,expl/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,0,0.00089129066,1.8158362e-05,-0.0006704404,0.00040069316,-72.67495246427957,5,-61.69772083079533,-72.67495246427957,-81.59200311264654,7.015108837765716,-3.084701466624559,-3.633747623213978,-4.0956850747222235,0.3507972441548476,-3.085086733437552,-3.626564673242948,-4.063678225617145,0.3460117067532325,-3.084701466624559,-3.640984232379677,-4.0956850747222235,0.3555579876641917,-3.084701466624559,-3.633747623213978,-4.0956850747222235,0.3507972441548476,5,100,20,20.0,20,0.0,0.9991377,-0.0037142984,-0.9977934,0.625092,-112.28147070602405,25,-92.91703191402753,-112.28147070602405,-125.25826194259247,8.705721072616003,-2.4855476896212516,-5.614073535301203,-7.54983443527075,0.9460293256881701,-3.7935812479108404,-5.943457939334892,-6.4031242374328485,0.6825697351176989,-2.4855476896212516,-4.5069138324307,-6.4031242374328485,1.124536119616696,-2.4855476896212516,-5.614073535301203,-7.54983443527075,0.9460293256881701,525,10500,20,20.0,20,0.0,10500,0.001865122001618147,165.5961698931642,150.3624364407733,8.070380436256528,0.0019676131196320057,7.152359077241272,0.007131126709282398,169.84247112786397,3.007706254720688e-05,-4.897663,-8.038937,-10.666377,0.7620911,-8.036087,8.038756,1.6178852,-1.8894186,1.1789237,0.003347652,-0.0007826225,-0.005706966,0.0015136527,0.0010442892,-0.002680156,-0.011600565,0.0012310084,4.0103064,4.0161552,1000,0.003908219,0.00010074379,-0.003868052,0.00071698014,0.0023836077,-0.00015695949,-0.004090558,0.00069727475,1.0023865,0.9998433,0.9959178,0.00069717364
1,1,0.72192067,0.0010464543,-0.7101569,0.1627044,-65.11470469825694,5,-64.84037252860523,-65.11470469825694,-65.83684152210886,0.36808549541086955,-3.00460324045544,-3.2557352349128474,-3.430206084167999,0.11176845674339425,-3.192397795953693,-3.2806604540280944,-3.391168395146316,0.07352916795594538,-3.00460324045544,-3.1520976474424622,-3.3698943221362634,0.12287352507538092,-3.00460324045544,-3.2557352349128474,-3.430206084167999,0.11176845674339425,10,200,20,20.0,20,0.0,0.9986455,0.013308452,-0.99717563,0.58314556,-91.31541182167274,25,-68.26078991185557,-91.31541182167274,-117.48554972579961,18.703453103472967,-0.9027236578014198,-4.565770591083636,-7.54983443527075,1.3003846086462125,-3.0981134410666082,-4.733166668798133,-6.4031242374328485,1.404583855879014,-1.8081199936972294,-3.3828171562747884,-5.081438497965621,0.7695122419431467,-0.9027236578014198,-4.565770591083636,-7.54983443527075,1.3003846086462125,550,11000,20,20.0,20,0.0,11000,0.0018319692462682724,16.385298696812242,1.8651149738579988,7.390514498110861,0.0019375612027943134,7.087093781679869,0.03877637395635247,187.09547644946724,2.9538758099079132e-05,-4.4759645,-7.8989086,-12.137419,0.83889085,-14.897564,26.059067,6.34505,-0.73911,2.6622622,27.368134,6.7129545,0.091412626,2.6101837,26.993687,6.6294365,0.20230722,2.6394424,0.919919,0.85873926,2000,0.79526407,-0.0019699426,-0.8320765,0.14741154,0.09533079,-0.14925143,-0.75264746,0.0867157,1.1000227,0.8642624,0.47111765,0.06400969
2,2,0.7908178,0.037928686,-0.7720917,0.20686741,-65.18942182145136,5,-64.40224743015825,-65.18942182145136,-65.69427265589259,0.4273592942507293,-3.023625081296971,-3.2594710910725677,-3.435100505128464,0.09409993471007493,-3.1485264290011723,-3.256855076597039,-3.417584019114855,0.09453656312244278,-3.023625081296971,-3.116098789603929,-3.2115711531857962,0.06254418976287998,-3.023625081296971,-3.2594710910725677,-3.435100505128464,0.09409993471007493,15,300,20,20.0,20,0.0,0.99811333,0.02411291,-0.99270153,0.5753689,-86.42465362999343,25,-69.0621267956879,-86.42465362999343,-119.33831943933251,19.525998999031106,-2.0164073050419833,-4.321232681499671,-7.54983443527075,1.291991960135698,-3.023215467830127,-4.5017455425395445,-7.54983443527075,1.4645365038134,-2.445856789607645,-3.226736399432555,-4.741254830412434,0.5544332935505325,-2.0164073050419833,-4.321232681499671,-7.54983443527075,1.291991960135698,575,11500,20,20.0,20,0.0,11500,0.00182702811434865,17.202353884931654,1.825984698254615,8.303317669779062,0.0019811666570603848,7.066208657342941,0.003004973754286766,205.29039459023625,2.9691029340028763e-05,-2.9736023,-7.736511,-11.535026,1.0142435,-18.312504,49.01635,9.98988,-0.724175,4.1478662,49.80496,10.199856,-0.09090841,4.1296635,53.06873,10.118001,1.2179214,4.079604,1.2589316,1.4613388,3000,0.82183933,0.019370222,-0.84554034,0.18075946,0.12338214,-0.16564423,-0.91410464,0.108516864,1.1313167,0.8518551,0.4008754,0.07951745
3,3,0.7184812,0.032521322,-0.69220316,0.20273463,-64.90763079305181,5,-64.7620557319669,-64.90763079305181,-65.25280308301741,0.17698363217801152,-3.026905545245291,-3.245381539652592,-3.34754744916089,0.06525635437854203,-3.2165595256090778,-3.2723553252925166,-3.3421608477488305,0.046339251044139405,-3.026905545245291,-3.0758236786605844,-3.210013904760584,0.06823297084495575,-3.026905545245291,-3.245381539652592,-3.34754744916089,0.06525635437854203,20,400,20,20.0,20,0.0,0.99837345,0.02226553,-0.9987304,0.5810179,-82.52197300017367,25,-68.20160654984088,-82.52197300017367,-117.09891176538896,17.54986313050551,-1.4088326005918947,-4.126098650008684,-7.54983443527075,1.1498641687676483,-3.096216761981928,-4.258780576893062,-6.4031242374328485,1.1421562455309817,-1.4088326005918947,-3.317208732324118,-5.927843481153553,0.7722627894186455,-1.4088326005918947,-4.126098650008684,-7.54983443527075,1.1498641687676483,600,12000,20,20.0,20,0.0,12000,0.0018225829117000103,15.940984047949314,1.761104959063232,7.209780900739133,0.0019404636695981026,6.963714055716991,0.002595759928226471,222.00415619881824,2.5325920432806015e-05,-0.58272266,-7.7335806,-13.4383955,1.0347006,-19.884998,63.922043,12.0364,0.36522102,5.2851095,60.6071,11.760556,0.66676867,5.074778,61.210503,11.998063,1.4363719,5.1451674,1.413129,1.3292273,4000,0.89527625,0.027837774,-0.8203119,0.18630941,0.09979454,-0.16392495,-0.9814413,0.107945845,1.1049439,0.85332227,0.37477055,0.0804625
4,4,0.5854835,0.032358456,-0.7196294,0.20081554,-64.70827226500626,5,-64.48644056705663,-64.70827226500626,-64.90487509469473,0.15717060930920387,-3.012662364372044,-3.235413613250313,-3.4031816252082963,0.08621236825660203,-3.144627250795546,-3.233027311843088,-3.3274836128929315,0.07447289100520485,-3.012662364372044,-3.038958024340546,-3.0753559621996676,0.026132167452486074,-3.012662364372044,-3.235413613250313,-3.4031816252082963,0.08621236825660203,25,500,20,20.0,20,0.0,0.9929258,0.028475428,-0.99450344,0.5738863,-77.4868813352042,25,-68.44524516018302,-77.4868813352042,-114.87718872404861,12.465752359512253,-2.389677996391221,-3.87434406676021,-6.4031242374328485,0.9116773018714384,-3.03404172203325,-4.181683061177139,-6.4031242374328485,1.0646456892204976,-2.8421645839033594,-3.593790118704371,-5.190656079091643,0.6609508420431156,-2.389677996391221,-3.87434406676021,-6.4031242374328485,0.9116773018714384,625,12500,20,20.0,20,0.0,12500,0.001806542742997408,16.938942587468773,1.809167088009417,7.684235624969006,0.002000153064727783,7.403298435267061,0.03840404562652111,239.96245769644156,3.0697789043188095e-05,-1.5198479,-7.716217,-13.990533,1.0468379,-20.805803,66.65891,12.99754,-1.8201284,5.6459565,66.893616,12.818804,-0.18868986,5.5174193,64.44372,12.87419,0.4623931,5.4071884,1.3869941,1.354823,5000,0.91447335,0.026903382,-0.8098615,0.19174992,0.1793958,-0.16422313,-0.931387,0.10800835,1.1964942,0.8530845,0.39400685,0.080827385
5,5,0.70432365,0.03254629,-0.7163527,0.19420202,-64.8582568502959,5,-64.39050964348975,-64.8582568502959,-65.26081975233328,0.35325108115535675,-3.054110231994853,-3.2429128425147953,-3.3636852000325437,0.05914123901384956,-3.228265072665689,-3.2580247280556933,-3.288227204597815,0.0238893670488775,-3.054110231994853,-3.191483270925452,-3.3636852000325437,0.1341221360299967,-3.054110231994853,-3.2429128425147953,-3.3636852000325437,0.05914123901384956,30,600,20,20.0,20,0.0,0.99260366,0.03497322,-0.9951087,0.57910305,-79.21524294078067,25,-68.33874904910063,-79.21524294078067,-116.01244869328481,13.187504125085981,-1.9984905514956814,-3.9607621470390333,-6.4031242374328485,0.9508373756650036,-3.0162293489446976,-4.177946233371174,-6.4031242374328485,0.9892210048749035,-2.994488460794904,-3.5757437124570903,-5.049882691671471,0.5407229924186515,-1.9984905514956814,-3.9607621470390333,-6.4031242374328485,0.9508373756650036,650,13000,20,20.0,20,0.0,13000,0.0018319892697036266,16.53279458777979,1.8912142999470234,7.580835276283324,0.002101837657392025,7.0535308863036335,0.003241437952965498,257.5119697023183,3.8860365748405457e-05,3.1692905,-7.6535883,-13.094509,1.1356987,-21.776455,65.83805,13.922085,-0.59873724,5.700705,64.787926,13.938337,-0.31657562,5.6600986,65.543434,13.755791,0.342023,5.536852,1.48522,1.4442096,6000,0.90840536,0.037260443,-0.8573378,0.20612909,0.14639178,-0.16970426,-0.8537669,0.10942711,1.1576496,0.84857625,0.42580792,0.08229763
6,6,0.62448627,0.04298973,-0.6907848,0.19699803,-65.07517504191276,5,-64.532050837877,-65.07517504191276,-65.34086155520178,0.2799065287476382,-3.0588909834656883,-3.2537587520956373,-3.545052485303104,0.06363363044212089,-3.248266011725519,-3.2634588183755704,-3.2788560589612974,0.010280817055699153,-3.0588909834656883,-3.256786463003467,-3.545052485303104,0.16371037243028824,-3.0588909834656883,-3.2537587520956373,-3.545052485303104,0.06363363044212089,35,700,20,20.0,20,0.0,0.99767613,0.041704483,-0.9962673,0.57358605,-72.27944288599677,25,-13.291614849665999,-72.27944288599677,-95.07801307897273,13.342638721954026,-0.18942341493438955,-3.6139721442998387,-6.318856554332091,0.9215001918097983,-0.1894854391455705,-3.385814188573166,-4.072771396573249,0.7071042142370103,-2.5409399904944676,-3.5400703741336668,-4.975112467785019,0.4840923408716255,-0.18942341493438955,-3.6139721442998387,-6.318856554332091,0.9215001918097983,675,13500,20,20.0,20,0.0,13500,0.0018453761003911495,16.76439745631069,1.8499663607217371,7.547827327158302,0.0020132786594331264,7.359656453598291,0.0030589038506150246,275.52009664895013,2.9756221920251846e-05,-3.0060306,-7.5965614,-12.818795,1.1466979,-22.505499,67.13111,14.42189,-1.1340079,6.0369387,69.24147,14.629887,-0.1907151,5.916526,66.59452,14.593424,0.11139481,5.966354,1.4998143,1.5267185,7000,0.92157185,0.03942207,-0.89621514,0.20903093,0.11464466,-0.18253064,-0.9730705,0.11768597,1.1214749,0.83845425,0.37792087,0.08670807
7,7,0.72576076,0.03919169,-0.6354428,0.19229728,-65.23257654730648,5,-65.0380149356468,-65.23257654730648,-65.39252433340724,0.12362148273138622,-3.0346907051296625,-3.2616288273653242,-3.4758070373573275,0.0914148263161357,-3.2390908314931344,-3.2581600644479543,-3.294159747559846,0.021352290430567234,-3.0346907051296625,-3.1357228708273097,-3.2511036775547963,0.07971581766206959,-3.0346907051296625,-3.2616288273653242,-3.4758070373573275,0.0914148263161357,40,800,20,20.0,20,0.0,0.9970528,0.030658256,-0.9953855,0.5748458,-76.59943067993493,25,-69.3020471862633,-76.59943067993493,-116.95860584634181,11.885993465264015,-2.1401728532419946,-3.829971533996745,-6.4031242374328485,0.8879995639076174,-3.002468026044323,-3.9623990065146266,-6.4031242374328485,0.9459796734607607,-2.3180734609513247,-3.366267782429897,-4.523052072357231,0.4574790910906929,-2.1401728532419946,-3.829971533996745,-6.4031242374328485,0.8879995639076174,700,14000,20,20.0,20,0.0,14000,0.0018723998218774796,16.940121146384627,1.9964601951651275,7.756536688655615,0.002034564036875963,7.180160517804325,0.0030263462103903294,293.64980352157727,3.0434690415859222e-05,3.2063046,-7.5844445,-13.046608,1.2060801,-22.578487,67.765945,14.875134,0.6564312,6.2424073,67.91852,14.749639,1.6307116,6.080277,66.55202,14.749369,2.268558,6.1188664,1.4546349,1.4425507,8000,0.9066558,0.03678247,-0.88972175,0.21167953,0.11378998,-0.18152948,-1.1281239,0.120989434,1.1205168,0.83959657,0.32363987,0.08923111
8,8,0.56832683,0.034006227,-0.6807375,0.19217438,-64.77479009143089,5,-64.25796226072094,-64.77479009143089,-65.35519008184386,0.404870570590105,-3.004575600049878,-3.238739504571545,-3.4386888726703853,0.09160376572035285,-3.1821047920217955,-3.313749055601627,-3.3731508448218754,0.06777847849562203,-3.004575600049878,-3.1484931122299686,-3.434527643443298,0.14800078632144276,-3.004575600049878,-3.238739504571545,-3.4386888726703853,0.09160376572035285,45,900,20,20.0,20,0.0,0.99358076,0.031114507,-0.9949601,0.5839941,-79.61183419581556,25,-67.88257448821759,-79.61183419581556,-115.04573069855165,14.4281860797451,-1.981027098648549,-3.9805917097907777,-7.54983443527075,1.0217774358906722,-3.0019604679831415,-4.280618798388196,-7.54983443527075,1.3657991474489122,-2.4420769450822775,-3.2835948735879583,-4.792386670863832,0.4451250805963982,-1.981027098648549,-3.9805917097907777,-7.54983443527075,1.0217774358906722,725,14500,20,20.0,20,0.0,14500,0.0018657012842595577,18.277384156826884,1.9033795441500843,7.4668343579396605,0.00200160825625062,8.900085548404604,0.0031868889927864075,313.1438269680366,3.0507799237966537e-05,7.847705,-7.562956,-12.167974,1.2087108,-23.097052,71.23374,15.200144,0.31418276,6.4672675,73.64456,15.222807,1.5714362,6.358332,71.34516,15.209478,2.7585158,6.3546047,1.5562701,1.545905,9000,0.9420289,0.03553246,-0.9201685,0.21371992,0.102709174,-0.18164325,-0.8756795,0.117564745,1.1081691,0.8392119,0.41657886,0.087205775
9,9,0.65556365,0.034029204,-0.6677649,0.19047631,-64.72608821019189,5,-63.22832345647884,-64.72608821019189,-65.36090767419542,0.7705672048558888,-3.001887776316544,-3.236304410509595,-3.4585668614337655,0.10153784854908982,-3.2391825519696162,-3.247370059070512,-3.2597539326928784,0.007385796113717798,-3.013151446441925,-3.149773886266684,-3.4585668614337655,0.1638356898769643,-3.001887776316544,-3.236304410509595,-3.4585668614337655,0.10153784854908982,50,1000,20,20.0,20,0.0,0.9986023,0.034120202,-0.9945091,0.58169055,-74.22777487485432,25,-68.134054513351,-74.22777487485432,-105.3968019506475,7.028592540771966,-2.302393815373801,-3.711388743742716,-6.4031242374328485,0.6864434555634442,-3.0195042014027282,-3.7124292983292206,-6.4031242374328485,0.8162216455222535,-3.02392027228679,-3.588657543239267,-4.863565098412855,0.5285033212565118,-2.302393815373801,-3.711388743742716,-6.4031242374328485,0.6864434555634442,750,15000,20,20.0,20,0.0,15000,0.0018563778139650822,17.202514252159745,1.9549493668600917,7.910993225872517,0.001979728229343891,7.329670189414173,0.003035305067896843,331.5877781063318,3.0058901757001877e-05,2.243001,-7.583848,-13.72405,1.2158474,-23.441807,75.400375,15.601899,0.7560921,7.0040317,76.40939,15.779313,1.3088622,6.9372063,74.5654,15.581263,2.0488896,6.917229,1.5068065,1.5282323,10000,0.92363125,0.034688912,-0.9371743,0.21575403,0.101472825,-0.18284984,-1.16502,0.11875928,1.1067998,0.8382934,0.3119164,0.08762689
