Epoch,epoch,eval/Actions Max,eval/Actions Mean,eval/Actions Min,eval/Actions Std,eval/Average Returns,eval/Num Paths,eval/Returns Max,eval/Returns Mean,eval/Returns Min,eval/Returns Std,eval/Rewards Max,eval/Rewards Mean,eval/Rewards Min,eval/Rewards Std,eval/env_infos/final/reward_dist Max,eval/env_infos/final/reward_dist Mean,eval/env_infos/final/reward_dist Min,eval/env_infos/final/reward_dist Std,eval/env_infos/initial/reward_dist Max,eval/env_infos/initial/reward_dist Mean,eval/env_infos/initial/reward_dist Min,eval/env_infos/initial/reward_dist Std,eval/env_infos/reward_dist Max,eval/env_infos/reward_dist Mean,eval/env_infos/reward_dist Min,eval/env_infos/reward_dist Std,eval/num paths total,eval/num steps total,eval/path length Max,eval/path length Mean,eval/path length Min,eval/path length Std,expl/Actions Max,expl/Actions Mean,expl/Actions Min,expl/Actions Std,expl/Average Returns,expl/Num Paths,expl/Returns Max,expl/Returns Mean,expl/Returns Min,expl/Returns Std,expl/Rewards Max,expl/Rewards Mean,expl/Rewards Min,expl/Rewards Std,expl/env_infos/final/reward_dist Max,expl/env_infos/final/reward_dist Mean,expl/env_infos/final/reward_dist Min,expl/env_infos/final/reward_dist Std,expl/env_infos/initial/reward_dist Max,expl/env_infos/initial/reward_dist Mean,expl/env_infos/initial/reward_dist Min,expl/env_infos/initial/reward_dist Std,expl/env_infos/reward_dist Max,expl/env_infos/reward_dist Mean,expl/env_infos/reward_dist Min,expl/env_infos/reward_dist Std,expl/num paths total,expl/num steps total,expl/path length Max,expl/path length Mean,expl/path length Min,expl/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,0,0.0024039715,-0.00022997116,-0.003834072,0.001041831,0.18047741213064178,5,0.6299876192962376,0.18047741213064178,0.03855460795722747,0.22633811942137688,0.5081317422357824,0.009023870606532081,1.042907864210958e-05,0.05072854795765278,0.005246093655489083,0.0018742373090681456,4.29417407765142e-05,0.0021301254592796526,0.057074731413210254,0.02089073672633817,0.0006950713556469254,0.019817509985261193,0.5081317422357824,0.009023870606532081,1.042907864210958e-05,0.05072854795765278,5,100,20,20.0,20,0.0,0.9983479,-0.008668072,-0.99909866,0.6300666,1.5625546003472155,25,15.217548688519546,1.5625546003472155,0.02692397638097335,3.7106244767115304,3.969689208747299,0.07812773001736077,1.0106914163257607e-06,0.38805040941446667,0.6004409315107138,0.03430833949966983,1.1396079354475745e-05,0.11786821663442439,0.07944185464686492,0.014526026765249667,6.921792309672811e-05,0.024292924093603428,3.969689208747299,0.07812773001736077,1.0106914163257607e-06,0.38805040941446667,525,10500,20,20.0,20,0.0,10500,0.001854153349995613,129.89506226638332,115.35799941187724,5.5872191628441215,0.0020024660043418407,8.939608497545123,0.006353212986141443,134.22399498987943,2.536177635192871e-05,1.0,-0.0,-4.794607,-8.022087,-10.9107275,0.7544913,-8.024031,19.585287,7.7525125,5.379887,1.1891521,0.006893807,0.0021029715,-0.0047906497,0.0013854635,0.007989238,0.0034547371,-0.0041496158,0.0018506834,61.482758,61.462147,1000,0.0031632693,-0.00026468144,-0.00424881,0.0009942658,0.005453827,0.0003752693,-0.0038610036,0.0013061707,1.0054687,1.0003762,0.99614644,0.0013069046
1,1,0.3233758,-0.009693373,-0.45252034,0.12165936,0.014416880826289663,5,0.024993436595296275,0.014416880826289663,0.006475188535731201,0.007687903202461935,0.011491308822601503,0.0007208440413144833,1.8862075925888665e-06,0.0018515241586555355,0.0004534742691370008,0.00015019455937769646,6.9257778145956836e-06,0.00016382578646612612,0.00610857356711476,0.003224371548917815,0.0010617665490782438,0.0021813871771670114,0.011491308822601503,0.0007208440413144833,1.8862075925888665e-06,0.0018515241586555355,10,200,20,20.0,20,0.0,0.9976702,0.0025220013,-0.99668324,0.60945356,0.3419015831528041,25,2.5704508955478977,0.3419015831528041,0.012613338640879341,0.5529884273167159,1.4116364135860513,0.01709507915764021,6.340323771924796e-07,0.10130073333664893,0.03207340033458745,0.004587523810325411,6.340323771924796e-07,0.006840176782962592,0.06893406783212867,0.010273964809500609,2.999769770410642e-05,0.020051070549484292,1.4116364135860513,0.01709507915764021,6.340323771924796e-07,0.10130073333664893,550,11000,20,20.0,20,0.0,11000,0.0018880092538893223,14.9811493861489,0.9642286067828536,6.180502193979919,0.0019340119324624538,7.829408187884837,0.003156747203320265,150.1853686175309,3.1629111617803574e-05,0.36857059597969055,-19.977001190185547,-5.6716843,-8.014568,-11.235567,0.7659391,-16.837433,25.63071,13.985754,8.417303,1.347761,20.181427,13.914283,7.6422887,1.148657,19.90107,13.917803,7.6214733,1.1469359,2.7149873,2.738163,2000,0.45533508,-0.0071194633,-0.56364274,0.13833073,-0.038107917,-0.077337556,-0.17450954,0.015401363,0.96260905,0.9256864,0.83986884,0.014116124
2,2,0.90320134,0.17923597,-0.88568556,0.49701825,0.09540075128258652,5,0.4368555140893081,0.09540075128258652,0.0001679126928340477,0.17113110497578737,0.07333851895807898,0.004770037564129325,3.531876372280829e-07,0.010391396467056014,0.018073069146221196,0.0036705179968818786,3.137964184158599e-06,0.007201593879199397,0.07333851895807898,0.015942810233154785,3.440927924382702e-05,0.028767587961072583,0.07333851895807898,0.004770037564129325,3.531876372280829e-07,0.010391396467056014,15,300,20,20.0,20,0.0,0.9996739,0.13165466,-0.9998217,0.68137074,0.47808285282467194,25,6.162035265450521,0.47808285282467194,0.00109899350234459,1.3117067517598449,1.7607559252067035,0.02390414264123359,3.535950948710304e-12,0.1387253045125812,0.5860100640441338,0.029722233919531247,3.535950948710304e-12,0.1152936708560871,0.2334932364454119,0.015943170931779577,8.074784007934775e-06,0.04700873040759772,1.7607559252067035,0.02390414264123359,3.535950948710304e-12,0.1387253045125812,575,11500,20,20.0,20,0.0,11500,0.0018414449878036976,13.530374385882169,0.35691180313006043,5.321912011131644,0.001981195993721485,7.8446221724152565,0.003073568921536207,164.69607995450497,3.2189302146434784e-05,0.1403522789478302,-33.24995040893555,4.5203857,-4.93316,-15.169691,2.7453852,-18.328571,28.619993,17.11465,12.175525,1.3265439,26.261076,17.069681,11.019094,1.2975363,26.203909,17.086042,10.700317,1.2811587,2.194517,2.1603556,3000,0.9448123,0.105558425,-0.92375374,0.4786381,0.3247011,0.009112869,-0.700309,0.1384797,1.383617,1.0182887,0.4964319,0.12879127
3,3,0.96779984,-0.19161125,-0.98753077,0.78804237,0.02113008731249094,5,0.04065182575592462,0.02113008731249094,0.007574112750010605,0.012882350320315929,0.03104028562765922,0.001056504365624547,4.357173457680277e-21,0.003936429115848131,0.00021720736370470673,4.3453455478269304e-05,4.357173457680277e-21,8.68769572119768e-05,0.03104028562765922,0.009378658687356687,0.000632842620241915,0.011018512883318546,0.03104028562765922,0.001056504365624547,4.357173457680277e-21,0.003936429115848131,20,400,20,20.0,20,0.0,0.99984765,-0.19881284,-0.9999291,0.7964341,0.02945397236389772,25,0.12280037613100407,0.02945397236389772,0.0015088702120827592,0.03370888590951293,0.07039539531231001,0.0014726986181948863,5.033424050460467e-15,0.005999262550745973,0.00028492098296245945,2.6868918406224603e-05,5.033424050460467e-15,6.481350020804395e-05,0.05739532672708391,0.005766836033993134,1.1744825654535503e-05,0.013232241838435,0.07039539531231001,0.0014726986181948863,5.033424050460467e-15,0.005999262550745973,600,12000,20,20.0,20,0.0,12000,0.001866085920482874,13.821806013584137,0.9998827078379691,5.4003424677066505,0.001959743909537792,7.41467058705166,0.0030521852895617485,179.49979155138135,3.223586827516556e-05,0.06847202777862549,-16.038034439086914,22.1863,6.018627,-13.1993885,5.1579447,-18.898914,29.346048,17.788368,13.560678,1.3216804,28.98568,17.831015,13.221087,1.2948223,28.410984,17.827694,13.201682,1.2561854,1.5821989,1.5226028,4000,0.9866135,-0.14756612,-0.9831423,0.80993646,0.70984215,-0.20383072,-0.81574124,0.2846188,2.0336702,0.8509259,0.44231135,0.26045018
4,4,0.98686725,0.011626965,-0.9812459,0.84518105,38.1048032028276,5,190.06002989612418,38.1048032028276,0.026618084736535996,75.97771014885072,10.0,1.9052401601413798,9.415086675796255e-07,3.920516077634775,10.0,2.037811327555606,0.0005233119176151758,3.981502223925537,0.060029896124169625,0.021633625377129102,5.064639329610051e-05,0.025979832101561306,10.0,1.9052401601413798,9.415086675796255e-07,3.920516077634775,25,500,20,20.0,20,0.0,0.9999276,-0.023834744,-0.9999002,0.8581973,0.16151030751461906,25,1.07627646828533,0.16151030751461906,0.006265465107125289,0.2450930098145026,0.9817334266112281,0.008075515375730952,3.5493193245150916e-13,0.048978279236089856,0.28361906009483623,0.012839598085572739,3.5493193245150916e-13,0.05536698526263359,0.04790458772096873,0.009935920026132196,1.6331970999282065e-05,0.013437553817465916,0.9817334266112281,0.008075515375730952,3.5493193245150916e-13,0.048978279236089856,625,12500,20,20.0,20,0.0,12500,0.0018359469249844551,13.729162056464702,0.9912409521639347,4.876195859629661,0.0020060730166733265,7.8546021156944335,0.0032493281178176403,194.23382806871086,3.1780917197465897e-05,0.05175262689590454,-4.395997524261475,26.90878,10.515508,-8.767973,5.238173,-19.696337,31.190954,18.63881,16.054932,1.1714991,24.331942,18.646465,16.201687,0.88012624,24.93739,18.65284,16.131004,0.88391757,1.2798218,1.2579491,5000,0.99845797,-0.036562696,-0.995382,0.8778906,0.8986127,-0.2847508,-1.2474864,0.28316438,2.4561932,0.78608733,0.28722587,0.25877196
5,5,0.96291083,0.061673947,-0.96450484,0.87727714,0.06852808756047465,5,0.11053587426676009,0.06852808756047465,0.013291725712888183,0.043773562295289815,0.05414039810342454,0.003426404378023733,8.233201748547356e-06,0.008310077607707717,0.012551947432135497,0.0027695387193131618,0.00016017134160350977,0.0048920357746656176,0.022610640838439684,0.008423790725133617,7.094341563716564e-05,0.009908689039696016,0.05414039810342454,0.003426404378023733,8.233201748547356e-06,0.008310077607707717,30,600,20,20.0,20,0.0,0.99929297,0.042807687,-0.999674,0.86502206,0.43478853852449584,25,1.9267437221000892,0.43478853852449584,0.019317614715203824,0.5883936458174263,1.3589643990604572,0.02173942692622479,6.85630244710883e-08,0.08745409518009654,0.08604553170157536,0.007950362688693851,7.100832029239918e-07,0.017643315944534332,0.06915214807639855,0.011825033352429237,1.7849299812600945e-05,0.01886885873769641,1.3589643990604572,0.02173942692622479,6.85630244710883e-08,0.08745409518009654,650,13000,20,20.0,20,0.0,13000,0.0019525457173585892,12.326065570581704,0.6241614418104291,3.7809826778247952,0.0019790781661868095,7.913856857456267,0.0031010396778583527,207.6015309020877,3.192992880940437e-05,0.04889858514070511,-3.2518837451934814,25.255684,10.922506,-16.281416,4.549905,-19.92067,33.77407,19.084843,17.199404,1.2087501,25.100092,19.123428,17.674753,0.8743716,25.181284,19.125591,17.464159,0.887531,0.9922962,1.0079261,6000,0.9950704,0.06482368,-0.98667496,0.8796747,0.83330953,-0.39245486,-0.9990741,0.22318466,2.3009212,0.69495994,0.3682202,0.19155206
6,6,0.9976327,-0.075629644,-0.99999857,0.8862479,37.51397828849615,5,181.06932389307877,37.51397828849615,0.09352740337241447,71.81385452526746,10.0,1.8756989144248073,3.093088390765239e-07,3.821067061994106,10.0,2.000181847045819,3.093088390765239e-07,3.999909091771245,0.03553990366755919,0.011715302821691103,0.0008223157708714575,0.01253299928782874,10.0,1.8756989144248073,3.093088390765239e-07,3.821067061994106,35,700,20,20.0,20,0.0,0.999861,-0.060359325,-0.9999998,0.8662948,21.905676181271392,25,190.6962292773812,21.905676181271392,0.004162433307572087,53.64161424416771,10.0,1.09528380906357,1.1365976981864269e-07,3.0255267051999155,10.0,1.6085811521445095,1.1365976981864269e-07,3.6624704897422813,0.6962292773812122,0.06335819969646321,0.00010690188849500757,0.15761623308607625,10.0,1.09528380906357,1.1365976981864269e-07,3.0255267051999155,675,13500,20,20.0,20,0.0,13500,0.0018500550650060177,14.43038443196565,1.2255969028919935,5.564281425904483,0.0019980277866125107,7.6336670448072255,0.0029595335945487022,223.10873813927174,3.144191578030586e-05,0.03400872275233269,0.04176945984363556,51.24118,12.012354,-7.9097366,4.966345,-19.793558,35.50643,18.814949,16.142172,1.9604336,37.675148,18.877335,16.457516,1.5944963,37.84381,18.887968,16.275581,1.6138734,1.4006553,1.3627274,7000,0.99770653,0.08164827,-0.9999992,0.8845867,0.6527562,-0.36570022,-1.4293606,0.2530467,1.9208277,0.71915466,0.23946199,0.21965437
7,7,0.9876592,-0.109641746,-0.998575,0.8744223,38.21873831433032,5,190.05800044627455,38.21873831433032,0.004389206715259675,75.92009204422828,10.0,1.9109369157165157,1.580396858574454e-06,3.917919029799185,10.0,2.001809077628233,1.580396858574454e-06,3.999096620365295,0.05800044627453688,0.01370226253718724,0.0008483441756134548,0.02216864828004983,10.0,1.9109369157165157,1.580396858574454e-06,3.917919029799185,40,800,20,20.0,20,0.0,0.9998594,-0.043243572,-0.99995625,0.87727463,30.06477361868251,25,191.16173077291313,30.06477361868251,0.011797772780079065,68.0613220443372,10.0,1.5032386809341256,4.517712798098267e-08,3.5455764402494387,10.0,1.6005445080231064,4.517712798098267e-08,3.665823049339789,1.1617307729131403,0.07312944143332577,0.00017728538092437837,0.2238472565278657,10.0,1.5032386809341256,4.517712798098267e-08,3.5455764402494387,700,14000,20,20.0,20,0.0,14000,0.0019078487530350685,11.482459717895836,0.6165587771683931,3.5886640599928796,0.0019537219777703285,7.2704108990728855,0.0029332381673157215,235.63071490032598,3.117276355624199e-05,0.03495779260993004,2.953305959701538,28.932714,12.880634,-7.9684677,5.0976467,-20.587322,41.667053,19.484177,13.679243,3.7649655,42.168003,19.512146,13.570289,3.1865559,42.04281,19.510548,13.480632,3.1896074,3.0894237,3.051283,8000,0.9991964,0.043714438,-0.99931496,0.8818283,0.5955038,-0.40097657,-1.2108228,0.23613687,1.8139446,0.6899702,0.29795203,0.1823551
8,8,0.99540675,0.0072496557,-0.99561435,0.86801714,0.223109023826949,5,0.7432490731970799,0.223109023826949,0.04465577869697447,0.26336377666251587,0.48285011194820904,0.01115545119134745,6.730711376169462e-07,0.0500163515620492,0.00101145211978975,0.000391852388233645,7.406293985786979e-05,0.00033337069707727285,0.07829279188446747,0.026372984148775654,0.0014709380388450441,0.02845044631975427,0.48285011194820904,0.01115545119134745,6.730711376169462e-07,0.0500163515620492,45,900,20,20.0,20,0.0,0.9998473,-0.079443276,-0.9998864,0.86226946,14.792541766086265,25,181.6672041026343,14.792541766086265,0.014323818309980816,49.05086158221228,10.0,0.7396270883043133,2.659106585663355e-07,2.582090826526497,10.0,0.8867913146094011,5.9561228352964163e-05,2.7102546713119144,0.05380806865436385,0.017316863139782313,0.0006616649166716767,0.016371738906189752,10.0,0.7396270883043133,2.659106585663355e-07,2.582090826526497,725,14500,20,20.0,20,0.0,14500,0.0018669418059289455,11.266777012962848,0.5158719723112881,3.294688538182527,0.003164124209433794,7.447392442263663,0.003760645166039467,247.94086950598285,3.234902396798134e-05,0.043622490018606186,2.271069049835205,30.75765,12.725076,-10.825691,6.206351,-23.56981,53.54814,21.963871,12.502944,5.4152246,54.182625,21.982502,12.390332,4.879889,54.428856,21.957834,12.085987,4.8948007,5.655898,5.670926,9000,0.99959874,0.012829296,-0.99914664,0.8698051,0.43414158,-0.43259826,-1.3436313,0.17220718,1.5436374,0.65890986,0.26089656,0.12150467
9,9,0.9963219,-0.019017367,-0.99834126,0.84390354,23.191430755153114,5,98.95747834733808,23.191430755153114,0.12374359661924082,38.12120930155299,10.0,1.1595715377576554,3.722680633167525e-07,2.859967396128788,10.0,2.2370593366945033,3.722680633167525e-07,3.904431706662981,0.0652957122156309,0.037196427455266357,0.018367410848643306,0.015328961349523175,10.0,1.1595715377576554,3.722680633167525e-07,2.859967396128788,50,1000,20,20.0,20,0.0,0.99984163,-0.038550705,-0.9999821,0.831718,18.27499345531217,25,190.2682907400378,18.27499345531217,0.1304262204063858,49.92372201325284,10.0,0.9137496727656085,5.275976185017253e-16,2.6329453124127564,10.0,0.9155192940700917,5.275976185017253e-16,2.7171272136142273,0.3915152180614633,0.06053011926943588,0.0013690767847549365,0.09293835389730962,10.0,0.9137496727656085,5.275976185017253e-16,2.6329453124127564,750,15000,20,20.0,20,0.0,15000,0.001860087737441063,13.818170204292983,1.1893456196412444,5.37503360491246,0.0019800360314548016,7.21106076752767,0.03885840019211173,262.8387883105315,3.1688250601291656e-05,0.04451267421245575,0.9353968501091003,34.47766,12.300579,-6.4972878,6.537542,-27.785065,69.113716,25.929464,11.4928255,7.7066975,69.49269,25.925262,12.835343,7.0170445,70.37927,25.937176,14.007502,7.025693,10.272007,10.539554,10000,0.9994294,0.052970827,-0.99992365,0.8431151,0.46360177,-0.46908817,-1.3051326,0.17809647,1.5897897,0.63583434,0.27113658,0.11942873
