Epoch,epoch,eval/Actions Max,eval/Actions Mean,eval/Actions Min,eval/Actions Std,eval/Average Returns,eval/Num Paths,eval/Returns Max,eval/Returns Mean,eval/Returns Min,eval/Returns Std,eval/Rewards Max,eval/Rewards Mean,eval/Rewards Min,eval/Rewards Std,eval/env_infos/final/reward_dist Max,eval/env_infos/final/reward_dist Mean,eval/env_infos/final/reward_dist Min,eval/env_infos/final/reward_dist Std,eval/env_infos/initial/reward_dist Max,eval/env_infos/initial/reward_dist Mean,eval/env_infos/initial/reward_dist Min,eval/env_infos/initial/reward_dist Std,eval/env_infos/reward_dist Max,eval/env_infos/reward_dist Mean,eval/env_infos/reward_dist Min,eval/env_infos/reward_dist Std,eval/num paths total,eval/num steps total,eval/path length Max,eval/path length Mean,eval/path length Min,eval/path length Std,expl/Actions Max,expl/Actions Mean,expl/Actions Min,expl/Actions Std,expl/Average Returns,expl/Num Paths,expl/Returns Max,expl/Returns Mean,expl/Returns Min,expl/Returns Std,expl/Rewards Max,expl/Rewards Mean,expl/Rewards Min,expl/Rewards Std,expl/env_infos/final/reward_dist Max,expl/env_infos/final/reward_dist Mean,expl/env_infos/final/reward_dist Min,expl/env_infos/final/reward_dist Std,expl/env_infos/initial/reward_dist Max,expl/env_infos/initial/reward_dist Mean,expl/env_infos/initial/reward_dist Min,expl/env_infos/initial/reward_dist Std,expl/env_infos/reward_dist Max,expl/env_infos/reward_dist Mean,expl/env_infos/reward_dist Min,expl/env_infos/reward_dist Std,expl/num paths total,expl/num steps total,expl/path length Max,expl/path length Mean,expl/path length Min,expl/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,0,0.00078788056,-6.724215e-05,-0.00106285,0.00038984942,-75.08910974316674,20,-75.06323233004896,-75.08910974316674,-75.57763865083723,0.11207624601257414,-3.0022965951871203,-3.00356438972667,-3.0235415287926872,0.004485479849528057,-3.0022965951871203,-3.0033265885174973,-3.0226312081963087,0.0044287868600481565,-3.0027604290809102,-3.003800138604684,-3.0235415287926872,0.004528986012763077,-3.0022965951871203,-3.00356438972667,-3.0235415287926872,0.004485479849528057,20,500,25,25.0,25,0.0,0.99638647,-0.01509748,-0.9965672,0.6245552,-84.28879274512671,4,-71.56316554538004,-84.28879274512671,-94.43611320149905,8.464181635883584,-2.329711642870134,-3.371551709805069,-5.216186122856058,0.7169821068594063,-2.7621950590027526,-3.8073218920693024,-5.216186122856058,0.8925563930523512,-3.0019936657087896,-3.0293104560109003,-3.085161116299379,0.03327728090606089,-2.329711642870134,-3.371551709805069,-5.216186122856058,0.7169821068594063,404,10100,25,25.0,25,0.0,10100,0.00034559000050649047,30.57940428686561,25.101920371002052,0.20640274498146027,0.0017602600273676217,5.259750034834724,0.009203644993249327,34.14275153860217,2.1641026251018047e-05,-5.4759674,-8.011467,-10.596136,0.7312035,-8.009239,6.9486904,3.8588095,0.07361317,0.9150142,0.0007503705,-0.0022323946,-0.006796919,0.0010827683,0.0024169113,0.00048009725,-0.0023109699,0.0006990636,15.744585,15.723882,1000,0.003584979,-4.3522672e-05,-0.002952353,0.00060984865,0.005588859,0.0002580496,-0.0018455717,0.0009675831,1.0056045,1.0002586,0.99815613,0.0009686184
1,1,0.062017675,-0.0014620593,-0.06254095,0.018353805,-75.01916506282384,20,-75.01221894560351,-75.01916506282384,-75.11360860504519,0.02169676497270758,-3.000000293252381,-3.0007666025129542,-3.0260054876319336,0.0019596695911666315,-3.000047551239142,-3.000285125884385,-3.00048228853763,0.00010684766150867893,-3.002544286880304,-3.0037702987748474,-3.0260054876319336,0.0051012073938166026,-3.000000293252381,-3.0007666025129542,-3.0260054876319336,0.0019596695911666315,40,1000,25,25.0,25,0.0,0.99427307,0.02256724,-0.9923769,0.58413374,-84.22156757549189,4,-77.69757896838276,-84.22156757549189,-90.09424218837422,4.404683595723906,-2.4490408804049415,-3.3688627030196763,-4.407462002257056,0.41391769020154195,-3.297430821795731,-3.5638290347890202,-3.695384383918608,0.1565605008824394,-3.0007510925807783,-3.0031622753221248,-3.0044235081873865,0.0014290375967550757,-2.4490408804049415,-3.3688627030196763,-4.407462002257056,0.41391769020154195,408,10200,25,25.0,25,0.0,10200,0.00034549401607364416,6.673265688295942,1.1522766750422306,0.2484524410101585,0.0017109460313804448,5.26403127919184,0.006423866027034819,41.16427379462402,2.4986977223306894e-05,-6.0142355,-8.156047,-10.809788,0.5007324,-22.915773,23.907692,14.68043,4.3335834,2.1878154,24.277376,15.094038,5.3545227,2.167145,23.131838,14.69912,3.7002997,2.1675806,0.5753591,0.36563954,2000,0.4139499,-0.0028642723,-0.37224463,0.06662581,-0.04045682,-0.12647417,-0.15836993,0.016778957,0.96035063,0.8813217,0.853534,0.014933521
2,2,0.050548997,-0.0064624255,-0.09358862,0.024953783,-74.53892404260635,20,-74.43133161334195,-74.53892404260635,-74.64157326468555,0.04900475645539736,-2.7841258091334575,-2.9815569617042543,-3.003439281056724,0.04956602727299125,-2.7841258091334575,-2.8116488091307916,-2.8347526628273987,0.011561032191490845,-3.0024194037772958,-3.0025155441261777,-3.0027357314349654,6.323373479005176e-05,-2.7841258091334575,-2.9815569617042543,-3.003439281056724,0.04956602727299125,60,1500,25,25.0,25,0.0,0.9880164,-0.013516683,-0.9882559,0.5917772,-72.00923673570077,4,-58.887576394553946,-72.00923673570077,-81.72854760308049,9.276170489640363,-1.602710027239529,-2.8803694694280306,-5.4045227149692,0.7285835841842591,-1.602710027239529,-3.1215119911591795,-5.4045227149692,1.4185901511224335,-3.002455606943053,-3.030955909682345,-3.0749652620525803,0.03023580604742738,-1.602710027239529,-2.8803694694280306,-5.4045227149692,0.7285835841842591,412,10300,25,25.0,25,0.0,10300,0.0003499019658192992,6.628410346747842,1.1558082270203158,0.20515125698875636,0.001797198026906699,5.249453709693626,0.015828321047592908,48.137789307918865,2.1732004825025797e-05,-5.830963,-8.078366,-10.793417,0.62340355,-31.853373,36.134995,23.684776,5.9672284,3.2887032,36.863163,23.788063,6.966168,3.1754928,35.418724,23.620588,5.9359827,3.1839051,0.5835626,0.4764309,3000,0.6735587,-0.0031430374,-0.65440536,0.119759515,0.034283444,-0.13748549,-0.2627057,0.035601944,1.0348779,0.8721051,0.76896816,0.03155708
3,3,0.09618803,-0.0072407546,-0.11239836,0.027772438,-73.69928577815567,20,-72.40754062534621,-73.69928577815567,-73.96665867441398,0.3085683752954158,-2.5030878666310157,-2.947971431126227,-3.0214109725114526,0.1017140949079038,-2.5030878666310157,-2.6628984855790563,-2.6997313920831587,0.03923027145610679,-3.002453250283542,-3.003473752863012,-3.0214109725114526,0.004115274561770147,-2.5030878666310157,-2.947971431126227,-3.0214109725114526,0.1017140949079038,80,2000,25,25.0,25,0.0,0.9922132,0.004865011,-0.9977369,0.61393356,-72.7319670585205,4,-65.4554170324199,-72.7319670585205,-79.60994537356484,5.7096133354845575,-2.179258098051775,-2.9092786823408185,-4.10402472958417,0.4628258441508957,-2.2323942559837175,-2.9230971894162368,-4.10402472958417,0.7559709221021093,-3.0018425705182517,-3.014675854596446,-3.0404705865720594,0.015762479463657143,-2.179258098051775,-2.9092786823408185,-4.10402472958417,0.4628258441508957,416,10400,25,25.0,25,0.0,10400,0.0003410640056245029,6.63412048650207,1.1387592569808476,0.219892582972534,0.00174670695560053,5.246594230586197,0.026763794012367725,55.112802742864005,2.2850988898426294e-05,-4.578528,-8.02133,-10.769455,0.69733113,-36.662193,43.39524,28.93479,5.5558615,3.73865,41.888535,28.49879,4.9989123,3.6731546,41.051666,28.405022,5.3402853,3.6720526,0.7198627,0.79317516,4000,0.68631303,-0.00020171872,-0.687109,0.14261913,0.08288125,-0.13299288,-0.34552285,0.040646702,1.0864128,0.8761956,0.70785016,0.03573172
4,4,0.0720708,-0.009320176,-0.092677556,0.024560584,-74.88125541468875,20,-74.22836648809847,-74.88125541468875,-74.99596415084783,0.15297969783138538,-2.7589743057861096,-2.9952502165875505,-3.017735328189543,0.02273681825906747,-2.7589743057861096,-2.920563734430092,-2.9798497979731775,0.04066439747539166,-3.002414980800047,-3.003254327964572,-3.017735328189543,0.003322334553080156,-2.7589743057861096,-2.9952502165875505,-3.017735328189543,0.02273681825906747,100,2500,25,25.0,25,0.0,0.9856083,0.020073729,-0.98895967,0.5798483,-78.76425697876776,4,-76.85532975502217,-78.76425697876776,-81.73333154018155,2.0305853312959528,-2.4242211271141834,-3.1505702791507098,-3.9435654391386756,0.22646014862834762,-2.4242211271141834,-2.9355816982492877,-3.2831572992168474,0.31458679605676115,-3.0008414884759143,-3.0035979098165173,-3.0054044759996406,0.0017649506847953024,-2.4242211271141834,-3.1505702791507098,-3.9435654391386756,0.22646014862834762,420,10500,25,25.0,25,0.0,10500,0.0003496370045468211,6.674573785974644,1.153463341994211,0.25258020299952477,0.0020194979733787477,5.250316510966513,0.0158229130320251,62.133592072466854,2.168200444430113e-05,-4.0412025,-7.9806013,-11.092504,0.7153792,-40.571472,56.47457,32.217354,6.4608154,4.522576,56.475193,32.385803,6.451916,4.5187984,57.515675,32.454376,6.92559,4.4824657,0.61993456,0.6365583,5000,0.7722972,-0.0017598289,-0.77819467,0.14230983,0.14651524,-0.14180394,-0.34424552,0.04416428,1.1577926,0.8686464,0.7087549,0.03902517
5,5,0.061530575,-0.0056664944,-0.08256724,0.023419842,-75.09478972268826,20,-75.08424438898696,-75.09478972268826,-75.10557571670238,0.005731782708136496,-3.001345924043579,-3.0037915889075304,-3.0061841624794443,0.0012726555147222264,-3.004479167783959,-3.0051945872318053,-3.0058062240836443,0.0002998815568333025,-3.002223857090387,-3.0025222328836967,-3.0026953759919772,9.282969446822108e-05,-3.001345924043579,-3.0037915889075304,-3.0061841624794443,0.0012726555147222264,120,3000,25,25.0,25,0.0,0.99203193,0.025080122,-0.9966073,0.5849708,-72.25962761769608,4,-50.13068357745416,-72.25962761769608,-82.84368889798155,13.058097914341937,-0.5991750170695753,-2.8903851047078426,-3.7849339279105,0.6926977020520484,-2.4409412134354476,-3.0396761387928297,-3.498094434005157,0.3812598152156105,-3.004558052596563,-3.0297835674715214,-3.096952575515353,0.03882201628366338,-0.5991750170695753,-2.8903851047078426,-3.7849339279105,0.6926977020520484,424,10600,25,25.0,25,0.0,10600,0.00033991801319643855,6.680430835695006,1.1551686100428924,0.23576163803227246,0.001767753972671926,5.271395092655439,0.015971791988704354,69.15489398292266,2.6030989829450846e-05,-4.5779133,-7.9852343,-12.724148,0.7723004,-41.973106,67.51108,33.951622,4.087807,5.278,71.90615,33.932346,4.5937357,5.2075176,71.67087,33.916798,5.6288958,5.079874,0.76632696,0.76027966,6000,0.7860379,0.005246867,-0.77158916,0.14675973,0.11945809,-0.1365725,-0.39158002,0.046660975,1.126886,0.87330437,0.67598796,0.04155796
6,6,0.06836084,-0.0030473818,-0.07181333,0.023868185,-75.03860554178782,20,-75.03410119990848,-75.03860554178782,-75.0453530937325,0.003385391538239355,-3.0004605617677558,-3.0015442216715122,-3.0033142550006455,0.000514587187885355,-3.0014311541960024,-3.0019518604455184,-3.0025753560510866,0.0003178295594584258,-3.0024179206453243,-3.002527255812598,-3.0033142550006455,0.00018409587988521697,-3.0004605617677558,-3.0015442216715122,-3.0033142550006455,0.000514587187885355,140,3500,25,25.0,25,0.0,0.9911292,0.014488112,-0.9962511,0.57614946,-76.19705443113384,4,-72.7286202993806,-76.19705443113384,-79.90531351231456,2.5859763137668246,-2.436912650956301,-3.0478821772453535,-3.8490769163587144,0.22928906233190613,-2.508998530034631,-2.7839272255837666,-3.032120481687341,0.24129356584902173,-3.0005834455496947,-3.004342967205565,-3.007325699417974,0.0024154727403594227,-2.436912650956301,-3.0478821772453535,-3.8490769163587144,0.22928906233190613,428,10700,25,25.0,25,0.0,10700,0.0003464779583737254,6.696366930846125,1.1611270130379125,0.24821948097087443,0.0017337769968435168,5.2785202618688345,0.006389242014847696,76.19403276807861,3.0677998438477516e-05,-5.3227224,-7.99642,-12.613427,0.7642473,-42.944008,65.736336,35.121475,4.1535707,5.2698092,63.56754,34.75298,4.474492,5.177257,64.831856,34.7924,4.0537915,5.27507,0.79839087,0.7041236,7000,0.7479637,0.004681274,-0.7557343,0.15023883,0.10800997,-0.14907788,-0.40512416,0.04233072,1.1140589,0.86227626,0.666894,0.036720276
7,7,0.06992675,-0.0045296187,-0.06570585,0.017517002,-75.04446184113587,20,-75.0360049584453,-75.04446184113587,-75.05308617709093,0.004663630753988077,-3.000885841504081,-3.001778473645435,-3.002647546822835,0.00038574996794757876,-3.001239274927803,-3.0019186488692298,-3.002412116892626,0.0002703332293520269,-3.0024496966293603,-3.0025340324822105,-3.002647546822835,5.3523191524236224e-05,-3.000885841504081,-3.001778473645435,-3.002647546822835,0.00038574996794757876,160,4000,25,25.0,25,0.0,0.9881399,-0.004614126,-0.9951171,0.59482557,-77.64416042890043,4,-71.06909487133298,-77.64416042890043,-81.73858083671007,4.184720988706197,-2.1888372889888488,-3.1057664171560173,-3.5839433181059275,0.2702973036399358,-2.1888372889888488,-2.867589800037244,-3.142481337920898,0.3956659811340589,-3.001126789203036,-3.0016259231474174,-3.0022275988039357,0.0004523023302851598,-2.1888372889888488,-3.1057664171560173,-3.5839433181059275,0.2702973036399358,432,10800,25,25.0,25,0.0,10800,0.00034141994547098875,6.707440931815654,1.1627114319708198,0.24815826199483126,0.0020769970142282546,5.277783534897026,0.016346642980352044,83.24732718290761,2.2643012925982475e-05,-5.366145,-7.973132,-11.490877,0.814693,-43.882526,74.614685,35.63669,2.9327192,5.540394,75.77074,36.103065,3.8319438,5.5002947,74.62623,35.547596,3.610001,5.4675894,0.87205774,0.6824711,8000,0.78729874,0.007967744,-0.779612,0.15710208,0.15215729,-0.14193854,-0.40450674,0.04544199,1.1643434,0.8685731,0.6673059,0.039706495
8,8,0.07140198,-0.004796648,-0.08775747,0.021877054,-75.03892624399208,20,-75.02837256280596,-75.03892624399208,-75.04899499666442,0.005658003296713808,-3.000401136704375,-3.001557049759683,-3.0032016711389327,0.0005944859127446744,-3.0012971940022197,-3.0020450388133413,-3.0025923505983805,0.0003845625335731225,-3.001994922626805,-3.002421856969476,-3.002505751285906,0.00010580501341709653,-3.000401136704375,-3.001557049759683,-3.0032016711389327,0.0005944859127446744,180,4500,25,25.0,25,0.0,0.9904366,0.0008230205,-0.995294,0.57835865,-77.24821772942872,4,-76.73842153638701,-77.24821772942872,-77.89729656230782,0.4761151391152916,-2.543244301911424,-3.0899287091771486,-3.421556014731674,0.13399669390455957,-3.036154584881601,-3.162241843937769,-3.211444005921473,0.07323892092167572,-3.0017732922983416,-3.002929667614346,-3.0061214173139033,0.0018437025834951311,-2.543244301911424,-3.0899287091771486,-3.421556014731674,0.13399669390455957,436,10900,25,25.0,25,0.0,10900,0.0003437490086071193,6.700654315878637,1.1660456350073218,0.2536606299690902,0.0017623940366320312,5.26332676387392,0.015493295970372856,90.29392430593725,2.1848012693226337e-05,-4.4596043,-7.9617577,-10.846574,0.7428711,-44.3481,46.328106,36.40636,2.8807387,4.6789308,44.945965,36.23809,4.0243864,4.717494,45.507088,36.20874,3.3417363,4.6945195,0.6432802,0.59319353,9000,0.74390006,0.0040866374,-0.7238784,0.1498121,0.14635181,-0.1433707,-0.36740583,0.042813167,1.1576034,0.86723137,0.69252855,0.03751217
9,9,0.08269149,-0.00038592648,-0.11184097,0.02177183,-75.19437637184171,20,-75.17918486247927,-75.19437637184171,-75.217807625245,0.008750190644405638,-3.001077886521828,-3.0077750548736693,-3.0145003964064205,0.003756587822761874,-3.010134127987573,-3.011571716891987,-3.0145003964064205,0.0009986255987577486,-3.002248857489165,-3.0023329474490534,-3.0024402738331024,4.263668947887286e-05,-3.001077886521828,-3.0077750548736693,-3.0145003964064205,0.003756587822761874,200,5000,25,25.0,25,0.0,0.9924287,0.02245987,-0.9897383,0.58332217,-70.90032685996673,4,-60.83098212206485,-70.90032685996673,-79.51555809099422,7.588950947043702,-1.809242928149065,-2.836013074398668,-3.544966204026805,0.470410933217063,-1.8386124028857176,-2.5731470350457446,-3.1992521981010973,0.5568194671498308,-3.0017519531519823,-3.0273109120859893,-3.060807910433026,0.02547732818366358,-1.809242928149065,-2.836013074398668,-3.544966204026805,0.470410933217063,440,11000,25,25.0,25,0.0,11000,0.0003429510397836566,6.611738611245528,1.160944803035818,0.22964423999655992,0.0017792460275813937,5.203009964141529,0.015996043977793306,97.24253904342186,2.1363026462495327e-05,-3.5353985,-7.9889917,-13.105266,0.8089208,-44.592613,49.736004,36.576355,2.3544993,5.019283,51.254402,36.43853,5.2608495,4.895598,50.967182,36.450882,5.853166,4.8673954,0.54635984,0.51647836,10000,0.8240464,0.012913707,-0.8067077,0.15664206,0.134096,-0.14226061,-0.5747596,0.04312977,1.1435026,0.8682001,0.56284016,0.037386745
