Epoch,epoch,eval/Actions Max,eval/Actions Mean,eval/Actions Min,eval/Actions Std,eval/Average Returns,eval/Num Paths,eval/Returns Max,eval/Returns Mean,eval/Returns Min,eval/Returns Std,eval/Rewards Max,eval/Rewards Mean,eval/Rewards Min,eval/Rewards Std,eval/env_infos/final/reward_dist Max,eval/env_infos/final/reward_dist Mean,eval/env_infos/final/reward_dist Min,eval/env_infos/final/reward_dist Std,eval/env_infos/initial/reward_dist Max,eval/env_infos/initial/reward_dist Mean,eval/env_infos/initial/reward_dist Min,eval/env_infos/initial/reward_dist Std,eval/env_infos/reward_dist Max,eval/env_infos/reward_dist Mean,eval/env_infos/reward_dist Min,eval/env_infos/reward_dist Std,eval/num paths total,eval/num steps total,eval/path length Max,eval/path length Mean,eval/path length Min,eval/path length Std,expl/Actions Max,expl/Actions Mean,expl/Actions Min,expl/Actions Std,expl/Average Returns,expl/Num Paths,expl/Returns Max,expl/Returns Mean,expl/Returns Min,expl/Returns Std,expl/Rewards Max,expl/Rewards Mean,expl/Rewards Min,expl/Rewards Std,expl/env_infos/final/reward_dist Max,expl/env_infos/final/reward_dist Mean,expl/env_infos/final/reward_dist Min,expl/env_infos/final/reward_dist Std,expl/env_infos/initial/reward_dist Max,expl/env_infos/initial/reward_dist Mean,expl/env_infos/initial/reward_dist Min,expl/env_infos/initial/reward_dist Std,expl/env_infos/reward_dist Max,expl/env_infos/reward_dist Mean,expl/env_infos/reward_dist Min,expl/env_infos/reward_dist Std,expl/num paths total,expl/num steps total,expl/path length Max,expl/path length Mean,expl/path length Min,expl/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,0,3.8134322e-06,-9.177181e-06,-6.793908e-05,5.997619e-06,1.8878323277959908e-06,10,3.1463872396386705e-06,1.8878323277959908e-06,0.0,1.5414086410102566e-06,7.865968099096676e-08,4.7195808194899766e-08,0.0,3.8535216025256415e-08,7.865968099096676e-08,4.7195808194899766e-08,0.0,3.8535216025256415e-08,7.865968099096676e-08,4.7195808194899766e-08,0.0,3.8535216025256415e-08,7.865968099096676e-08,4.7195808194899766e-08,0.0,3.8535216025256415e-08,10,400,40,40.0,40,0.0,0.99873435,0.0038889048,-0.99974626,0.62349063,0.017214241275545855,50,0.23220420361961946,0.017214241275545855,0.0,0.03996326671791586,0.0847678072303033,0.00043035603188864636,0.0,0.004154911864453089,7.865968143505597e-08,2.988417262095311e-08,0.0,3.8172056981067154e-08,7.865968143505597e-08,5.505521765147847e-08,0.0,3.604212714533499e-08,0.0847678072303033,0.00043035603188864636,0.0,0.004154911864453089,150,6000,40,40.0,40,0.0,6000,0.006941474042832851,69.4375133542344,43.15249526873231,19.539293373003602,0.004720169119536877,6.730217115022242,0.0038177017122507095,73.26434531155974,2.8252601623535156e-05,1.0,-0.0,-2.0932817,-4.0278234,-6.4852104,0.54257375,-4.027417,5.3317475,3.6243243,1.9150685,0.4801408,0.0011598142,-0.00022883518,-0.001451101,0.000306731,0.001899723,-5.4630702e-05,-0.0019204898,0.0004744379,13.367934,13.366659,1000,0.00051412685,-6.4179134e-05,-0.0011166217,0.0001346428,0.0014922209,0.0003855872,-0.00084608817,0.0006070151,1.0014933,1.0003859,0.99915427,0.00060709176
1,1,0.08856619,0.02963768,-0.02442852,0.038824234,1.5102658588617146e-06,10,3.146387221875102e-06,1.5102658588617146e-06,0.0,1.5207176504759544e-06,7.865968054687755e-08,3.775664647154286e-08,0.0,3.9298363606836855e-08,7.865968054687755e-08,3.14638720633198e-08,0.0,3.853521594367202e-08,7.865968054687755e-08,3.932984007359863e-08,0.0,3.932984007359863e-08,7.865968054687755e-08,3.775664647154286e-08,0.0,3.9298363606836855e-08,20,800,40,40.0,40,0.0,0.9994299,0.024677318,-0.9994996,0.63509774,0.022059600327178682,50,0.4658652832461523,0.022059600327178682,0.0,0.06848890077862115,0.09667486749585885,0.000551490008179467,0.0,0.004655494270249968,0.014989780139636144,0.0006334413336601896,0.0,0.002729314389108403,0.008911052001618902,0.00017828554093345605,0.0,0.0012475380661441987,0.09667486749585885,0.000551490008179467,0.0,0.004655494270249968,200,8000,40,40.0,40,0.0,8000,0.0070778001099824905,29.45673579350114,3.6429858887568116,19.03575643990189,0.0046907998621463776,6.763209427706897,0.002985157072544098,103.34362967219204,3.0280090868473053e-05,0.9049143195152283,-0.996769368648529,-1.7026224,-3.9761748,-6.711728,0.63976896,-11.12459,11.957792,7.942205,6.619012,0.5689571,11.595369,7.5718493,5.2593555,0.8695758,11.853339,7.580961,5.2655573,0.8660893,0.8718052,0.8713083,2000,0.2506754,0.032639798,-0.20709026,0.052118137,0.05371313,0.025357498,-0.0047759437,0.007904946,1.0551819,1.0257138,0.99523544,0.008074077
2,2,0.06901341,0.0030702522,-0.06175003,0.04169757,1.8878323331250613e-06,10,3.1463872307568863e-06,1.8878323331250613e-06,0.0,1.5414086453614246e-06,7.865968076892216e-08,4.7195808328126534e-08,0.0,3.8535216134035615e-08,7.865968076892216e-08,4.7195808328126534e-08,0.0,3.8535216134035615e-08,7.865968076892216e-08,4.7195808328126534e-08,0.0,3.8535216134035615e-08,7.865968076892216e-08,4.7195808328126534e-08,0.0,3.8535216134035615e-08,30,1200,40,40.0,40,0.0,0.9996789,0.010079089,-0.99985445,0.6694991,0.009333694875438815,50,0.1985482061008934,0.009333694875438815,0.0,0.029667863214256143,0.09418226625325765,0.0002333423718859704,0.0,0.002917007111640966,0.030884130966170042,0.0006462630922518376,0.0,0.00432281898617022,7.867610918310675e-08,5.6615639634216564e-08,0.0,3.530613758833965e-08,0.09418226625325765,0.0002333423718859704,0.0,0.002917007111640966,250,10000,40,40.0,40,0.0,10000,0.007046978920698166,30.214211957529187,3.7851869640871882,19.58406888972968,0.004720442928373814,6.830557070672512,0.00260293111205101,134.1883439309895,2.868007868528366e-05,0.820026159286499,-1.9267034530639648,0.56923294,-3.710272,-6.17064,0.9767208,-18.914482,18.520624,15.705532,14.546148,0.4420949,20.455475,15.699804,12.763399,0.96449995,20.020887,15.701948,12.752416,0.9736632,0.84242094,0.8687668,3000,0.22600794,0.005098184,-0.19782428,0.043868747,0.18126644,0.14110188,0.09301594,0.017928354,1.1987345,1.1517278,1.0974792,0.02076058
3,3,0.027997093,-0.007301383,-0.06363766,0.028341355,2.517109775723725e-06,10,3.1463872307568863e-06,2.517109775723725e-06,0.0,1.2585548878618626e-06,7.865968076892216e-08,6.292774439309312e-08,0.0,3.146387219654656e-08,7.865968076892216e-08,6.292774439309312e-08,0.0,3.146387219654656e-08,7.865968076892216e-08,6.292774439309312e-08,0.0,3.146387219654656e-08,7.865968076892216e-08,6.292774439309312e-08,0.0,3.146387219654656e-08,40,1600,40,40.0,40,0.0,0.9991995,-0.007505732,-0.9995259,0.63673776,0.008172751707438782,50,0.15522728778505868,0.008172751707438782,0.0,0.025504151089182327,0.0746874620445146,0.00020431879268596954,0.0,0.0026427656888216803,0.028554568628056165,0.0005711287140508592,0.0,0.0039976342736157055,7.867249895987527e-08,5.348232621660287e-08,0.0,3.668860121645758e-08,0.0746874620445146,0.00020431879268596954,0.0,0.0026427656888216803,300,12000,40,40.0,40,0.0,12000,0.007007169537246227,30.455772452056408,3.8249725745990872,19.721498147584498,0.004673379473388195,6.894253456965089,0.0033381078392267227,165.29963709507138,2.9616057872772217e-05,0.741976797580719,-2.9792983531951904,-1.7872667,-3.9829955,-7.213559,0.62513125,-22.693274,21.43388,19.820412,18.93997,0.33973905,22.410389,19.800144,18.347681,0.5485768,22.470974,19.796818,18.421438,0.5421254,0.20187864,0.19742188,4000,0.08190826,-0.0067724474,-0.1458027,0.029506007,0.058738273,0.027827578,-0.0064265556,0.009945127,1.0604976,1.0282693,0.99359405,0.010254949
4,4,0.006022531,-0.013458693,-0.06059872,0.022354677,2.5158891974186304e-06,10,3.1463872396386705e-06,2.5158891974186304e-06,0.0,1.2579497800791629e-06,7.865968099096676e-08,6.289722993546576e-08,0.0,3.144874450197908e-08,7.865968099096676e-08,6.289722993546576e-08,0.0,3.144874450197908e-08,7.865968099096676e-08,6.289722993546576e-08,0.0,3.144874450197908e-08,7.865968099096676e-08,6.289722993546576e-08,0.0,3.144874450197908e-08,50,2000,40,40.0,40,0.0,0.99901885,-0.020460192,-0.9990496,0.6013323,0.007841535245643717,50,0.10228792752112326,0.007841535245643717,0.0,0.02095180105036431,0.03841088478978083,0.00019603838114109297,0.0,0.0018807979957419867,7.867975315711817e-08,4.089711479693392e-08,0.0,3.929270153492728e-08,7.867975315711817e-08,5.348266366667076e-08,0.0,3.66888311608258e-08,0.03841088478978083,0.00019603838114109297,0.0,0.0018807979957419867,350,14000,40,40.0,40,0.0,14000,0.006858161650598049,30.082248149439692,3.7893200647085905,19.583525883965194,0.004485347308218479,6.695465210825205,0.0025696828961372375,196.0060682427138,2.3798085749149323e-05,0.6705665588378906,-4.029073715209961,-2.8420677,-4.081953,-6.466135,0.36185503,-24.27332,23.190681,21.595818,20.53465,0.3192436,23.143042,21.594982,20.45705,0.33788124,23.147383,21.594578,20.489212,0.33374465,0.04733417,0.045298345,5000,0.03494806,-0.012846917,-0.09244846,0.022100145,-0.045022026,-0.077891596,-0.097230755,0.0069882986,0.9559764,0.9250873,0.9073466,0.0064796554
5,5,0.0033400625,-0.012346648,-0.042967908,0.017644161,2.517109773947368e-06,10,3.1463872396386705e-06,2.517109773947368e-06,0.0,1.2585548869736842e-06,7.865968099096676e-08,6.29277443486842e-08,0.0,3.14638721743421e-08,7.865968099096676e-08,6.29277443486842e-08,0.0,3.14638721743421e-08,7.865968099096676e-08,6.29277443486842e-08,0.0,3.14638721743421e-08,7.865968099096676e-08,6.29277443486842e-08,0.0,3.14638721743421e-08,60,2400,40,40.0,40,0.0,0.99894786,-0.006565914,-0.99650836,0.59223944,0.004830121729868155,50,0.05458274185723644,0.004830121729868155,0.0,0.010682636982528153,0.047372724175915204,0.00012075304324670388,0.0,0.0014439341359276491,7.865968076892216e-08,3.932319046384691e-08,0.0,3.9323214707363166e-08,0.0023231752473520384,4.652484634107168e-05,0.0,0.0003252357730865217,0.047372724175915204,0.00012075304324670388,0.0,0.0014439341359276491,400,16000,40,40.0,40,0.0,16000,0.007085764780640602,29.893898566253483,3.765354488044977,19.463506685569882,0.004559646360576153,6.650827955454588,0.0025402968749403954,226.54198391828686,2.3729167878627777e-05,0.6063487529754639,-5.051945686340332,-3.1096668,-4.0978327,-6.5218163,0.31571758,-24.433908,23.239115,21.972708,21.068533,0.26161644,23.049883,21.976334,21.091135,0.2435975,23.0772,21.977005,21.123625,0.24183187,0.024967719,0.024518754,6000,0.025833229,-0.012106794,-0.055920836,0.017242648,-0.09328899,-0.11340318,-0.12662731,0.004327543,0.9109302,0.89279896,0.881062,0.0038715512
6,6,0.0019431118,-0.011157453,-0.035603464,0.0154541675,2.8317484987994135e-06,10,3.1463872485204547e-06,2.8317484987994135e-06,0.0,9.439161662664712e-07,7.865968121301137e-08,7.079371246998534e-08,0.0,2.3597904156661784e-08,7.865968121301137e-08,7.079371246998534e-08,0.0,2.3597904156661784e-08,7.865968121301137e-08,7.079371246998534e-08,0.0,2.3597904156661784e-08,7.865968121301137e-08,7.079371246998534e-08,0.0,2.3597904156661784e-08,70,2800,40,40.0,40,0.0,0.9987373,-0.012851054,-0.9990128,0.59047925,0.0050232656574400415,50,0.161093616768631,0.0050232656574400415,0.0,0.022812803539902695,0.06750059348764736,0.00012558164143600104,0.0,0.0019885847211149645,0.0003547928774823017,7.135181443636007e-06,0.0,4.966540039855871e-05,7.867819640239304e-08,5.5049516762828434e-08,0.0,3.6038422381800846e-08,0.06750059348764736,0.00012558164143600104,0.0,0.0019885847211149645,450,18000,40,40.0,40,0.0,18000,0.006913846358656883,29.666406359523535,3.7486538337543607,19.300235491245985,0.004671188071370125,6.603382405824959,0.0025213835760951042,256.875773768872,2.821069210767746e-05,0.548495888710022,-6.064892768859863,-3.1936326,-4.0984697,-6.2657495,0.29505625,-23.667522,23.176855,21.437218,20.721306,0.22332521,22.13481,21.433079,20.733408,0.18001468,22.122702,21.432804,20.74953,0.17857412,0.021840023,0.021745302,7000,0.019577354,-0.010938168,-0.04662336,0.015215194,-0.10574129,-0.124433756,-0.13362622,0.003328313,0.89965737,0.8830016,0.87491703,0.002942792
7,7,0.00090909726,-0.009354663,-0.029426556,0.012137515,2.202471054424393e-06,10,3.1463872307568863e-06,2.202471054424393e-06,0.0,1.4418557604069978e-06,7.865968076892216e-08,5.5061776360609826e-08,0.0,3.6046394010174954e-08,7.865968076892216e-08,5.5061776360609826e-08,0.0,3.604639401017494e-08,7.865968076892216e-08,5.5061776360609826e-08,0.0,3.604639401017494e-08,7.865968076892216e-08,5.5061776360609826e-08,0.0,3.6046394010174954e-08,80,3200,40,40.0,40,0.0,0.9978922,-0.011591916,-0.9969513,0.58463544,0.00670833160916128,50,0.15263580020122958,0.00670833160916128,0.0,0.022891419544359047,0.0529730607072727,0.000167708290229032,0.0,0.001932502083336663,1.1176118583478e-05,2.6108460279949955e-07,0.0,1.5597718919271537e-06,7.865968076892216e-08,6.291486198684026e-08,0.0,3.145749302245426e-08,0.0529730607072727,0.000167708290229032,0.0,0.001932502083336663,500,20000,40,40.0,40,0.0,20000,0.007014768198132515,29.387832878157496,3.6930309012532234,19.049430421553552,0.004533614031970501,6.6312424056231976,0.0025569600984454155,286.9881608001888,2.3807398974895477e-05,0.4962459206581116,-7.080080032348633,-3.1858997,-4.1045313,-7.146044,0.29671103,-22.385303,22.014774,20.356594,19.754568,0.18138193,20.828884,20.356342,19.705902,0.13705604,20.838804,20.356041,19.712866,0.13572593,0.017302942,0.017289575,8000,0.0120341405,-0.009140705,-0.033051766,0.011791924,-0.11681817,-0.12741253,-0.14158605,0.0021304323,0.88974696,0.88037235,0.8679805,0.0018783682
8,8,0.0015587521,-0.008967852,-0.030581737,0.011639973,2.831748489029451e-06,10,3.146387221875102e-06,2.831748489029451e-06,0.0,9.43916163009817e-07,7.865968054687755e-08,7.079371222573627e-08,0.0,2.3597904075245424e-08,7.865968054687755e-08,7.079371222573627e-08,0.0,2.3597904075245427e-08,7.865968054687755e-08,7.079371222573627e-08,0.0,2.3597904075245427e-08,7.865968054687755e-08,7.079371222573627e-08,0.0,2.3597904075245424e-08,90,3600,40,40.0,40,0.0,0.99754065,-0.0043375157,-0.99824995,0.59145766,0.01264778999589549,50,0.17816632172646107,0.01264778999589549,0.0,0.03642503494463763,0.03665661577978607,0.0003161947498973873,0.0,0.002533101761817784,0.03373130186073503,0.0008119703098660214,0.0,0.004753185713914651,7.867975315711817e-08,6.292833610199721e-08,0.0,3.146416820090373e-08,0.03665661577978607,0.0003161947498973873,0.0,0.002533101761817784,550,22000,40,40.0,40,0.0,22000,0.007162309251725674,29.738300759345293,3.7769343368709087,19.38576319999993,0.004690920934081078,6.5607775086537,0.0029390687122941017,317.42140683252364,3.3414922654628754e-05,0.44900399446487427,-8.090042114257812,-3.121729,-4.103414,-8.385368,0.29929075,-20.85093,20.269594,19.011717,18.443203,0.15610304,19.371511,19.013,18.483622,0.11021927,19.405485,19.012665,18.48992,0.10977024,0.014045488,0.014037174,9000,0.007264631,-0.008861449,-0.035386853,0.011390268,-0.11902936,-0.1308,-0.13647215,0.0024917298,0.88778174,0.8773959,0.8724306,0.0021881794
9,9,-0.0010440812,-0.0072308406,-0.027562445,0.009290982,1.8878261354160486e-06,10,3.146387221875102e-06,1.8878261354160486e-06,0.0,1.5414035850568962e-06,7.865968054687755e-08,4.7195653385401215e-08,0.0,3.8535089626422395e-08,7.865968054687755e-08,4.7195653385401215e-08,0.0,3.85350896264224e-08,7.865968054687755e-08,4.7195653385401215e-08,0.0,3.85350896264224e-08,7.865968054687755e-08,4.7195653385401215e-08,0.0,3.8535089626422395e-08,100,4000,40,40.0,40,0.0,0.99844784,0.0026633015,-0.997131,0.5895317,0.007438789004558957,50,0.06478289179969332,0.007438789004558957,0.0,0.015298694812026616,0.03771592232814247,0.0001859697251139739,0.0,0.0017519447144414564,0.03771592232814247,0.0008632659273152976,0.0,0.005305467838733313,7.866916540422153e-08,4.860314858579074e-08,0.0,3.806794441062857e-08,0.03771592232814247,0.0001859697251139739,0.0,0.0017519447144414564,600,24000,40,40.0,40,0.0,24000,0.006875467486679554,29.089670185931027,3.6454226849600673,18.94503944553435,0.0047086076810956,6.485057534649968,0.002539265900850296,347.24263158254325,2.7179718017578125e-05,0.40626874566078186,-9.09504508972168,-3.2852654,-4.097299,-6.6805468,0.28667557,-19.226002,18.48688,17.565344,17.08655,0.13045129,17.808529,17.563583,17.081676,0.08383404,17.808681,17.563751,17.083885,0.0833299,0.011100079,0.0110651925,10000,0.011553964,-0.0071273795,-0.030508092,0.009070824,-0.12085007,-0.13021523,-0.13554178,0.0015478354,0.8861668,0.8779076,0.8732427,0.001360491
