Epoch,epoch,eval/Actions Max,eval/Actions Mean,eval/Actions Min,eval/Actions Std,eval/Average Returns,eval/Num Paths,eval/Returns Max,eval/Returns Mean,eval/Returns Min,eval/Returns Std,eval/Rewards Max,eval/Rewards Mean,eval/Rewards Min,eval/Rewards Std,eval/env_infos/final/reward_dist Max,eval/env_infos/final/reward_dist Mean,eval/env_infos/final/reward_dist Min,eval/env_infos/final/reward_dist Std,eval/env_infos/initial/reward_dist Max,eval/env_infos/initial/reward_dist Mean,eval/env_infos/initial/reward_dist Min,eval/env_infos/initial/reward_dist Std,eval/env_infos/reward_dist Max,eval/env_infos/reward_dist Mean,eval/env_infos/reward_dist Min,eval/env_infos/reward_dist Std,eval/num paths total,eval/num steps total,eval/path length Max,eval/path length Mean,eval/path length Min,eval/path length Std,expl/Actions Max,expl/Actions Mean,expl/Actions Min,expl/Actions Std,expl/Average Returns,expl/Num Paths,expl/Returns Max,expl/Returns Mean,expl/Returns Min,expl/Returns Std,expl/Rewards Max,expl/Rewards Mean,expl/Rewards Min,expl/Rewards Std,expl/env_infos/final/reward_dist Max,expl/env_infos/final/reward_dist Mean,expl/env_infos/final/reward_dist Min,expl/env_infos/final/reward_dist Std,expl/env_infos/initial/reward_dist Max,expl/env_infos/initial/reward_dist Mean,expl/env_infos/initial/reward_dist Min,expl/env_infos/initial/reward_dist Std,expl/env_infos/reward_dist Max,expl/env_infos/reward_dist Mean,expl/env_infos/reward_dist Min,expl/env_infos/reward_dist Std,expl/num paths total,expl/num steps total,expl/path length Max,expl/path length Mean,expl/path length Min,expl/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,0,0.002215411,2.5340405e-05,-0.0030520947,0.00067591673,3.6690877723797457,10,18.96423712006308,3.6690877723797457,0.0,7.343391762841453,0.5936633876887953,0.09172719430949364,0.0,0.19769012449032528,0.5470348935486586,0.10890585162160278,0.0,0.2178145856261663,0.0,0.0,0.0,0.0,0.5936633876887953,0.09172719430949364,0.0,0.19769012449032528,10,400,40,40.0,40,0.0,0.9993169,-4.578352e-05,-0.9992356,0.62585276,9.000720482650102,50,38.96630284535689,9.000720482650102,0.0,9.482199650197904,1.4851292356635217,0.22501801206625252,0.0,0.2823433518511876,1.334875296145425,0.3168558023144765,0.0,0.3230259236988504,0.02565015125962944,0.0005130030251925887,0.0,0.0035910211763481217,1.4851292356635217,0.22501801206625252,0.0,0.2823433518511876,150,6000,40,40.0,40,0.0,6000,0.0073127755895257,54.18282639887184,32.58170907665044,14.911277490667999,0.004703562706708908,6.673530572094023,0.004264396615326405,57.99155780579895,2.8524547815322876e-05,1.0,-0.0,-2.070077,-4.0253105,-8.722603,0.5411034,-4.02512,5.994614,3.8482046,2.0260239,0.55747557,0.004095399,0.00064363587,-0.00215845,0.0010466423,0.0041218777,0.00018182077,-0.0023874438,0.0006355752,15.11412,15.118132,1000,0.0024323857,0.00010859874,-0.0044629057,0.0010152431,0.0016643256,-0.0005007771,-0.0037778958,0.00094515696,1.0016657,0.9994998,0.99622923,0.00094452995
1,1,0.18159482,0.02764164,-0.074401245,0.044410292,5.061987499580545,10,17.59363079554178,5.061987499580545,0.0,7.416535025683157,0.5001934763803,0.12654968748951365,0.0,0.20129747101239634,0.5001934763803,0.14880223404597373,0.0,0.2177517786076992,0.0,0.0,0.0,0.0,0.5001934763803,0.12654968748951365,0.0,0.20129747101239634,20,800,40,40.0,40,0.0,0.9987173,0.025793534,-0.9988126,0.6109794,4.478072198213079,50,20.208220529860412,4.478072198213079,0.0,6.363452292659226,0.5921539690946934,0.11195180495532697,0.0,0.20010995433816073,0.5889547328381951,0.19908159415515705,0.0,0.2489544353022195,0.056016089308565054,0.0016979308354561384,0.0,0.008748943040908317,0.5921539690946934,0.11195180495532697,0.0,0.20010995433816073,200,8000,40,40.0,40,0.0,8000,0.00725475512444973,23.93258385080844,1.9142546998336911,15.644002836197615,0.004675023257732391,6.359900429844856,0.002468924969434738,82.49151164572686,2.7181580662727356e-05,0.9048041105270386,-1.0064386129379272,-1.8995819,-4.0606804,-6.0718803,0.42053917,-12.446163,14.841712,9.361765,5.503373,2.9697468,16.068235,8.885074,3.5933435,3.554922,16.399837,8.910343,3.6018429,3.5392647,1.4802462,1.4567242,2000,0.27448705,0.026936933,-0.14862274,0.051609844,-0.01583961,-0.07444327,-0.15035814,0.045483306,0.9842852,0.9292194,0.8603998,0.042166505
2,2,0.11266885,0.0020345068,-0.16399367,0.040273834,3.72212984980773,10,13.138166888635908,3.72212984980773,0.0,4.122223127474079,0.6966820090569131,0.09305324624519326,0.0,0.14258402644064974,0.6966820090569131,0.18469964786209642,0.0,0.21938665853767078,0.09525160717055425,0.009593826617779055,0.0,0.028553327437350874,0.6966820090569131,0.09305324624519326,0.0,0.14258402644064974,30,1200,40,40.0,40,0.0,0.9996912,-0.003030046,-0.9998161,0.64351106,8.664427432352626,50,43.621411847370304,8.664427432352626,0.0,9.006874321676639,1.5669770243916414,0.21661068580881568,0.0,0.2778513907965248,1.5669770243916414,0.3293871482689091,0.0,0.32447729153250715,0.02736803967853918,0.0006384081840429223,0.0,0.003871318673663823,1.5669770243916414,0.21661068580881568,0.0,0.2778513907965248,250,10000,40,40.0,40,0.0,10000,0.0073490869253873825,22.969558101147413,2.2630543680861592,14.37480968143791,0.004632263444364071,6.3171896282583475,0.0024996669963002205,106.05148055963218,2.3405998945236206e-05,0.8192814588546753,-1.96882963180542,0.02010727,-3.8773575,-6.1780415,0.8015924,-20.708965,29.079382,17.583487,12.758269,3.3778756,30.685583,17.482859,11.113672,3.4820793,31.111668,17.477032,11.172739,3.4657512,1.2457621,1.2320607,3000,0.16990049,0.0076291226,-0.14208171,0.036423504,0.16599253,0.058356658,-0.05719467,0.08717752,1.1805643,1.0641109,0.9444102,0.092110455
3,3,0.079300135,0.0047120387,-0.11337885,0.030870965,9.274355477105509,10,19.092842026109327,9.274355477105509,0.0,6.930090693378313,1.392616806305887,0.23185888692763773,0.0,0.24957332264688745,1.392616806305887,0.4601047431828615,0.0,0.37870705699615526,0.0,0.0,0.0,0.0,1.392616806305887,0.23185888692763773,0.0,0.24957332264688745,40,1600,40,40.0,40,0.0,0.9996697,-0.00016924349,-0.9993547,0.63935316,9.802066927331486,50,20.314603667653895,9.802066927331486,0.0,7.368272366054084,0.6335262007436842,0.24505167318328716,0.0,0.24215695289903624,0.6335262007436842,0.3827208104322935,0.0,0.23373894366960704,0.013012187189341606,0.0003169907675934835,0.0,0.0018554247927019762,0.6335262007436842,0.24505167318328716,0.0,0.24215695289903624,300,12000,40,40.0,40,0.0,12000,0.007309132255613804,22.431356546469033,2.567406586371362,13.495217970572412,0.00461505725979805,6.354236544109881,0.002548172138631344,129.06889776419848,2.308376133441925e-05,0.7419117093086243,-2.9509575366973877,-0.7974825,-3.8851252,-6.128405,0.7473885,-25.17136,35.8579,22.28003,17.448242,3.0464687,36.538136,22.254648,16.758045,3.0818596,36.397728,22.253529,16.808025,3.079427,0.6895236,0.69170725,4000,0.1843013,0.0059990217,-0.23764026,0.033593066,0.14618653,0.057908986,-0.046562184,0.07633984,1.157412,1.0626955,0.9545052,0.080506235
4,4,0.078565374,0.011315109,-0.08747122,0.028248997,3.8543151289823667,10,18.824240819824325,3.8543151289823667,0.0,7.166999260996618,0.5916055946110299,0.09635787822455916,0.0,0.19977834269068112,0.5895418453480071,0.16167765434299433,0.0,0.2325729663845506,0.0,0.0,0.0,0.0,0.5916055946110299,0.09635787822455916,0.0,0.19977834269068112,50,2000,40,40.0,40,0.0,0.999114,0.008803836,-0.99942607,0.62654096,6.221202112241039,50,35.45614620033339,6.221202112241039,0.0,8.557620256485693,1.5701443070550491,0.15553005280602597,0.0,0.25548789296729774,1.5701443070550491,0.2482698042732061,0.0,0.31855123851417544,0.0,0.0,0.0,0.0,1.5701443070550491,0.15553005280602597,0.0,0.25548789296729774,350,14000,40,40.0,40,0.0,14000,0.0073499903082847595,25.38418714888394,3.172879100777209,15.547313814982772,0.004657997749745846,6.649464068934321,0.0024943146854639053,155.1442232383415,2.7861446142196655e-05,0.671036958694458,-4.001797676086426,-1.8039703,-4.031301,-6.229624,0.52618194,-26.622704,38.293182,23.975046,18.147999,2.885342,38.91234,23.989239,17.326845,2.879669,38.820152,23.988422,17.161745,2.8819702,0.36041775,0.3605876,5000,0.14921635,0.008150042,-0.23756534,0.026735825,0.054541122,-0.008018924,-0.063871235,0.03603393,1.0560559,0.99265486,0.9381258,0.035552967
5,5,0.09934749,0.0048562605,-0.096658364,0.027146237,7.104683008720106,10,18.62084398161397,7.104683008720106,0.0,7.03552777256555,0.5496660489942142,0.17761707521800268,0.0,0.22743840686922726,0.5496660489942142,0.3097647835445768,0.0,0.24521223917470686,0.0,0.0,0.0,0.0,0.5496660489942142,0.17761707521800268,0.0,0.22743840686922726,60,2400,40,40.0,40,0.0,0.9985495,0.010243532,-0.9985733,0.6034312,11.055823797510984,50,43.06753625201507,11.055823797510984,0.0,9.905605678407985,1.5655505505279586,0.2763955949377746,0.0,0.3103252060046929,1.5655505505279586,0.4174902886996875,0.0,0.3268757694550398,0.0125499691022537,0.000250999382045074,0.0,0.0017569956743155176,1.5655505505279586,0.2763955949377746,0.0,0.3103252060046929,400,16000,40,40.0,40,0.0,16000,0.007204819470643997,22.848812436684966,2.5299291694536805,13.547210394404829,0.00457138754427433,6.740445253439248,0.019427555613219738,178.68487929273397,2.3856759071350098e-05,0.6067695021629333,-5.035370826721191,-2.3180838,-4.0786777,-6.8520927,0.392336,-26.67912,38.968544,24.28915,16.612192,2.8306825,39.192986,24.27028,15.914748,2.8119195,39.232986,24.272377,16.039125,2.8170743,0.23647957,0.2359587,6000,0.11327059,0.004413339,-0.21053451,0.027123626,-0.0051889704,-0.06289794,-0.101665266,0.014240877,0.99482447,0.9391351,0.9033319,0.013489217
6,6,0.10482945,0.0032154694,-0.16828698,0.028850017,9.479645068230955,10,26.491230359967957,9.479645068230955,0.0,8.38963051975438,1.5691219459706722,0.23699112670577394,0.0,0.31767046657829195,0.5507606917607137,0.3762910129030869,0.0,0.19995295615288305,0.0,0.0,0.0,0.0,1.5691219459706722,0.23699112670577394,0.0,0.31767046657829195,70,2800,40,40.0,40,0.0,0.99740255,-0.0034567406,-0.9980648,0.5968565,9.756062039753623,50,42.34095716179656,9.756062039753623,0.0,9.416107734831055,1.5661287835216315,0.24390155099384056,0.0,0.29227138436561634,1.5661287835216315,0.38157598102062196,0.0,0.36762796298511785,0.0002574289337522462,5.148707237396799e-06,0.0,3.6040032370495424e-05,1.5661287835216315,0.24390155099384056,0.0,0.29227138436561634,450,18000,40,40.0,40,0.0,18000,0.007436887361109257,24.99547286145389,2.94647553935647,14.889725433662534,0.008334816433489323,7.139516793191433,0.003946166485548019,204.69652065169066,3.7224963307380676e-05,0.5488005876541138,-6.048809051513672,-2.8007402,-4.0810103,-6.625866,0.35095894,-25.967857,38.947094,23.777458,15.5053425,2.842164,39.21588,23.765625,15.067142,2.8323312,39.131397,23.767641,14.960519,2.834659,0.16737092,0.16587505,7000,0.12649241,0.0034042464,-0.26642838,0.027736628,0.030965611,-0.088875294,-0.16111329,0.013896181,1.03145,0.9150484,0.85119563,0.012814455
7,7,0.11253208,0.0031622057,-0.1784916,0.02825858,9.201237789879027,10,31.99997299148803,9.201237789879027,0.0,9.276079365170515,1.5684889615268265,0.2300309447469757,0.0,0.31964873121813325,1.5684889615268265,0.5114588616886548,0.0,0.39161728164521614,0.03263578734593464,0.0032635787345934642,0.0,0.009790736203780391,1.5684889615268265,0.2300309447469757,0.0,0.31964873121813325,80,3200,40,40.0,40,0.0,0.99848765,0.004479593,-0.997968,0.598831,8.935036895065826,50,25.621920819662627,8.935036895065826,0.0,7.559114743903486,1.4608375763126953,0.22337592237664564,0.0,0.24542361045599537,1.4536360263436139,0.35308988269163416,0.0,0.2858046319907408,0.03780874956040603,0.0011662914765003674,0.0,0.0059673220185477065,1.4608375763126953,0.22337592237664564,0.0,0.24542361045599537,500,20000,40,40.0,40,0.0,20000,0.007423529401421547,24.781972466968,3.019153024069965,14.630760287865996,0.004647570662200451,7.117413986474276,0.0025501716881990433,230.49926501698792,2.3896805942058563e-05,0.49647945165634155,-7.068931579589844,-2.5205975,-4.0954003,-8.197986,0.33020252,-24.732328,37.958843,22.720905,14.412663,2.777064,38.048954,22.730263,13.992891,2.7635248,37.990463,22.728699,14.140666,2.76313,0.11079332,0.11079417,8000,0.123773575,0.0025922619,-0.19746739,0.027053304,-0.03887602,-0.1030117,-0.14429279,0.0134768495,0.96186996,0.9021986,0.86563426,0.012220476
8,8,0.08387068,0.003658183,-0.069285266,0.02597811,6.93876441479717,10,19.871584467575456,6.93876441479717,0.0,6.707782815889223,0.5875095828172492,0.1734691103699293,0.0,0.22838304787575575,0.5669225287212494,0.3069807010683139,0.0,0.2521484867673983,1.4718069651920018e-08,1.4718069651920018e-09,0.0,4.415420895576006e-09,0.5875095828172492,0.1734691103699293,0.0,0.22838304787575575,90,3600,40,40.0,40,0.0,0.9986798,0.0030853373,-0.99838233,0.5954769,8.146713119243257,50,27.767211173312422,8.146713119243257,0.0,8.496149802814914,1.5633289705165012,0.20366782798108138,0.0,0.2496772665578789,0.7212808753318685,0.2838351315932479,0.0,0.2646418939001955,0.04355236282766972,0.0028656764047471704,0.0,0.009847912365594774,1.5633289705165012,0.20366782798108138,0.0,0.2496772665578789,550,22000,40,40.0,40,0.0,22000,0.007358766160905361,24.94599897135049,2.7208110131323338,15.158844084478915,0.004940791986882687,7.050566527061164,0.0034458786249160767,256.5205993792042,3.190990537405014e-05,0.44918960332870483,-8.083587646484375,-3.0763912,-4.100567,-6.938381,0.3265372,-23.273638,36.571564,21.470411,13.499327,2.7127419,36.565605,21.451637,13.11371,2.709656,36.559395,21.45005,13.194273,2.7080648,0.12034062,0.119308375,9000,0.12901339,0.0049863043,-0.1544216,0.026670605,-0.016905606,-0.112804115,-0.1567744,0.01165946,0.9832365,0.89338666,0.8548969,0.010491292
9,9,0.08906084,0.0036396408,-0.061990157,0.021134818,12.775015098130968,10,22.98195707836251,12.775015098130968,0.0,7.082191641863229,0.630767286223384,0.31937537745327427,0.0,0.24224981457531283,0.630767286223384,0.4663968427334593,0.0,0.16458661649369144,0.08155007944609949,0.008155007944609948,0.0,0.024465023833829844,0.630767286223384,0.31937537745327427,0.0,0.24224981457531283,100,4000,40,40.0,40,0.0,0.9968083,0.0039299894,-0.9971698,0.5908451,11.337655018175276,50,45.62899830909064,11.337655018175276,0.0,11.994872631343851,1.57018660776195,0.28344137545438197,0.0,0.3608636173560496,1.57018660776195,0.4176828486112486,0.0,0.43168665374647863,0.09211948703190198,0.0036475547098971228,0.0,0.017135384971655388,1.57018660776195,0.28344137545438197,0.0,0.3608636173560496,600,24000,40,40.0,40,0.0,24000,0.007319715805351734,24.133597252890468,1.963729117065668,14.80005282536149,0.004725930280983448,7.355163098312914,0.002578374929726124,281.82134500704706,2.8191134333610535e-05,0.40642550587654114,-9.090577125549316,-2.8396492,-4.0966625,-6.2507677,0.3121607,-21.709955,34.76541,20.069908,12.74895,2.7951596,35.923958,20.060299,12.300128,2.77051,35.859276,20.06126,12.345078,2.76968,0.10457441,0.104758635,10000,0.0971884,0.0050559356,-0.13727386,0.02746921,-0.05543171,-0.11534991,-0.15908366,0.011287447,0.94607663,0.8911114,0.852925,0.010132078
