Epoch,epoch,eval/Actions Max,eval/Actions Mean,eval/Actions Min,eval/Actions Std,eval/Average Returns,eval/Num Paths,eval/Returns Max,eval/Returns Mean,eval/Returns Min,eval/Returns Std,eval/Rewards Max,eval/Rewards Mean,eval/Rewards Min,eval/Rewards Std,eval/env_infos/final/reward_dist Max,eval/env_infos/final/reward_dist Mean,eval/env_infos/final/reward_dist Min,eval/env_infos/final/reward_dist Std,eval/env_infos/initial/reward_dist Max,eval/env_infos/initial/reward_dist Mean,eval/env_infos/initial/reward_dist Min,eval/env_infos/initial/reward_dist Std,eval/env_infos/reward_dist Max,eval/env_infos/reward_dist Mean,eval/env_infos/reward_dist Min,eval/env_infos/reward_dist Std,eval/num paths total,eval/num steps total,eval/path length Max,eval/path length Mean,eval/path length Min,eval/path length Std,expl/Actions Max,expl/Actions Mean,expl/Actions Min,expl/Actions Std,expl/Average Returns,expl/Num Paths,expl/Returns Max,expl/Returns Mean,expl/Returns Min,expl/Returns Std,expl/Rewards Max,expl/Rewards Mean,expl/Rewards Min,expl/Rewards Std,expl/env_infos/final/reward_dist Max,expl/env_infos/final/reward_dist Mean,expl/env_infos/final/reward_dist Min,expl/env_infos/final/reward_dist Std,expl/env_infos/initial/reward_dist Max,expl/env_infos/initial/reward_dist Mean,expl/env_infos/initial/reward_dist Min,expl/env_infos/initial/reward_dist Std,expl/env_infos/reward_dist Max,expl/env_infos/reward_dist Mean,expl/env_infos/reward_dist Min,expl/env_infos/reward_dist Std,expl/num paths total,expl/num steps total,expl/path length Max,expl/path length Mean,expl/path length Min,expl/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/total (s),time/training (s),trainer/Bellman Errors Max,trainer/Bellman Errors Mean,trainer/Bellman Errors Min,trainer/Bellman Errors Std,trainer/Policy Action Max,trainer/Policy Action Mean,trainer/Policy Action Min,trainer/Policy Action Std,trainer/Policy Loss,trainer/Preactivation Policy Loss,trainer/Q Predictions Max,trainer/Q Predictions Mean,trainer/Q Predictions Min,trainer/Q Predictions Std,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/QF Loss,trainer/Raw Policy Loss
0,0,0.000103615195,2.7718297e-06,-7.152259e-05,2.7243834e-05,0.41618930547411936,10,1.571236076939839,0.41618930547411936,0.0016168348151970324,0.478633593420328,0.19157496763896154,0.010404732636852985,0.0,0.03107225914019221,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.19157496763896154,0.010404732636852985,0.0,0.03107225914019221,10,400,40,40.0,40,0.0,1.0,-0.01755781319553893,-1.0,0.5074579608476982,0.9429790868771134,50,18.72974996307988,0.9429790868771134,0.0,2.8181657364017774,1.3611144863809146,0.023574477171927833,0.0,0.10217077237056303,1.3611144863809146,0.02722229060451813,0.0,0.19055602796805673,0.0055245666668390925,0.00028411634890300073,0.0,0.001059914246003187,1.3611144863809146,0.023574477171927833,0.0,0.10217077237056303,50,2000,40,40.0,40,0.0,2000,0.005897106995689683,24.988581454992527,3.4585879820078844,17.277325375995133,0.007906633007223718,0.0013407299993559718,28.204077429982135,4.23752362698724,1.7658598,0.010639231,1.9004207e-14,0.08763564,0.00060863985,1.8001191e-06,-0.00046160855,3.1613676e-05,2.139387e-05,0.0,0.00038262628,-0.00018962267,-0.0011150498,0.00023149337,1.3285055,0.023855936,-0.00030584174,0.10031487,0.010639231,2.139387e-05
1,1,1.0,0.33331895,-1.0,0.9427383,26.72386414837782,10,45.16810849609464,26.72386414837782,0.00229262107856254,21.812533420800328,1.5692114984585606,0.6680966037094456,0.0,0.7101181695011798,1.5692113860079162,0.9399818426191808,0.0,0.767497012664349,0.025811274187906408,0.0031286134224505213,0.0,0.007735074325126131,1.5692114984585606,0.6680966037094456,0.0,0.7101181695011798,20,800,40,40.0,40,0.0,1.0,0.2637725475361697,-1.0,0.8063314602780971,21.72232084812849,50,44.828948373529315,21.72232084812849,0.0,19.389029338324306,1.5707816755355184,0.5430580212032121,0.0,0.657830584206406,1.5707816755355184,0.7953311346715175,0.0,0.7743470647546158,0.01874168885983396,0.0025901234459057452,0.0,0.005488811436175731,1.5707816755355184,0.5430580212032121,0.0,0.657830584206406,100,4000,40,40.0,40,0.0,4000,0.006076296995161101,25.25055384801817,4.507885783008533,17.328756155009614,0.005277689007925801,0.0010053059959318489,53.457467469983385,3.4015526180010056,2.53333,0.31493604,1.1361232e-09,0.7259618,1.0,0.33326158,-1.0,0.94252557,-0.3619662,0.0,1.5600913,0.27622285,0.119239226,0.07736371,1.8240956,0.52064735,0.24237397,0.5209852,0.31493604,-0.3619662
2,2,1.0,0.3333333,-1.0,0.94280887,26.89949811452679,10,45.7729716404825,26.89949811452679,0.0,21.964500000417065,1.5706639144945393,0.6724874528631698,0.0,0.7108378028062515,1.5706639144945393,0.9396396934593458,0.0,0.767229722985307,0.012639956831169918,0.0027531999265419495,0.0,0.004321307164200666,1.5706639144945393,0.6724874528631698,0.0,0.7108378028062515,30,1200,40,40.0,40,0.0,1.0,0.25946841794091285,-1.0,0.8005931341546552,13.300293319454244,50,45.54245957350925,13.300293319454244,0.0,18.974338825058112,1.5706341179857424,0.3325073329863561,0.0,0.5863382885380258,1.5706341179857424,0.5014234817087481,0.0,0.7309490750373462,0.027954546346191655,0.00209017022727958,0.0,0.006456001463080085,1.5706341179857424,0.3325073329863561,0.0,0.5863382885380258,150,6000,40,40.0,40,0.0,6000,0.006035374011844397,24.025244937001844,3.48540998500539,16.931561522986158,0.0053245240123942494,0.0010009349934989586,77.48466509698483,3.5959125959925586,28.448002,2.0026927,7.491417e-08,2.4807296,1.0,0.33333328,-1.0,0.94280887,-5.0377665,0.0,9.485767,3.537705,1.0299454,1.2097225,8.11233,4.3797235,3.4482467,0.5956455,2.0026927,-5.0377665
3,3,1.0,0.33333334,-1.0,0.942809,12.848943280262622,10,44.27801715166461,12.848943280262622,0.0,19.629405562820512,1.5706679627450173,0.3212235820065656,0.0,0.5921016144396942,1.5706679627450173,0.47093138589282046,0.0,0.7193598767264813,0.0,0.0,0.0,0.0,1.5706679627450173,0.3212235820065656,0.0,0.5921016144396942,40,1600,40,40.0,40,0.0,1.0,0.2506543616745428,-1.0,0.8115437472520386,16.804592706414322,50,44.07724921103179,16.804592706414322,0.0,19.605836577752463,1.57079293076828,0.42011481766035796,0.0,0.620468029449514,1.57079293076828,0.6040827867764286,0.0,0.7515838995608536,0.01360734636756411,0.0007160109913551072,0.0,0.0023819159241085285,1.57079293076828,0.42011481766035796,0.0,0.620468029449514,200,8000,40,40.0,40,0.0,8000,0.005957417000900023,24.305496733999462,3.565584108000621,17.008000002999324,0.005329467006959021,0.0010085139947477728,101.79206175399304,3.7196172249969095,138.01051,21.202206,4.7279173e-08,33.942543,1.0,0.33333334,-1.0,0.94280905,-16.854464,0.0,19.533514,12.20356,2.6432915,4.0170546,18.571337,14.779907,11.273035,0.7558449,21.202206,-16.854464
4,4,1.0,0.33333334,-1.0,0.942809,35.70653459419775,10,45.506647747037874,35.70653459419775,0.004158219006562325,17.857395957028757,1.5694484705451979,0.892663364854944,0.0,0.6889358673166476,1.5694484705451979,1.2539161060747823,0.0,0.6269609072061103,0.010605064432232636,0.0016924743675151177,0.0,0.003383978365542642,1.5694484705451979,0.892663364854944,0.0,0.6889358673166476,50,2000,40,40.0,40,0.0,1.0,0.2600845979840316,-1.0,0.8099121315047373,14.994712790488874,50,44.21409096646585,14.994712790488874,0.0,18.990863628932455,1.5707647963744247,0.37486781976222183,0.0,0.6007526550560711,1.5707647963744247,0.5291585475863497,0.0,0.7378571957878222,0.021139080220675677,0.0009048575353771105,0.0,0.0031646300816587447,1.5707647963744247,0.37486781976222183,0.0,0.6007526550560711,250,10000,40,40.0,40,0.0,10000,0.00599235700792633,24.508140983991325,3.6135699930018745,17.167636120997486,0.005471053998917341,0.0009951449901564047,126.30210180599533,3.7144763139949646,1104.9448,129.58325,6.055925e-05,241.75638,1.0,0.33333334,-1.0,0.94280905,-42.07868,0.0,47.26094,31.18645,4.249214,9.961996,45.87136,37.25254,27.945332,1.3355012,129.58325,-42.07868
5,5,1.0,0.33333334,-1.0,0.942809,35.573497558503654,10,45.4422884535204,35.573497558503654,0.0,17.792241976422147,1.5704620235031108,0.8893374389625914,0.0,0.6903562693277593,1.5704620235031108,1.254515709250681,0.0,0.6272662223770648,0.0196067481484814,0.0021933544503754286,0.0,0.005845772119977592,1.5704620235031108,0.8893374389625914,0.0,0.6903562693277593,60,2400,40,40.0,40,0.0,1.0,0.2550062905323481,-1.0,0.8054963123036517,15.018902149535196,50,44.67420750045718,15.018902149535196,0.0,19.072724606278154,1.570787159104484,0.3754725537383798,0.0,0.6014545502790947,1.570787159104484,0.6059554497670335,0.0,0.7528043736352023,0.022749210956679367,0.0019976954053373764,0.0,0.005392143254199681,1.570787159104484,0.3754725537383798,0.0,0.6014545502790947,300,12000,40,40.0,40,0.0,12000,0.005975451989797875,24.688615540988394,3.956505759007996,17.096278961995267,0.005366878991480917,0.0009779209940461442,150.99334872695908,3.623510568009806,4672.1143,564.9972,5.7511264e-05,1097.6588,1.0,0.33333334,-1.0,0.94280905,-84.28702,0.0,108.75252,62.338833,6.2439656,20.180853,98.941666,75.90317,55.87623,2.7215288,564.9972,-84.28702
6,6,1.0,0.33333334,-1.0,0.942809,17.592448535973546,10,44.48326702280521,17.592448535973546,0.001751608050815312,21.505121416057577,1.5704879994126018,0.43981121339933865,0.0,0.6577004767762479,1.5704879994126018,0.6283290287978393,0.0,0.7685867820035113,0.0,0.0,0.0,0.0,1.5704879994126018,0.43981121339933865,0.0,0.6577004767762479,70,2800,40,40.0,40,0.0,1.0,0.24805428233729118,-1.0,0.7909019769530446,15.910702206048672,50,44.34550504508183,15.910702206048672,0.0,18.94948609164133,1.570794257088512,0.3977675551512168,0.0,0.6100356030513867,1.570794257088512,0.6236885880924886,0.0,0.7640558667619003,0.01940408564483942,0.0007576770576263137,0.0,0.0033741303411038183,1.570794257088512,0.3977675551512168,0.0,0.6100356030513867,350,14000,40,40.0,40,0.0,14000,0.008298948989249766,24.614493602974107,3.809234361993731,17.032341015001293,0.005368287995224819,0.0009655470057623461,175.60991398393526,3.7582854419888463,14566.4375,1577.4001,0.0009063466,3209.2456,1.0,0.33333334,-1.0,0.94280905,-142.69765,0.0,168.17523,106.89586,8.931556,33.33871,172.2782,130.01971,89.920074,5.2332973,1577.4003,-142.69765
7,7,1.0,0.33333334,-1.0,0.942809,16.330322512945187,10,44.28198110431972,16.330322512945187,0.0,20.33921856179978,1.5684875763138986,0.4082580628236299,0.0,0.631829789376012,1.5684875763138986,0.6199038146022373,0.0,0.7594690269113821,0.0028836117269868122,0.0002883611726986812,0.0,0.0008650835180960436,1.5684875763138986,0.4082580628236299,0.0,0.631829789376012,80,3200,40,40.0,40,0.0,1.0,0.2607930779436489,-1.0,0.8043556332604267,25.09834709497414,50,44.20475818543751,25.09834709497414,0.0,19.624164748090415,1.570789384580739,0.6274586773743536,0.0,0.6790091427861661,1.570789384580739,0.9598397897915641,0.0,0.7536080092543508,0.01104002132731452,0.0008373660271443528,0.0,0.0022890742794638673,1.570789384580739,0.6274586773743536,0.0,0.6790091427861661,400,16000,40,40.0,40,0.0,16000,0.006157242998597212,24.257107287994586,3.346824010994169,17.077815415002988,0.005316566996043548,0.0009985729993786663,199.86922340493766,3.81999547900341,40467.188,3570.5044,7.832423e-05,7432.7383,1.0,0.33333334,-1.0,0.94280905,-217.0426,0.0,266.67914,163.73308,10.798089,49.441788,262.90897,199.3482,132.29843,8.413242,3570.5046,-217.0426
8,8,1.0,0.33333334,-1.0,0.942809,8.95540244222919,10,44.515374465472576,8.95540244222919,0.0,17.72175626866792,1.5706741674679683,0.22388506105572972,0.0,0.5167036814947068,1.5706741674679683,0.31887887684538996,0.0,0.6244326637746871,0.0,0.0,0.0,0.0,1.5706741674679683,0.22388506105572972,0.0,0.5167036814947068,90,3600,40,40.0,40,0.0,1.0,0.27020334839903787,-1.0,0.8079384700343275,19.01884008797929,50,44.18732367407424,19.01884008797929,0.0,19.65335161650744,1.5707821997710512,0.4754710021994821,0.0,0.6425574678220995,1.5707821997710512,0.7626911252989186,0.0,0.7706993099230605,0.010051294217382045,0.0007179042395618351,0.0,0.002265296934412172,1.5707821997710512,0.4754710021994821,0.0,0.6425574678220995,450,18000,40,40.0,40,0.0,18000,0.005967644989141263,25.105268239989528,3.3967927000048803,17.67786284799513,0.005347521000658162,0.0009722399991005659,224.9764450319053,4.018325286000618,72067.945,6882.6045,3.7252903e-05,14822.544,1.0,0.33333334,-1.0,0.94280905,-305.9657,0.0,379.00397,232.61554,13.57775,68.21543,396.4519,282.43982,175.00478,12.281748,6882.6045,-305.9657
9,9,1.0,0.33333334,-1.0,0.942809,17.88576983860433,10,46.38233498852603,17.88576983860433,0.0,21.904736639388556,1.5707642327307862,0.44714424596510804,0.0,0.6616726744918346,1.5707642327307862,0.6276540639990279,0.0,0.768710310367815,0.02316859599126264,0.0026650233591758,0.0,0.006912902035599867,1.5707642327307862,0.44714424596510804,0.0,0.6616726744918346,100,4000,40,40.0,40,0.0,1.0,0.2598066161636353,-1.0,0.8122780796650508,15.36780286332213,50,45.52021533752258,15.36780286332213,0.0,18.259462193153794,1.5707917507067635,0.3841950715830532,0.0,0.5939224074327316,1.5707901842622392,0.604513031793801,0.0,0.7374257875984904,0.026280245396026247,0.0007999373665834364,0.0,0.003906725695168401,1.5707917507067635,0.3841950715830532,0.0,0.5939224074327316,500,20000,40,40.0,40,0.0,20000,0.006010505006997846,24.9713117670035,3.4870899520028615,17.999893464992056,0.005325987993273884,0.0010174210037803277,249.9497128538933,3.4719744360045297,128503.1,12018.758,0.00030791853,26865.627,1.0,0.33333334,-1.0,0.94280905,-410.30957,0.0,505.38788,315.1692,16.553408,91.10988,473.9044,380.25684,255.76807,15.989887,12018.758,-410.30957
