Epoch,epoch,eval/Actions Max,eval/Actions Mean,eval/Actions Min,eval/Actions Std,eval/Average Returns,eval/Num Paths,eval/Returns Max,eval/Returns Mean,eval/Returns Min,eval/Returns Std,eval/Rewards Max,eval/Rewards Mean,eval/Rewards Min,eval/Rewards Std,eval/env_infos/final/reward_dist Max,eval/env_infos/final/reward_dist Mean,eval/env_infos/final/reward_dist Min,eval/env_infos/final/reward_dist Std,eval/env_infos/initial/reward_dist Max,eval/env_infos/initial/reward_dist Mean,eval/env_infos/initial/reward_dist Min,eval/env_infos/initial/reward_dist Std,eval/env_infos/reward_dist Max,eval/env_infos/reward_dist Mean,eval/env_infos/reward_dist Min,eval/env_infos/reward_dist Std,eval/num paths total,eval/num steps total,eval/path length Max,eval/path length Mean,eval/path length Min,eval/path length Std,expl/Actions Max,expl/Actions Mean,expl/Actions Min,expl/Actions Std,expl/Average Returns,expl/Num Paths,expl/Returns Max,expl/Returns Mean,expl/Returns Min,expl/Returns Std,expl/Rewards Max,expl/Rewards Mean,expl/Rewards Min,expl/Rewards Std,expl/env_infos/final/reward_dist Max,expl/env_infos/final/reward_dist Mean,expl/env_infos/final/reward_dist Min,expl/env_infos/final/reward_dist Std,expl/env_infos/initial/reward_dist Max,expl/env_infos/initial/reward_dist Mean,expl/env_infos/initial/reward_dist Min,expl/env_infos/initial/reward_dist Std,expl/env_infos/reward_dist Max,expl/env_infos/reward_dist Mean,expl/env_infos/reward_dist Min,expl/env_infos/reward_dist Std,expl/num paths total,expl/num steps total,expl/path length Max,expl/path length Mean,expl/path length Min,expl/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,0,5.6078563e-05,-5.604416e-06,-4.7215486e-05,3.0387138e-05,5.078033959993178e-08,10,5.078033959993178e-07,5.078033959993178e-08,0.0,1.5234101879979534e-07,5.078033959993178e-07,1.2695084899982945e-09,0.0,2.535841222681188e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.078033959993178e-07,1.2695084899982945e-09,0.0,2.535841222681188e-08,10,400,40,40.0,40,0.0,0.99882495,0.0016182426,-0.99904895,0.62889814,2.0975690666370808,50,12.592667847608508,2.0975690666370808,0.0,3.8584704917083585,0.6868038468307458,0.052439226665927006,0.0,0.12042976555656146,0.38537584132171876,0.0985554248471549,0.0,0.15590511969785964,0.0,0.0,0.0,0.0,0.6868038468307458,0.052439226665927006,0.0,0.12042976555656146,150,6000,40,40.0,40,0.0,6000,0.006809112150222063,60.833953343331814,37.70831828005612,16.720258603803813,0.004713588859885931,6.391092570498586,0.0027335467748343945,64.67360706767067,2.7641188353300095e-05,1.0,-0.0,2.1230373,-8.037061,-11.921175,0.776078,-8.036425,10.165724,7.2633076,0.754293,0.7149959,0.005195298,4.2407297e-05,-0.13613446,0.0041571497,0.0031339168,-0.00040709545,-0.066218294,0.0030669572,53.266182,53.272816,1000,0.62351996,-0.00035587428,-0.8114871,0.016406134,0.97755945,0.00029523487,-1.0508561,0.017438984,2.6579614,1.0004662,0.34963828,0.022681223
1,1,0.71731305,0.14844783,-0.6887966,0.41244993,4.73063848514388,10,9.965878943527537,4.73063848514388,0.0,4.295683054133182,0.37662807687005007,0.11826596212859702,0.0,0.15129812199713968,0.3693032765104529,0.17493234504877517,0.0,0.17150061594690955,0.0,0.0,0.0,0.0,0.37662807687005007,0.11826596212859702,0.0,0.15129812199713968,20,800,40,40.0,40,0.0,1.0,0.11627069,-1.0,0.62384725,3.529572248572257,50,11.951167310683124,3.529572248572257,0.0,3.8463847509577924,0.654609958063336,0.08823930621430644,0.0,0.13810636626394251,0.3935924467897107,0.10427259837536258,0.0,0.15930519189873016,0.014656823353047743,0.0004890300185565133,0.0,0.002393430554999531,0.654609958063336,0.08823930621430644,0.0,0.13810636626394251,200,8000,40,40.0,40,0.0,8000,0.0067935301922261715,23.9865939039737,2.688396512065083,14.74466059403494,0.004755103029310703,6.539182396605611,0.0027761911042034626,89.28610890638083,2.9576942324638367e-05,0.9054579138755798,-1.7286347150802612,5.7689047,-5.405675,-13.284206,2.4202812,-16.141567,438.40195,4.906394,-1679.288,27.264544,25.248785,8.297075,-0.43438396,3.209739,23.668125,8.235014,-0.49471438,3.0298715,759.7966,758.99164,2000,0.81276065,0.16312863,-0.7898561,0.47991696,-0.03424527,-0.18944879,-0.4427524,0.049481936,0.96633446,0.8284194,0.6422662,0.040457413
2,2,1.0,0.3190096,-1.0,0.90121734,4.880526743028689,10,13.262135802928043,4.880526743028689,0.005519823919536204,5.780120131814159,0.39535875757252303,0.12201316857571723,0.0,0.1627478233152509,0.39535875757252303,0.14987781553121193,0.0,0.18375131057732044,0.04258610062948698,0.004844328469678483,0.0,0.012701210134477834,0.39535875757252303,0.12201316857571723,0.0,0.1627478233152509,30,1200,40,40.0,40,0.0,1.0,0.30712146,-1.0,0.8761565,4.659573448098451,50,12.569889926458282,4.659573448098451,0.0,4.668327877856879,0.956963133956399,0.11648933620246125,0.0,0.15618441226046254,0.4004180923521634,0.11503623715518727,0.0,0.16814086137436632,0.033251998181216935,0.0010438116278861998,0.0,0.005138860627314603,0.956963133956399,0.11648933620246125,0.0,0.15618441226046254,250,10000,40,40.0,40,0.0,10000,0.007077754940837622,22.353519498370588,2.8239109218120575,13.066162005998194,0.008706387598067522,6.44359568040818,0.0040269349701702595,112.28530852822587,3.981264308094978e-05,0.8913545608520508,1.0630635023117065,49.014957,21.242985,-10.649625,5.420778,-135.87056,15950.004,10.342327,-11.915559,249.35915,19646.281,62.714878,-26.529655,319.24298,18788.36,52.747746,-23.55414,304.1894,166812.88,156438.27,3000,0.9971992,0.31793737,-0.9966209,0.90111506,-0.034038905,-0.60750014,-1.0316676,0.05655857,0.9665339,0.54568034,0.3564121,0.03648452
3,3,1.0,0.09744972,-1.0,0.7683484,4.909018501254087,10,12.297685397213206,4.909018501254087,0.028929629062036666,4.874195841778958,1.0397051867869718,0.12272546253135214,0.0,0.17237905069160736,1.0397051867869718,0.24795858448160674,0.0,0.31415877330642966,0.02024464967309858,0.002132367551731007,0.0,0.00604599225439641,1.0397051867869718,0.12272546253135214,0.0,0.17237905069160736,40,1600,40,40.0,40,0.0,1.0,0.16399859,-1.0,0.8290513,5.484200356845475,50,12.363883492928691,5.484200356845475,0.0,4.821214522471358,0.7500958316938968,0.13710500892113692,0.0,0.15966030924128885,0.43786904891136014,0.15818596207558866,0.0,0.17963333563725425,0.01741488406364744,0.0004646493463245305,0.0,0.0025547113774318205,0.7500958316938968,0.13710500892113692,0.0,0.15966030924128885,300,12000,40,40.0,40,0.0,12000,0.006798196118324995,21.566120507195592,2.58643113123253,12.331456960178912,0.0046771010383963585,6.634082797914743,0.002645001746714115,134.53380901692435,2.931896597146988e-05,0.9630124568939209,0.510061502456665,2223.74,25.533451,-15.285705,74.94742,-503.76328,38039136.0,18683.137,-37.1027,840346.56,322149.6,383.88016,-108.75763,7335.301,309740.47,345.43976,-70.17071,7033.783,694617000000.0,695073700000.0,4000,1.0,0.22810972,-1.0,0.85622936,0.017777741,-0.58532375,-20.0,0.72929937,1.0179367,0.58550483,2.0611535e-09,0.1286607
4,4,0.9956184,0.009041948,-0.9945988,0.75187343,6.147746818701075,10,12.454628905689457,6.147746818701075,0.5353941280053114,4.620652469141654,0.3907659179435421,0.15369367046752683,0.0,0.15739666634212257,0.3743590822960128,0.17642398503582837,0.0,0.17720563492251742,0.013220935206280426,0.0020393095629787526,0.0,0.004297035931111362,0.3907659179435421,0.15369367046752683,0.0,0.15739666634212257,50,2000,40,40.0,40,0.0,1.0,0.06691588,-1.0,0.81477565,4.238554224044446,50,12.054153551013828,4.238554224044446,0.0,4.62985780310455,0.9130991595206145,0.10596385560111113,0.0,0.14912323773935368,0.3945891986416932,0.12151338997130223,0.0,0.16785406931244842,0.04549872635445884,0.003912220750897242,0.0,0.011144655349315155,0.9130991595206145,0.10596385560111113,0.0,0.14912323773935368,350,14000,40,40.0,40,0.0,14000,0.0072179208509624004,23.098989168647677,2.5896300957538188,13.900351868011057,0.004669069312512875,6.594491945113987,0.0025995448231697083,158.40217141481116,2.8724782168865204e-05,1.055614709854126,-0.523574948310852,3304.022,21.67376,-12.953388,55.415516,-646.9449,33763.28,255.87782,-1765.5264,1145.524,515767.78,514.2825,-4108.0044,8680.051,449718.1,419.60193,-7341.0156,7555.342,71567580.0,54285804.0,5000,1.0,0.13975672,-1.0,0.84214216,-0.051304977,-0.5359573,-20.0,0.42383668,0.9499889,0.601616,2.0611535e-09,0.12584515
5,5,0.99539006,-0.07131592,-0.9938839,0.8864389,5.698522503640588,10,11.869909824639285,5.698522503640588,0.0,5.3766320591460675,0.39162236705768594,0.1424630625910147,0.0,0.16095393303162706,0.3886593702904082,0.18498583166835691,0.0,0.18081245168704665,0.04382316130238162,0.007298063900657547,0.0,0.014377089389385488,0.39162236705768594,0.1424630625910147,0.0,0.16095393303162706,60,2400,40,40.0,40,0.0,1.0,-0.016848778,-1.0,0.89094895,5.913581035638864,50,13.808699165361865,5.913581035638864,0.0,5.215394672851725,0.9283915105578994,0.1478395258909716,0.0,0.16584017223852016,0.4018510166456819,0.17799985371886456,0.0,0.18594345317475425,0.06670482171348269,0.0013340964342696538,0.0,0.009338675039887575,0.9283915105578994,0.1478395258909716,0.0,0.16584017223852016,400,16000,40,40.0,40,0.0,16000,0.007083767093718052,23.12684032646939,2.5804212321527302,13.851598402950913,0.005054287146776915,6.679863778874278,0.0027922294102609158,182.3710662922822,2.662884071469307e-05,1.183912992477417,-2.4891371726989746,369.7126,26.743889,-10.366566,19.54858,-1209.6035,609796.4,821.7857,-5136.695,11789.425,787152.7,1097.469,-1909.1484,14129.14,676826.7,916.63245,-1584.654,12154.267,292403620.0,246875790.0,6000,1.0,0.08744284,-1.0,0.928299,2.0,-0.5936423,-17.53644,0.18538563,7.389056,0.558865,2.4211456e-08,0.08525188
6,6,0.9999997,0.07482474,-0.99999976,0.9360695,2.0847493589414805,10,11.816992865350267,2.0847493589414805,0.0,3.4799720299287666,0.7768737747402842,0.052118733973537015,0.0,0.1221130154845291,0.5539504065003391,0.09870407144994038,0.0,0.19924942422417846,0.0,0.0,0.0,0.0,0.7768737747402842,0.052118733973537015,0.0,0.1221130154845291,70,2800,40,40.0,40,0.0,1.0,-0.012830465,-1.0,0.9188385,4.625052060897043,50,12.264889104949225,4.625052060897043,0.0,4.955691937710096,0.9583628719906052,0.11562630152242608,0.0,0.15862232903363957,0.39163345935864724,0.13071606995719115,0.0,0.1738883653769886,0.04531386345353794,0.004207441773969247,0.0,0.011789398434803222,0.9583628719906052,0.11562630152242608,0.0,0.15862232903363957,450,18000,40,40.0,40,0.0,18000,0.007110110018402338,22.979292486794293,2.732355575542897,13.380438042804599,0.0050882212817668915,6.851663317065686,0.0026078158989548683,206.2808479159139,2.9404181987047195e-05,1.3368709087371826,-4.974833011627197,1414.5784,29.134995,-12.9105835,26.035112,-1230.9679,683704.75,981.30756,-1417.6804,11555.0205,169938.25,1037.9908,-31070.338,7627.1094,149751.67,861.42175,-24735.28,6381.8105,138062880.0,128720950.0,7000,1.0,0.052850276,-1.0,0.94871396,2.0,-0.6183719,-13.260043,0.15943539,7.389056,0.54258305,1.7427554e-06,0.0671839
7,7,0.99731135,0.000430123,-0.99703425,0.96796644,4.483055039385368,10,12.366421409338226,4.483055039385368,0.03362148017428801,4.847683314780807,0.5042687150254488,0.11207637598463416,0.0,0.15421159624453248,0.39510727862666606,0.11113043753541181,0.0,0.17035342602492223,0.04112222428432877,0.004112222428432876,0.0,0.012336667285298631,0.5042687150254488,0.11207637598463416,0.0,0.15421159624453248,80,3200,40,40.0,40,0.0,1.0,-0.023615537,-1.0,0.9405461,3.9953220196469825,50,12.63294579220851,3.9953220196469825,0.0,4.8220160773118455,1.2894656607523458,0.09988305049117457,0.0,0.16051470516682276,0.3977489559413996,0.10712413860427139,0.0,0.16362251073056294,0.03917975914963656,0.001662181539190164,0.0,0.006923847636281534,1.2894656607523458,0.09988305049117457,0.0,0.16051470516682276,500,20000,40,40.0,40,0.0,20000,0.007197470869868994,23.564867753069848,2.9526788098737597,14.16883692983538,0.004703983664512634,6.4283860782161355,0.0030314642935991287,230.82333380402997,3.301631659269333e-05,1.5068999528884888,-8.508020401000977,78.47347,32.748505,-8.426193,11.5696745,-1596.4346,130641.28,1080.3206,-463.4573,6103.312,206490.77,1322.1118,-494.84238,9802.134,187603.05,1140.4637,-1166.4935,8496.439,15501358.0,7052838.0,8000,0.9996078,0.035992768,-0.9995532,0.9662508,-0.0034094094,-0.6552985,-1.1958011,0.082731895,0.9965964,0.5211022,0.30246153,0.044739023
8,8,0.9980528,-0.0710865,-0.99774665,0.96170014,5.065190319324906,10,11.556781809695293,5.065190319324906,0.0,4.920410543564422,0.38367108731972244,0.12662975798312265,0.0,0.15549377064982586,0.37991236639637993,0.1458058193453916,0.0,0.1761541328523323,0.0,0.0,0.0,0.0,0.38367108731972244,0.12662975798312265,0.0,0.15549377064982586,90,3600,40,40.0,40,0.0,1.0,-0.1143247,-1.0,0.9417687,7.218677763062986,50,54.42280698693004,7.218677763062986,0.0,8.297261231606324,1.5689748082635138,0.18046694407657457,0.0,0.2433741905407977,1.5689748082635138,0.21342320474781076,0.0,0.26424547006281596,0.025895983533020583,0.0008693664334920026,0.0,0.004339583231418322,1.5689748082635138,0.18046694407657457,0.0,0.2433741905407977,550,22000,40,40.0,40,0.0,22000,0.007121817208826542,22.664658420719206,2.6699842833913863,13.097714995965362,0.004628640133887529,6.882157383020967,0.0030177230946719646,254.5866628875956,3.357790410518646e-05,1.685811996459961,-31.22469139099121,54421.36,71.78908,-9.89748,1157.4644,-18065.047,8265901.5,13300.487,-11534.392,291195.78,12262033.0,19517.598,-737.8276,412957.38,11181427.0,18095.562,-583.64594,376194.3,21306384000.0,13366886000.0,9000,1.0,0.014793717,-1.0,0.9691998,2.0,-0.6963226,-20.0,0.9040465,7.389056,0.5223753,2.0611535e-09,0.119695306
9,9,0.9968914,-0.11341696,-0.9967673,0.9638003,4.894298881382798,10,11.357284837473516,4.894298881382798,0.048504155880127575,5.038644674167047,0.3829240102357143,0.12235747203456997,0.0,0.15723517956391153,0.3829240102357143,0.14843742430478618,0.0,0.1819420210042155,0.026633051706663746,0.0026633051706663746,0.0,0.007989915511999124,0.3829240102357143,0.12235747203456997,0.0,0.15723517956391153,100,4000,40,40.0,40,0.0,1.0,-0.09789103,-1.0,0.9536108,4.274621113179455,50,11.832919424714317,4.274621113179455,0.0,4.616052275807354,1.1332867903499735,0.1068655278294864,0.0,0.15254361000920164,0.39541339390541164,0.10147328575162802,0.0,0.16209341082597378,0.03598808347791782,0.0016567638880641145,0.0,0.007018322939026448,1.1332867903499735,0.1068655278294864,0.0,0.15254361000920164,600,24000,40,40.0,40,0.0,24000,0.007078250870108604,23.37238895520568,2.824842316098511,13.529524582903832,0.004799730144441128,7.003065349534154,0.0030454397201538086,279.1247012587264,3.328593447804451e-05,1.8793431520462036,-15.292317390441895,982.18994,36.238037,-7.027615,37.467644,-23239.441,680159200.0,186052.58,-1358.7366,10632110.0,12543727.0,24117.078,-1075.4156,449102.88,11896378.0,22758.3,-868.6758,424030.88,112181200000000.0,112197110000000.0,10000,1.0,-0.058142263,-1.0,0.97355914,2.0,-0.688309,-20.0,0.6523631,7.389056,0.51948214,2.0611535e-09,0.14919391
